Tweets,Polarity,Sentiments,Month
TGIF Corona Chicken mojitos Fridays,-0.6,Negative,11
Corona Sunsets makes it s way back to Hyderabad this month Being hosted at Dirty Martini Kitchen amp Cocktail Lounge on today 5pm onwards 17th of November the event sees international artist Minitech Project from,-0.2,Negative,11
Feeling as cool as my chilled corona travel adventure wanderlust vacation travelgram explore holiday travels traveler traveller traveling travelling travelphotography,0.35,Positive,11
is the cost of the helmet corona and halo Rs 2349 standard across india or each dealer can charge as they want,0.0,Neutral,11
Dear Sir I am SR ALP KCG I WAS ON LAP FROM 21 to 26 th and I came to my home town VNK and I stuck up here bcaz corona pandemic they are not letting me into TS I got a call from CCC KCG for duty and I said there is no transport to reach Hyb they put me absent plz helpme,0.0,Neutral,03
Dear Sir I am Train pilot at kacheguda I came to AP on 20 th March since my daughter Bday and I stuck up here due to corona but freight are runnig all over India but at the pondugala boarder TS police not letting me into TS plz do the needful thank u sir,-0.125,Negative,03
Dear Sir I am Train pilot at kacheguda I came to AP on 20 th March since my daughter Bday and I stuck up here due to corona but freight are runnig all over India but at the pondugala boarder TS police not letting me into TS plz do the needful thank u sir,-0.125,Negative,03
Dear Sir I am Train pilot at kacheguda I came to AP on 20 th March since my daughter Bday and I stuck up here due to corona but freight are runnig all over India but at the pondugala boarder TS police not letting me into TS plz do the needful thank u sir,-0.125,Negative,03
World need sensible people and appropriate actions to BeatTheVirus Corona JantaCurfew Let s make it happen,0.5,Positive,03
Oh my corona,0.0,Neutral,03
Let s all make INDIA proud by not spreading and eradicate corona virus,0.8,Positive,03
If it s real definitely Pakistan took gud measures to keep distance from corona,0.0,Neutral,03
I think it s gud decision becoz soo people all over world had facing serious problems regarding this CORONA sooo it s really huge decision and beautiful decision,0.3055555555555556,Positive,03
AarogyaSetu AarogyaSetuApp StayHomeStaySafe download the app and follow the live updates on covid 19 at Vinukonda Railway Station,0.13636363636363635,Positive,04
We need help sir The govt of andhra pradesh not gold take action against covid19 we want help from central govt i hope reply from you Thanks you sir at Donakonda,0.10000000000000002,Positive,04
You know Corona is good for Health I mean if you infected with corona its bad for your health But Lock down during covid 19 saving many animals and birds no vehicles so no pollution HAPPYLOCKDOWN,0.006388888888888911,Positive,05
See how lockdown is going in vinukonda 1 If only three hours time day by day this happen 2 People s from various places are coming once at a time how it stop covid 3 If one have It will spread very faster,0.06666666666666668,Positive,05
