Tweets,Polarity,Sentiments,Month
God is GREAT big Croption IN INDIA Corona sai BHI bada Ayega hey god gift me the power,0.4,Positive,02
Did my bit for supporting the nation to fight against corona Even a small contribution can bring a big change I believe together we can and we will tide over this and emerge as a stronger amp healthier nation PMCaresFunds Narendermodi IndiaFightsCornona,0.0,Neutral,03
Corona virus world update,0.0,Neutral,03
Corona Virus i e COVID 19 Helpline No of Barpeta Police is as follows Apart from Dial100 the following numbers may be ringed for help So feel free to call in need,0.2,Positive,03
Corona Virus won the toss and elected to bat first VIVOIPL2020,0.25,Positive,03
Sir m from Assam Northeast is too close to china but still Assam has 0 ve corona may b d only state All this is due to the tireless hard work from our Health Minister Dr Himanta Biswa Sarma If he is not our Health Minister than our state will be in moratorium,-0.1388888888888889,Negative,03
Good morning Sir Lucky to hv u as our PM at this time of crisis Ur visions n missions are exceptional We are with u until v defeat corona No matter how much v hv to quarantine ourselves at home We wl n can beat corona,0.4749999999999999,Positive,03
Corona Virus isn t joking be serious KalongporiyaADDA via,-0.3333333333333333,Negative,03
I shall abide by the 21 days lockdown rule which includes staying at home and follow all directions given by the Government of India to prevent the spread of Coronavirus Corona coronavirus covid 19 cov d19 stayhome savelives stayhomechallenge coronavirusinindia,0.0,Neutral,03
If Tarun Gogoi were the Chief Minister now then aaa baad dia he America aru Italy tu Corona Virus hoise Assam CoronavirusOutbreak,0.0,Neutral,03
Lock down at home New Innovation Corona awareness song Corona lockdown COVID19 StayHomeStaySafe,-0.009595959595959616,Negative,03
Shut up Bashir Just shut up let s focus on this corona virus thing pls,0.0,Neutral,03
No one else has the enthusiasm energy and determination to do so much to ensure the total health of the state in this time of critical juncture like HimantaBiswaSharma sir Thank you so sir much for working tirelessly to save us from corona epidemic assamlockdown Assam,0.1,Positive,03
Stay home stay safe 21days lock down which is a very good step for the common people of the nation But the Dr who struggle against covid 19 cases are safe from the same Dear govt Please protect Doctors from corona virus providing necessary garments then Dr Will able to safe us,0.27271604938271604,Positive,03
British PM Health Minister both having Corona Positive,0.11363636363636365,Positive,03
Special thanks to Hon ble MP Abdul Khaleque sir for donation fifty lakhs to Assam Government to control CORONA VIRUS,0.2785714285714286,Positive,03
Corona a virus for human but a vaccine for the environment coronavirusindia,0.0,Neutral,03
Gom paisu but now everyone want to get rid of Corona 1st,0.0,Neutral,03
During lockdown don t stay out stay in your home Be safe from corona virus,0.5,Positive,03
Yesterday night 7 am lockdown at hojai town corona ko harayenge gar me hi rehenge,0.0,Neutral,03
sir my small contribution towards the fight against novel corona virus I have donated my 1 one day salary approx towards CM relief fund,-0.25,Negative,03
Upload CONTAGION 2011 movie so that people may understand how dangerous this virus Corona is What they showed to the public is almost same Your new marketing strategy it will help to increase ur users in India specially,-0.021298701298701296,Negative,03
The whole world fighting for corona virus and the new virus come Hantavirus Hantavirus,0.16818181818181818,Positive,03
Will u allow anyone to carry ur child in this corona season Nigeria is very safe compared to India for now Make e play nigerian academy club first nau We don t even step outside,0.3,Positive,03
Amidst panic uncertainty among people D news of recovery of around 1 lakh Corona Virus infected people is bringing some hopes and smile China has no new case where that got originated Now it wants 2 share experience with India about how that virus can b prevented Good,0.28295454545454546,Positive,03
We must need to self quarantine to fight against Corona virus Few rules to follow till 31 March 2020 coronaupdatesindia assamlockdown Assam,-0.2,Negative,03
This is so disturbing to see a doctor wearing a waste disposal bag as protective equipment against corona at ASSAM MEDICAL COLLEGE,-0.2333333333333333,Negative,03
A suggestion to implement lock down seriously Please hang a placard or a written notice that I am a enemy of humanity and I want corona virus to spread to my loved people And take a photo and share it,0.07037037037037035,Positive,03
IndiaFightsCorona Sankalp and Sanyam needed to combat Corona via NaMo App,0.0,Neutral,03
Corona Virus cases in India rise to 360 death toll seven Millions of people stayed indoor on sunday Roads railway stations and airports wore a deserted look and market and establishments remained shut except dealing of essential goods during the 14 hour self imposed curfew,0.0,Neutral,03
I wish ji next time in your MannKiBaat you will teach those uneducated about the difference between NorthEast people and Chinese people May they spit on us shouting corona but here dowry was vanished a long time back,-0.0125,Negative,03
Corona Festival Thanks to the organizers COVID 19 CoronaVirus JantaCurfew,0.2,Positive,03
We are living in a society where some people uploading post and captioned as Happy Corona day guys Have people completely lost their minds Have some shame Bhosdiwalo spreadawareness coronaupdatesindia 5baje5min,0.45,Positive,03
