Tweets,Polarity,Sentiments,Month
Dear Mr Trump there is problem of corona virus from climate change as possible because it s spreading from glacier a dead body of reindeer China scientist said please do something contrary on climate control thanks,0.0,Neutral,01
Corona virus is spreading all over world cause of climate change it s spreading from reindeer dead body from a glacier whose hide under the ice please stand up against the climate change again Thanks,0.0,Neutral,01
All world scientists of medical science should unitedly work on Corona Virus of China It should not be delayed,0.0,Neutral,01
is sti vomiting that poison which is more dangerous than corona,-0.04999999999999999,Negative,02
Corona Virus What happen to People s Republic of China Kumar,0.0,Neutral,02
At least Corona virus doesn t discriminate between Hindus and Muslims JustSaying,-0.3,Negative,02
Stop Muslim Jamat Sunni to spreyed Corona,0.0,Neutral,03
When an Infosys employee called for Corona Jihad we took it lightly BUT NOW Over 200 people in Nizamuddin Delhi are showing symptoms of COVID19 Most cases trace back to a gathering at a Mosque 500 people frm around India attended the event amp many travelled back home,0.28,Positive,03
Not from Corona the police will die only because of the poor people of the country,-0.2,Negative,03
Hamare village me Corona viruses se affected kuchh persons hai yaha ka local prasasan complain ka koi response nai le rha hai Please help us,0.0,Neutral,03
Hopes that the proposed economic package will help combat the unaccounted for damage in the wake of the Corona pandemic is ill assured StrandedAndDying TakeMeHome yuva,-0.15,Negative,03
Planned contingency in the time of Corona StrandedAndDying TakeMeHome yuva,0.0,Neutral,03
Absolutely disappointing to see the lack of preparedness of Bihar govt in the face of a pandemic like Corona NitishMustQuit,-0.6,Negative,03
If Corona doesn t kill them starvation will StrandedAndDying TakeMeHome yuva,0.0,Neutral,03
Humanitarian crisis outweighs the Corona crisis in India 21 day lock down and spraying of disinfectant on the hapless migrant labours children old people dying of hunger will escalate the crisis Allow not the disadvantages outweigh the advantages,-0.21851851851851853,Negative,03
29 dead so far due to Corona virus in India 22 workers die in India due to apathy and negligence Either ways its lives we intend to save Pls break this deafening silence Its now or never WorkersLivesMatter StrandedAndDying TakeMeHome yuva,-0.0875,Negative,03
Reporting me to lajawab kr rhi hain Corona ki dahshat hai kya Really a appreciable works you reporters are doing at this critical situation salute,0.1,Positive,03
Hlo Sir Gd Evening Sir Myself Ravi Ranjan I want to say that U sir My Ticket Has Been Book For The Bhopal Madhya pradesh6April 2020 Due To Corona Virus My Ticket Has Been CancelBut My Money Has Not Be Created on my A C Sir I Request to you Sir That Give Me Quickly,0.10416666666666666,Positive,03
Sir Gd Evening My Self Ravi Ranjan I want to say u that My Ticket Has Been Book For The Bhopal Madhya Pradesh On 6 April Due Corona Virus It Is Cancel Now But My Money 490 Rs Has Not Send My A C I Lso Request to you That Give Me My Money Sir Quickly Thnks,0.10416666666666666,Positive,03
Humans die from corona or not Yogi will surely die from Adityanath s inhuman acts voice Yogi Adityanath Sharm Karo,0.5,Positive,03
world January 30 9700 corona infected Today 7 lakh 21 thousand 902 infected Deaths 33 965 India January 30 First patient Today 1071 Corona Infected Deaths 29 We will win india fightcorona,0.525,Positive,03
We know financially bihar govt capable ni hai is corona se ladkne ke liye so i request our honourable prime minister shri sir please look into this matter and please provide better assistance kites and equipments to fight with this corona,0.2333333333333333,Positive,03
Patanjali has been doing a lot for the nation n not just during this corona pandemic Patanjali always took the stand in helping the nation Why don t you ask how much money did Unilever Nestle donated d answer is NONE bstpyp,0.2,Positive,03
Dear I am a student A little donation for our great country to fight corona virus from my pocket money PMCARES IndiaFightsCornona PMCaresFund PMOfIndia,0.30625,Positive,03
Where they ll live recidency He don t even have the plan for CHAMKI How can we expect him to be so eager on Corona NitishMustQuit,0.13636363636363635,Positive,03
Hundreds and thousands of Donetion But At we Can t See Any effect of It Dividing The people Making them Busy With Ramayan amp Circus Mr Corona Pleas look at them and do something at Ground Level,0.1,Positive,03
Donate for pm cares fund Corona virus Covid 19 Please donated for pm cares fund,0.0,Neutral,03
My small contribution towards the nation I am always ready for my country to serve whatever possible Let s win against Corona together PMCARES PMCaresFunds,0.1875,Positive,03
Small contribution to pm cares fund sri ji sir Hope this small small contribution make to set a better platform to fight against the Corona virus CORONATIME,-0.0625,Negative,03
Get well soon mam don t panic Stay strong and fight this virus U r under treatment so cooperate and come out with no corona Our blessings and good wishes Thanks,0.4444444444444444,Positive,03
First Name CORONA Surname VIRUS NickName COVID Age 19 Nationality CHINA Next of kin HANTA VIRUS Hobby Traveling and spreading Favorite Food LUNGS amp KIDNEYS Favorite Country Italy Dislikes Alcohol Relative EBOLA ChineseVirus19 CoronaUpdate mondaythoughts,0.25,Positive,03
Motivational Thoughts to fighting with Corona Virus at Samastipur,0.0,Neutral,03
I had a conversation with my bro inlaw in Bristol UK stated FM is also indian And he is leading england after PM tested corona positive And doing exemplary good work He may be candidate of next PM of england Stay at home Regards,0.3090909090909091,Positive,03
It s possible now people will died due to hunger will be at higher rate than corona 19 It s possible in this govt,0.03125,Positive,03
sir plz firstly focus on corona diseses after that decide what we do We think about poor people nd live,-0.004545454545454557,Negative,03
I hope that all influencers should donate to PMO for help and overcome from Corona virus COVID2019india I had seen some YouTubers like had donated to Central and state government All should join and help to INDIA corona 19,0.0,Neutral,03
This corona virus makes much and more disaster The America crossed over 120000 confirmed casrs In Italy more than 10000 deaths This is increasing very quickly From this virus more than 650000 people were suffering and more than 30k death COVID2019india Covid 19,0.4333333333333333,Positive,03
Corona virus is wedding card for you my dear all friends and so please stay home in stay safe and following the rule prime Minister of India please,0.25,Positive,03
Corona be like bahan bs kr ab,0.0,Neutral,03
Whole world to china Yeah kya Corona Bawasir bana diye ho be,0.2,Positive,03
Sir need your immediate attention on this issue Kindly do something and save us corona bihar anandVihar,0.6,Positive,03
India Dear Sir Bank employee more than 45 year old are 50 suffering from daibitic why government are putting them on high Corona risk,0.2533333333333333,Positive,03
This is a very cute video from the Neemuch of M p where two young children broke their piggy bank to help the corona victims and the poor they gave money to the policemen to help the poor what would you say about these children for,-0.012500000000000013,Negative,03
He will donate for CORONA TOO Juts wait n watch But I m sad He will not publicise it,-0.5,Negative,03
sherry Being a student did my small bit for supporting your move towards helping the nation tackle the current situation due to corona PMCARES,-0.03125,Negative,03
Being a student did my small bit for supporting your move towards helping the nation tackle the current situation due to corona PMCaresFund pmcares IndiaFightsCorona,-0.03125,Negative,03
Juss a little Donation For ji for PMCARES to Fight Corona Virus at Samastipur,-0.1875,Negative,03
Respected Prime minister corona virus to abhi aaya hai lekin hmare gao me Jo patient pahle se high BP heart ya phir kidney ke patient hai wo kahan jaye kyuki private hospitals closed hai or doctors bhi ilaaz karne se inkaar kar rhe ispar vichar vimarsh kare,0.02,Positive,03
Contributions to fight against Corona Virus COVID 19,0.0,Neutral,03
PMReliefFund Akshay Kumar Pulwama Martyrs 5Cr Assam Floods 2Cr Chennai Floods 1Cr WCS 50L CRPF Families 1 08Cr HFT 1 5Cr Corona Crisis 25Cr He deserves appreciation,0.0,Neutral,03
Corona or Starvation What will affect us earlier Answer BJP Govt StrandedWorkers yuva,0.0,Neutral,03
Can u help me regarding my brother s medicine Due to corona virus I m unable to purchase medicine for my brother who is suffering from mental disease My contact no 9097826370,-0.2416666666666667,Negative,03
The US response read to Corona Pandemic will be studied for generations as a text book example of a disastrous failed effort Says Ron Klain the man who spearheaded the fight against Ebola in 2014,-0.6,Negative,03
Love In The Time Of Corona No Food And Water In The Time Of Corona Yes StrandedWorkers MigrantsOnTheRoad yuva,0.5,Positive,03
Akshay Kumar The Real Life Hero Pulwama Martyrs 5Cr Assam Floods 2Cr Chennai Floods 1Cr WCS 50L CRPF Families 1 08Cr HFT 1 5Cr Corona Crisis 25Cr Founder Of Bharat Ke Veer The Man With Golden Heart LEGEND IN A TRUE SENSE AkshayKumar,0.2833333333333333,Positive,03
What Doesn t Kill You Corona Makes You Die From Hunger StrandedWorkers MigrantsOnTheRoad yuva,0.0,Neutral,03
Beauty Lies In The Eyes Of The Beholder Corona Lies In The Cough Of The Visa Holder StrandedWorkers MigrantsOnTheRoad yuva,0.0,Neutral,03
PMReliefFund PM sir ji as a student I ve capacity to donate only this much amount I hope a small contribution can bring a smile our Indian country people PMCARES IndiaFightsCorona Corona Warriors PMOfIndia,0.0625,Positive,03
Corona or Starvation What will affect us earlier Answer BJP Govt StrandedWorkers ReliefPackageForWorkers yuva,0.0,Neutral,03
She need to be stopped there govt needs to arrange temporary disposable tents for such type of migrants after testing and clearance then she should be taken to her destination through transport Otherwise fight against Corona 19 shall fail and lockdown will also,-0.25,Negative,03
Corona virus is spreading in Bihar due to migrants from metro cities Govt should held them outside the villages as villagers are not following safety norms and hence it s spreading fastly,0.018750000000000003,Positive,03
Be carefully yaha se corona na chle jaae waha v,-0.1,Negative,03
Sir Please listen our plea and make the Corona testing free We the solve fund constraint by making it a mandatory contribution for this fiscal years CSR initiative for all corporates freecoronatesting,0.4,Positive,03
Indian Youth Congress has opened Corona Helplines in all states for citizens needing any form of assistance IYC teams will reach out and help you if you call the respective state number Please RT and forward this information to those in need on WhatsApp SOSIYC,0.0,Neutral,03
Being The Health Welfare Minister Aren t you Ashamed Of Ur Self Or Both Of uh resign JPNaddaResign amitshahmustresign Kindly Not Ur At Least Give Respect to That Post And Place A Good Plan For Corona IndiaDeservesBetter,0.425,Positive,03
Distributed food packets and other essentials to the needy also tried to create awareness about social distancing and hand washing as well The biggest defence against corona is precaution only LadengeAurJeetenge,-0.03055555555555556,Negative,03
Corona Is a Chinese Virus,0.0,Neutral,03
It is increasing day by day Please StayAtHome LockdownWithoutPlan COVID2019 StayHome Corona,0.0,Neutral,03
