Tweets,Polarity,Sentiments,Month
Corona virus is next gen smallpox Will consume millions,0.0,Neutral,01
GodMorningFriday Stop eating meat or else you will have to stop forcing like China stopped meat with the corona virus,0.0,Neutral,02
He will catch corona virus in Thailand,0.0,Neutral,02
View and Counter View Episode 1 donaldtrump cricket corona india china ayodhya wednesdaywisdom,0.0,Neutral,02
Modi to Xi Jinping may I help you to remove Corona virus from China Xi Jinping replied to Modi OK Modi Please take out all my patient to your country,0.5,Positive,02
NoMeat NoCoronaVirus China Science is not even worth a penny before God Now see that there is no cure for corona virus no one knows how many such diseases can come in human life to avoid this one should follow the constitution of God Stop Eating Meat,0.2,Positive,02
NoMeat NoCoronaVirus Stop eating meat or else you will have to stop forcing like China stopped meat with the corona virus China motivation,0.0,Neutral,02
NoMeat NoCoronaVirus This is the ill effect that if China fears devotion to devotion then the creatures do not commit violence and it does not even have to face a disaster like Corona,-0.5,Negative,02
NoMeat NoCoronaVirus Corona virus is a warning to all of us that we should follow the constitution of God The atrocities on the bejubo ends,0.0,Neutral,02
NoMeat NoCoronaVirus It is a matter of concern that the corona virus should not expand in the whole world except China because we will change in time Koso will stay away from the month,0.2,Positive,02
NoMeat NoCoronaVirus Man cannot be happy until humans follow the rules of God Only eloquence can be avoided with the effect of a dangerous disease like corona Which you will find in Satlok Ashram Barwala District Hisar Haryana,0.0666666666666667,Positive,02
NoMeat NoCoronaVirus It is just the beginning if we still do not change then there will be no corona and many other diseases Whose side effects can be fatal to humanity as a whole So stop eating the mass,0.19166666666666665,Positive,02
NoMeat NoCoronaVirus Dangerous diseases like cancer and ulcers are increasing in meat eaters Just like the Corona virus has killed hundreds in China so far,-0.23333333333333334,Negative,02
NoMeat NoCoronaVirus Science is not even worth a penny before God Now see that there is no cure for corona virus no one knows how many such diseases can come in human life to avoid this one should follow the constitution of God,0.2,Positive,02
NoMeat NoCoronaVirus When a country like China remembered God s legislation to protect its life then all of us should also be afraid of the Corona virus and away from living violence,-0.6,Negative,02
NoMeat NoCoronaVirus A shocking thing is that even a country like China started feeling afraid of the Corona virus and they forgot their own Began to follow the constitution of God Stop eating,-0.3333333333333333,Negative,02
NoMeat NoCoronaVirus Science is not even worth a penny before God Now see that there is no cure for corona virus no one knows how many such diseases can come in human life to avoid this one should follow the constitution of God Must watch sadhana TV 7 30 pm,0.2,Positive,02
People are liable for damaging the creature of God NoMeat NoCoronaVirus The perfect God is the father of all God is not pleased with the killing of his creatures Therefore man is struggling with serious diseases today like Corona Virus in China,0.07916666666666668,Positive,02
NoMeat NoCoronaVirus When the organism breaks the law of God and starts arbitrary then it has to suffer its consequences this is happening now due to the corona virus in China they are forced to close their meat In the legislation of God eating meat is a great sin,0.06875,Positive,02
NoMeat NoCoronaVirus Animal birds live in dirt Eat dirty They also have many diseases By eating their flesh those dirt and diseases come inside the human being This is how the corona virus is spread in humans Eeshvar Tv channel sham 8 30 pm,-0.03272727272727273,Negative,02
NoMeat NoCoronaVirus Science could not stop Australia s fire China is now unable to stop the corona virus Disaster can be averted only by spiritual knowledge,-0.16666666666666666,Negative,02
NoMeat NoCoronaVirus China Stop eating meat or else you will have to stop forcing like China stopped meat with the corona virus,0.0,Neutral,02
NoMeat NoCoronaVirus Eating meat causes fatal diseases such as the corona in China causing the virus For more information watch the Satsang at 7 30 pm on Ishwar TV,0.25,Positive,02
NoMeat NoCoronaVirus Eating meat is not a command of God and eating meat is a boon if we still do not follow the words of God then corona virus and other terrible viruses can also arise If we improve in time everything can be fine,-0.2361111111111111,Negative,02
NoMeat NoCoronaVirus Stop eating meat otherwise you will have to stop forcing like China stopped meat with the corona virus Sadhana TV 07 30 pm,0.0,Neutral,02
NoMeat NoCoronaVirus Science is not even worth a penny before God Now see that there is no cure for corona virus no one knows how many such diseases can come in human life to avoid this one should follow the constitution of God,0.2,Positive,02
NoMeat NoCoronaVirus Science could not stop Australia s fire China is now unable to stop the corona virus Disaster can be averted only by spiritual knowledge,-0.16666666666666666,Negative,02
NoMeat NoCorona The way I have spread the China Corona virus in the same way there is a possibility of spreading in all the countries if we do devotion to the Supreme God by taking full name from the Guru then we will have nothing To know must watch sadhana tv 7 30pm,0.175,Positive,02
NoMeat NoCoronaVirus Stop eating meat or else you will have to stop forcing like China stopped meat with the corona virus,0.0,Neutral,02
NoMeat NoCoronaVirus Sat bhakti cures diseases like AIDS or cancer Well to avoid the corona virus satbhakti is necessary Saint rampal ji maharaj Must watch sadhana TV 7 30 pm,0.0,Neutral,02
NoMeat NoCoronaVirus Stop eating meat to stop Corona Virus Because Corona Virus come from wild or domestic animals If you meat of it then it virus will spread Wach Sadhna TV 7 30pm,0.05,Positive,02
NoMeat NoCoronaVirus Animal birds live in dirt Eat dirty They also have many diseases By eating their flesh those dirt and diseases come inside the human being This is how the corona virus is spread in humans,0.009090909090909094,Positive,02
NoMeat NoCoronaVirus Stop eating meat or else you will have to stop forcing like China stopped meat with the corona virus Sadhna TV 7 30 pm,0.0,Neutral,02
Corona to those students who are still studying,0.0,Neutral,03
Work of CM of Chhattisgarh is Praiseworthy for saving people of Chhattisgarh from Corona All steps taken by him is superb Regards DSBABA DAVID SINGHDEO 9926360003 Raipur,1.0,Positive,03
Congrats to Hon CM of CHHATTISGARH to IMPOSE LOCKDOWN AND CONTROL EACH AND EVERYTHING TO SAVE THE PEOPLE OF CHHATTISGARH FROM CORONA,0.0,Neutral,03
Contribution of Rs 11 00 lakhs to CM relief fund by Shree Mahamaya Devi Mandir Public trust Raipur Chattisgarh for fighting Corona,0.0,Neutral,03
Benefits Of Satsang The satsangs of the true Satguru tell us that there is a God who eradicates even the worst of diseases even if it is an epidemic like corona,-0.325,Negative,03
Altogether 5000 tweets by CPI CPM and CPI ml as relief for corona A great service Kerala Govt acted for its servival,0.8,Positive,03
yes Benefits Of Satsang The satsangs of the true Satguru tell us that there is a God who eradicates even the worst of diseases even if it is an epidemic like corona and cancer Watch Sadhna TV for nights from 7 30 to 8 30 pm,-0.325,Negative,03
Dear Sir My family have made small contribution to strengthen our fight towards a Corona Free India and will also motivate others to join the War against Corona IndiaFightsCorona,0.07500000000000001,Positive,03
All of us can donate Rs121 amount in Pradhan Mantri fund either through paytm or NEFT If one person will give Rs 121 then even if only 2 crore people out of 130 crores donate it will make Rs 242 00 00 000 Rs Two Hundred Forty Two Crores for Corona Victims Poor people,-0.2,Negative,03
IRCTC full refund corona Lockdown Indian Railways to give full refund for all tickets for journey during lockdown period,0.35,Positive,03
Social Message on CORONA,0.03333333333333333,Positive,03
This itself has become corona virus,0.0,Neutral,03
sir Pranam little request Please take action for some of irresponsible people due to Corona virus all Bharat is lockdown but akola m s MIDC is not lockdown all worker nd their bosses are continuing their bussinessa and services I m worried,-0.07083333333333333,Negative,03
Sir Funds of 1 75LacCrore should be distributed through Aadhar i e only to those who actually indeed of help Coz who are not interested to enroll Aadhar why they should get benefited Who need citizenship is having Aadhar corona,-0.04166666666666666,Negative,03
Seems like government is on holidays these days How irresponsible u people are Wake up wake up Its high time to get on action to fight against this pandemic CORONA PATIENTS BIHAR,0.13,Positive,03
Which Gadget of Doraemon can save us from Corona COVID2019,0.0,Neutral,03
Sabzi lene gyi thi Socha jaa ke puch lu agar kaam kraenge to kar lungi Super women our maids plz don t t even think to cut der salary nd yes what if we donate something to daily wage workers in this corona outbreak binamilesathladen narishakti,0.16666666666666666,Positive,03
help on my booking I want refund as my flight has cancelled due to Corona PNR LE33JL RPR TO HYD MABBU KUMARASWAMY 24 03 2020 unable to reach u on call or via mail also,-0.3125,Negative,03
Ramayan Satsang Se Amazing Advantage Hear the cure of incurable diseases in the satsang of the full Guru While the corona virus has no cure till now through satsang of Saint Rampal Ji Maharaj you will get a solid treatment of this epidemic,0.11250000000000003,Positive,03
Stay home people original binamilesathlade corona loveqoutes rjarjun,0.375,Positive,03
Can you pls answer this How corona virus spread in the world but not in Beijing and shanghai How Italy people didn t get cured like wuang How Chinese president is roaming in the mid of corona infected and having no effect on it,0.0,Neutral,03
Kindly confirm whether this is to be treated as Official Applaud to GOI It tracks your location and notifies you if you come closer to corona infected person everyone should download this in their mobile,0.6,Positive,03
Sir It is inform you sir that Industry leaders like Reliance Jio is not supporting us in this period of CORONA ATTACK The fact is that I have worked for Reliance Jio for RS 3 43 crores and I received only RS 1 66cr in the year 2018 and the balance RS 1 75cr still pending,-0.0625,Negative,03
can you please tell me from where we can get vegetables Cause due to Corona epidemic gatherings have been called off Markets are closed Vegetable shops are closed Grocery stores are open but they don t sell veggies From Tatibandh,-0.08125,Negative,03
WHOLiedPeopleDied SantRampalJi CanEndCorona At the time Supreme Saint Rampal Ji Maharaj is that complete Guru about which the famous astrologer like Nostradamus has predicted that Saint Rampal can end pandemic like corona virus Parents family Bless Spain,0.3,Positive,03
Respected Mr Prime minister I want to inform you that because of corona virus we are following Janata Curfew and are not able to go outside of our houses and due to the safety measure we are now safe but I think that sir you must arrange water tankers with bleach,0.025,Positive,03
Corona is a pendamic In such cases the action is not a violation of the issue which subjudice,0.05,Positive,03
Hello Bollywood Please come forward and do your part in helping the poor struggling to survive through the Corona lockdown Please donate and come forward BollywoodActOnCorona,-0.4,Negative,03
Who is this uneducated Illiterate female and is from which city She should be put behind bars for misbehaving with the police and for defying lockdown corona coronavirus covid19,-0.2,Negative,03
it is right pm modi ji pray Sant Rampal Ji Maharaj Sant Rampal Ji Maharaj is also solve corona easy to SantRampalJi CanEndCorona,0.3595238095238095,Positive,03
SIKH COMMUNITY ALWAYS AMAZED ME WHEN IT COMES TO PROVIDING HELP AND NOW THEY ARE OPENING GURUDWAARA SARAIS FOR THE ISOLATION WARD RESPECT SOMETIMES I REALLY FEEL THEY ARE THE REASON HUMANITY EXISTS EveryHelpCounts Covid19 Covid19india Corona,0.2,Positive,03
because your delivery can carry corona viruses Its for your safety only,0.0,Neutral,03
Today the whole world is worried about the corona virus even scientists and doctors have not been able to find its treatment in such a way only God can save us from this dreadful situation To know who is God who can save must read the book to live the life of knowledge Ganga,-0.027272727272727282,Negative,03
But we are short of mask as well as sanitizer Now tell us what to do Wo elections me ulte side chizz baatne walo ko bolo apne apne ilake me har ghar pe jaakar mask aur sanitizer baante atleast India is not fighting with Corona rather corona is fighting with us Vulnerable,-0.25,Negative,03
It s a complete AllIndiaLockdown Let us Fight this Corona together by keeping ourself safe and isolated COVID19India Covid19,0.3,Positive,03
IND Lost Delhi election but worked hard amp raised 1 Cr Fund 4 riot affected Lost election but nxt day he was working in Hoshangabad We re are you defeat after defeat You could have also worked 4 corona instead of absconding 2 Bangkok,-0.2916666666666667,Negative,03
I Bhuwan bhaskar communist corona virus Hug me and get corona virus free,0.4,Positive,03
Your xi has exported corona to India Communism is a killer,0.0,Neutral,03
I am communist corona virus Hug me and get corona virus free,0.4,Positive,03
I am communist virus Hug me and gate corona virus free,0.4,Positive,03
Thanks God but still lot of work have to do to fight against Corona CoronaKoDhona,0.2,Positive,03
please rename the Corona virus as Chinese Covid 19 this best suit as it originate in China and their ignorance,0.5,Positive,03
Your reaction these Corona Days when someone hugs you forcefully,0.0,Neutral,03
After sanitizing urself share with someone Funny Sutra Post no 2 Inspired by Sahab binamilesathlade stayhome corona loveqoutes rjarjun,0.25,Positive,03
Finally India got its Carona Dashboard This is the official website for CORONA updates Updating every 4 hrs Keep This link for getting official Govt of India updates about CORONA virus situation in India,0.0,Neutral,03
China have around 1499 types of Corona kinda Virus still left ChineseVirusCorona ChineseVirus ChinaVirus WuhanVirus Valimai CoronavirusPandemic,0.0,Neutral,03
sir sensex is becoming more dangerous then Corona please see this,0.11666666666666665,Positive,03
Corona bhaga ya nahi but aaj 5 05 min pe behra jarur ho gaya ppl need to understand it was to show respect amp towards people keeping us safe Social Distancing IndiaFightsCorona,0.26666666666666666,Positive,03
this is beginning of fight against corona and through these all Doctors Medical Professionals have to be encouraged Not expecting from you this fight is bigger then Wold Cup,0.0,Neutral,03
Hello world SantRampalJi CanEndCorona Italy USA China even South Korea that are suffering from Corona Should be aware about Supreme Power who can destroy our sins Don t wait take refuse of complete,0.05,Positive,03
Raipur has public curfew due to Corona virus But our duty is duty Be it our city state or country news we have to reach through our pictures,-0.0625,Negative,03
