Tweets,Polarity,Sentiments,Month
Feeling as cool as my chilled corona travel adventure wanderlust vacation travelgram explore holiday travels traveler traveller traveling travelling travelphotography,0.35,Positive,11
is the cost of the helmet corona and halo Rs 2349 standard across india or each dealer can charge as they want,0.0,Neutral,11
Coronavirus is dangerous I agree but communism Left liberal nxals including urban ones Maoist are far more lethal and toxic then corona they have killed in millions corona in comparison is just an infant we got both from china,-0.03333333333333333,Negative,01
No CoronaVirus has nothing to do with Corona,0.0,Neutral,01
Inspection of Goa Airport for Corona virus was conducted by Sh Alok Saxena JS MOHFW along with Secretary health Goa and team The efforts by AAI and State Govt were highly appreciated Deliberations chaired by Sh Rane Honble Health Minister Goa Official at Dabolim Goa International Airport GOI,0.1,Positive,02
Corona virus has spread in China that Court has given permission to the kill 80000 patients with Corona infection Government is killing karores of hens sugar ducks n their eggs are being burnt n put into the ground,0.0,Neutral,02
Congratulations Tsinhgua University it s hospitas who have joined hands in fighting against Corona Virous Heads of to Chinese Government that it is facing a very tough time but ultimately they will succeed Vuhan,-0.1685185185185185,Negative,02
Let your worries be as short as the upcoming weekend fridayvibes palmsandsands Facebook Instagram Twitter Zomato YouTube,0.0,Neutral,02
To fight the Corona virus and create awareness in travelling public 2 help desks started in domestic arrivals today in addition to existing desk in Intnl arrival at Goa International Airport Let s do it togather AAI cares Official GoI at Dabolim Goa International Airport GOI,0.0,Neutral,02
We stan Corona,0.0,Neutral,02
First the world war now this Corona Man the world really don t want Liverpool to win Premier league,0.4166666666666667,Positive,02
Fraud bank corona virus is perfect for you all,1.0,Positive,03
There is lots of challenge to confirm good and bad much more confusion with Idification Male or female Ending corona control all,0.10000000000000002,Positive,03
Who drove digitalisation in your company Corona,0.0,Neutral,03
All the above said changes will be remembeed nlu for a year or so After one year life will b as before and people WL forget corona except if any new virus appears from some other countries,0.003787878787878785,Positive,03
There r 790 Lok Raj Shaba MP plus 4910MLA Across country if every member gives 5lakhs we will have 245 5crores for Corona virus Why every times middle class is been targeted to help why not this time this public representative come forward them self do the needful,0.0,Neutral,03
Is this real Face of Safety Is this the way we are treating corona Why the NRI are airlifted and given isolation with facilities and this is the treatment given to Poor and the Class who is working for daily food,-0.06666666666666668,Negative,03
What is waiting for pakistan at PoK after this corona episode,0.0,Neutral,03
Corona Anitivirus Seriously,-0.3333333333333333,Negative,03
It s means You are Definitely Have a Corona virus You fallen with corona virus Madam,0.0,Neutral,03
IndiaFightsCorona DelhiFightsCorona Does corona exodus confirm that DELHI must be 1st Union Territory of India to avoid delay due to divergent administrations,-0.125,Negative,03
I was talking to someone yesterday who went to play gully cricket in goa His justification was there s no Corona here It s only in the cities When I questioned and asked for his source of info he says I m telling you Trust me It s not in goan villages,0.0,Neutral,03
I AM VERY HAPPY TO BE A INDIAN WE FIGHT AGAINST CORONA AND TAKE NECESSARY STEPS FOR THE NATION Donate PMCARESFUND at sesa goa,0.5,Positive,03
Dear In this critical situtation can t the government tie up with Swiggy amp Zomato delivery riders for delivering essentials in Goa Pls do think abt it in CMOGoa Goa Corona StayHomeSaveLives Suggestion HappyToHelp,0.0,Neutral,03
Few Suggestions amp Preventive Measures to Government and General public to fight back Against Corona Virus,-0.0375,Negative,03
Gary I really respect most things you say and do Wrong here mate Void season Players on break until June 30 2 weeks pre season International tour s can recoup some revenue during July 2019 20 will just have to be known as the corona year F 750m F it is what it is,0.04999999999999999,Positive,03
If this difficult time doesn t make us realise who we are we deserve Corona HumanRights stopracism coronavirusindia IndiaFightsCorona,-0.5,Negative,03
CRPF Soldiers donate their one day salary to Prime Minister National Relief Fund amid Corona virus crisis They fight on off borders amp they are first one to contribute for society They might not be rich as Ambani s but they have a heart of gold CRPF coronavirusinindia,0.3125,Positive,03
A big NO to request for shifting men to village Corona virus was flying and now moving mostly in motor vehicles That way corona will start walking on the whole India weeping mostly poor villagers India must enforce lockdown,0.07499999999999997,Positive,03
Corona virus means ChineseVirus19 right,0.2857142857142857,Positive,03
GOA After yesterday s decision of CM to keep shops open people across the state busy buying stuff with free corona virus for family lockdown was need of hour,0.16666666666666666,Positive,03
Need of Total Shut down of pharmaceutical Company till Lockdown process Corona Virus issue,-0.07777777777777779,Negative,03
CHINA is asking everone not to call the Corona Virus as CHINESE virus I request everyone not to call it as CHINESE virus as CHINA is not liking it As per them CHINESE virus did not come from CHINA hence dont call it as CHINESE virus ChineseVirus19 bioweapon BoycottChina RT,0.0,Neutral,03
send help Stuck in india I am an australian born citizen And I am a prisoner in this hospital I have a cough and they wont even test me for corona I have no other symptoms Just a damn cough They wont let me leave Send help please at Goa Medical College amp Hospital,0.02083333333333333,Positive,03
Hope situation does not aggravate further however if things go bad you know who would be held accountable this is line outside Goa Bagayatdar in Cuncolim scary indeed this is time to act tough and not bow down to public pressure Corona Goa,-0.2492063492063492,Negative,03
Gone are those days when this name bought a smile corona goadiaries throwback Beach,0.3,Positive,03
Need of Total Shut down of pharmaceutical Company till Lockdown process Corona Virus issue Respected Sir Please Look into,-0.07777777777777779,Negative,03
Need of Total Shut down of pharmaceutical Company till Lockdown process Corona Virus issue,-0.07777777777777779,Negative,03
India video is in Konkani this is serious Why the leadership in Goa cannot handle the situation in sensible way Why taking it so personal keeping everything at stake goalockdown Goa corona,-0.16666666666666666,Negative,03
Focus has shifted from fighting covid19 to providing essential items Please collect your groceries along with CORONA coronavirus CoronaVillains,0.0,Neutral,03
will it possible to open fish market Because we Goan can t live without fish Request you not to take decision by taking few inputs total lock down must enforced in order to save Goa from Corona,-0.03653198653198654,Negative,03
