Tweets,Polarity,Sentiments,Month
China corona viruses and symptoms Be careful and treatment emergency basis indiaart indiaagainstcaa bharatanatyam bharatthefilm disease diseases diseaseprevention autoimmunedisease hindustanibhau,-0.1,Negative,01
Infection of any virus including corona is resulting of low immunity level in mankind due to nutritional deficiency and acidic built up of human body protect yourself with good nutritional supplements and alkaline water intake,0.14375,Positive,01
Mam would you please go to Nizamuddin 300 people are having the symptoms of Corona for reporting the actual fact,0.0,Neutral,03
So also corona positive PakistanUnitedAgainstCorona ImranKhan,0.2272727272727273,Positive,03
From 22nd March every day my Parents doing Maha Mrutyunjay Mantra Jap to remove Epidemic CORONA from whole world at Kabir Enclave,0.2,Positive,03
Maha Mrutyunjay Jap to remove Epidemic Corona from Whole world at Kabir Enclave,0.2,Positive,03
Life become best and amezing when you are around smile like nothing happen mihan corona lockdown picoftheday pictureoftheday Residency,0.65,Positive,03
If PrinceCharles BorisJohnson CarmenCalvo KanikaKapoor AbbaKyari RandPaul TomHanks RitaWilson IdrisElba could be positive for COVID19 where you do stand Stay Safe at home for next 21 days to BreakChain of Corona CoronaEffect CoronaVirusInIndia at IIM Ahmedabad,0.24242424242424246,Positive,03
STOP THE RUMOURS stoptherumours stoprumours stopcoronarumours fakenews stopfakenews fakenewsonsocialmedia dontspreadfakenews viralrumours corona coronavirus fightagainstcorona COVID 19 covid19,0.0,Neutral,03
Milk Chocolate Fudge with dash of Orange Extracts topped with Roasted Almonds Flakes Quarantine can t be that bad when you have chocolates with you MilkChocolate MilkChocolateFudge OrangeFlavour RoastedAlmonds BlueCoco Quarantine Corona HomemadeChocolates,-0.6999999999999998,Negative,03
Corona The Killer,0.0,Neutral,03
Surjewal ji Karenge We should only focus on Corona That is the only critical thing at this moment,0.0,Neutral,03
coronavirusindia CoronavirusLockdown In this photo the Ahmedabad violating the basics of Corona viruse live photo of today evening 6pm Jivraj mehta road near tv9 vejalpur Dengerous for us at Vejalpur Rd,0.11818181818181818,Positive,03
coronavirusindia This area 132 feet jivraj mehta road Ahmedabad this is the live photo of today evening 6pm Violating the basics of corona viruse Very dengerous for Ahmedabad at Vejalpur Rd,0.16818181818181818,Positive,03
While the entire country is infected with the corona virus and many people are dying every day Rising Youth Foundation has set up hand washing stalls for our police sanitation workers and tourists at various places so that they can be safe outside the house as well at Crowne Plaza Ahmedabad City Centre,0.2,Positive,03
A journalist who had attended PC of in Bhopal found corona COVID positive what about else who attended the PC means entire media of MP is under Suspicion,0.11363636363636365,Positive,03
Why they are not taking this huge pandemic seriously Is this how lockdown works Be COVIDIOTS CoronavirusLockdown LockdownNow StayAtHomeSaveLives Corona at Science City,0.03333333333333338,Positive,03
Go corona Go,0.0,Neutral,03
Fight Against CoronaVirus corona coronavirus nocorona fightagainstcorona coronavirusdisease disease COVID 19 covid19 infectiousdiseas virus washhands avoidtouch symptomsofcorona socialdistancing,0.0,Neutral,03
This was not to eleminate Corona virus from India instead this was to boost up the moral of the people from Health sector Police Sweepers and Media team too Instead of making PM guilty you could reply the Chinese Tweeter handler with the fact You r also not less than Corona,-0.10416666666666667,Negative,03
This was not to eleminate Corona virus from India instead this was to boost up the moral of the people from Health sector Police Sweepers and Media team too Instead of making PM guilty you could reply the Chinese Tweeter handler with the fact You r also not less than Corona,-0.10416666666666667,Negative,03
Corona kya kya na karaye Cooked Alu parathas and tomato sabzi for the entire First time in 25 years at Shri Krishna Tower,0.125,Positive,03
Thank you PM Modi for Janta Curfew 5 Minutes applaud for the Corona fighters given us full of energy My request is This applaud so go on daily basis till 31st March in result Corona have to flee from India and we will get win over them,0.3833333333333333,Positive,03
March payments are delayed with Corona excuse April is going to be difficult Longer this goes harder it will be,-0.21666666666666667,Negative,03
Janta Curfew India Fights Corona curfew jantacurfew indiafightscorona fightagainstcorona StayAtHome indiaclosedown indiabandh pmmodi modi corona coronavirus nocorona COVID 19 socialdistancing,0.0,Neutral,03
Coronavirus FakeNews This statement is being issued on behalf of the Kalhaar Bungalows Community Ahmedabad There is no confirmed case of Corona Virus in Kalhaar till date We are all safe and committed to a safe virus free environment,0.30000000000000004,Positive,03
What we will get from corona virros is just to have courage and keep safety,0.0,Neutral,03
kids Yoga at Home in time of Corona ExhaleYogaSchool YogaWithSamarth kidslove kidsloveit kidsyoga yogakids coronayoga Yoga School,0.0,Neutral,03
salutes all the Corona fighters be it Doctors Nurses Police Officials Airport Security Government Officials who are working tirelessly to keep everyone safe amp healthy Join in at 5 pm this Sunday to appreciate the efforts of all Coronafighters JantaCurfew at Radio City 91 1 FM,0.5,Positive,03
India s all neighbour countries are in list but not INDIA Thank You Modisir for making us fool that you built international relation with China But we dont need your help We indians are together to fight against CoronaCrisis We indians will win against Corona,0.4,Positive,03
Sir please lockdown our country for atleast two weeks or it will be difficult to control Corona outbreak in Phase 3,-0.5,Negative,03
Please lockdown our country for atleast two weeks or it will be difficult to control Corona outbreak in Phase 3,-0.5,Negative,03
IndiaFightsCorona Amrapalash Ahmedabad CoronavirusOutbreakindia Feedback Nice step taken by amc ahmedabad blown Hot air and water thrown at 1st corona case in Ahmedabadat Amrapalash Ramdevnagar nCoV2019 at Ramdevnagar Road,0.425,Positive,03
She died due to heart attack not due to corona,-0.03125,Negative,03
Let s be a responsible Indian and come together to war with this corona I am with you Mr PM sir janta curfew GoCoronaCoronaGo FightCOVID19,0.2,Positive,03
CORONA C Clean Your Hands O Off From Gatherings R Raise Your Immunity O Only Sick to Wear Mask N No to Hand Shake A Avoid Rumours JanataCurfew INDIA Gujarat,-0.11587301587301585,Negative,03
This is the official website for CORONA updates Updating every 4 hrs Keep This link for getting official Govt of India updates on CoronavirusOutbreakindia No more relying on rumours INDIA Gujarat JantaCurfew,-0.25,Negative,03
Corona Vacation Effect CoronaVirus IndianGovernment at Apna Adda,0.0,Neutral,03
Now announced that Medical Company will launch the Diagnostic kit for CORONA virus next Sunday INDIA CoronaVirusUpdates CoronavirusPandemic,0.0,Neutral,03
Chinese Corona virus but in Tension in India comady foryou foryoupage tiktokindia vandu lashkri G Highway Ahmedabad,0.0,Neutral,03
A weekend visit to McDonalds in ahmedabad for breakfast with globaleate turned out to be a unique one Overhearing our conversations on food safety standards and recent Corona virus impact on food chains the cafe,0.1875,Positive,03
Corona wairs se bachne ka upay ser kre or logo tk phuchae,0.0,Neutral,03
The loves of my life the Game and the game changer Down time family time Stay healthy and safe in these challenging times everyone corona spreadlove Blues And Greens Golf Club,0.09074074074074072,Positive,03
Please Stop The Corona Callertune Very Issues With Callertune During Emergency Vodafone Vodafone coronacallertune at Crowne Plaza Ahmedabad City Centre,0.2,Positive,03
FridayThe13th bloodbath BlackFriday sensex Anti India forces 4U Corona Virus Impact on Stock Markets across the World in the last 1 Month 26 26 25 27 20 19 16 24 14 17 12 17 And China 0 3,0.0,Neutral,03
Corona virus memes are too dank mall,0.0,Neutral,03
Haha but Corona is Ahmedabad BRTS buses yes seen the brand behind BRTS bus,-0.1,Negative,03
3M USA 8822 FFP2 better than N95 Best Mask for all kind of usage Parfect for CoRoNa Viruses Limited Stock only Available mgviplounge 3m mask 3m8822 coronavir s besafe ahmedabad,0.4047619047619047,Positive,03
To fight Corona virus swaamiramdev says practice Yoga Join the best short term long term and extended courses at Exhale Yoga School we r registerd with YogaAlliance USA 41 5star reviews on YogaAlliance best,0.4875,Positive,03
From corona,0.0,Neutral,03
So Tablighi jamaat have not only spread Covid 19 in delhi but also in pakistan,0.0,Neutral,03
Connect with THH for your next job connect for career guidance and in case if you have lost your job Share your cc at connect world covid covid 19 jobs careergoals careerguidance,0.0,Neutral,03
azimpremjidonation The billionaire chairperson of Wipro Limited has just added to the billions of dollars worth he has already donated by committing 34 per cent of shares in his company worth 7 5 billion dollars or 52 750 crores COVID2019india covid,0.1761904761904762,Positive,03
MF ChineseVirusCorona Coronavirus Death toll from COVID 19 exceeds 30 000 Coronavirus,0.0,Neutral,03
In lockdown situation everyone is fighting against COVID 19 Everyone s priorities is health grocery and household things Providing correct information to the society and updating us every minuit is also the essential AMC s Social media team is doinng tremdous job,0.016666666666666666,Positive,03
By Ahmedabad For Ahmedabad We are doing our small bit to help needy and vulnerable who have been impacted by COVID 19 lock down in Ahmedabad and in Gujarat We believe that,-0.3018518518518519,Negative,03
A Small contribution for our nation for betterment of nation s people in period when we are facing a worldwide problem covid 19 I am not a billionaire but from my bottom of heart I am contributing this for my nation family,-0.25,Negative,03
Let s generate some Positivity and fitness in this COVID 19 lockdown The Game is Workout in Lockdown Actions 1st action Daily workout and post workout the Photo with the caption for the same with,-0.07500000000000001,Negative,03
Covid 19 seen some tweet that donated 25 cr in PM fund but what hv khan done Pl refrain from such comment this is emergency situation we have to fight it together after that we can raise issue but till14 Let s keep bharat first IndiaFightsCorona,0.125,Positive,03
LATEST UPDATES COVID 19 updates as on 28 03 2020 at 3 AM Active Cases 748 Cured Discharged Migrated cases 67 Death cases 19 Please stay at home and comply with lockdown guidelines thank you govt for proactive measures CoronaUpdate,0.18333333333333332,Positive,03
Day 3 Sprout covid 19 covidcooking workfromhome work from home cooking cookingman sprouts menscooking cook homechef Ahmedabad Gujrat,0.0,Neutral,03
We are finding innovative ways to keep social distancing here in india surprised to see how we evolve quickly with the changed circumstances SocialDistancing Social Distancing Covid19India covid,0.2,Positive,03
21 days challenge and we are safe home Covid19India covid 21daysLockdown 21DaysChallenge,0.5,Positive,03
now with govt notification to consider expenditure on covid as csr expenditure more corporate have to show the commitments to FightAgainstCOVID19 with govt,0.25,Positive,03
We are all together and we fight together wishing for a quick recovery we shall overcome this soon Covid 19india covid AloneTogether,0.3333333333333333,Positive,03
Yoga at Home stayhome staysafe yogastretch yogastrong yogainstructor yogainspiration yogateacher yogatravel yoga covid19 covid 19 jantacurfew yogaworkshop yogamotivation yogajourney balance,0.0,Neutral,03
Here s Our MITTAL family thanking all our health workers everyone out their for all the efforts Stay safe 5baje5minute Ahmedabad CoronavirusPandemic JantaCurfewPledge JantaCurfewMarch22 Covid 19india,0.5,Positive,03
Respect to all social worker fighting against COVID 19 by our Kids at Changodar,0.03333333333333333,Positive,03
JantaCurfewMarch22 GujaratFightsCovid19 StayHomeStaySafe ISupportJantaCurfew People of ahmedabad fully support with our Honerable PM s instructions to save Us amp Save country from Covid 19india at South Bopal,0.0,Neutral,03
Nation wants Your Contribution now One mistake cost to many lives So be responsible citizen in this tym support ji s JanataCurfew CoronavirusPandemic Covid 19india COVID19outbreak at Science City,0.3,Positive,03
I have never seen this road so empty It is good that people are following JantaCurfew jantacurfew22march Covid 19india CoronaUpdatesInIndia JantaCurfewChallenge,0.2,Positive,03
There is one Covid 19 suspected case in our society Venus Parkland 80Yrs old aunty came from Dubai suffering from common cold and other health problem but she is not ready to visit hospital and even helpline 104 is not cooperating Patel Pls,-0.205,Negative,03
Zomato Offers Contactless Delivery Option For Your Food Orders to Curb COVID Spread woman,0.1,Positive,03
My newoffice workfromhome remotework covid 19 staysafe stayhealthy and most importantly stayhome,0.45,Positive,03
Iranian doctor Shirin Rouhani has passed away due2 Covid 19 In last days she was found to check patients even when she was on IV infusion herself as iran and Maximum Muslim countries have scarcity of medical staff Rest in peace madam Truly a hero,0.0,Neutral,03
I thank all brave Doctors Nurses of India for fighting against COVID Coronafighters LetsFightCorona IndiaFightsCorona at Ahmedabad Haat,0.8,Positive,03
India Carries Out Third And Largest Evacuation From Iran Amid COVID 19 Outbreak Brings Back 234 Indian Muslim But no one give the proactive approach of our PM ji and,0.0,Neutral,03
Cc see instead of fighting against Covid 19 busy in propaganda that CoronaVirusUpdate originated in US,0.0,Neutral,03
What is COVID 19 IndiaFightCrona COVID19 C Chinese O Originated V Virus I In D December 19 2019 prayforitalia prayforspain prayforAmerica PrayersForCoronaFreeWorld PrayTogether PrayForTheWorld ChineseVirus19,0.0,Neutral,03
Odisha Respected Sirs I did a bit on my part to do something for my country at this critical time We will win for sure God bless us all Please stay at home the only medicine for Covid19 COVID2019india fightagainstcorona,0.325,Positive,03
I m Done Sir My Contribution in I am a Law Bound Citizen of INDIA I will stay at my home and will support my Government for the fight against CoViD19 Get Yours at at Bopal,0.0,Neutral,03
Thanks to IndiaFightsCorona it s high to for industries to contribute from open hands in fund for COVID19,0.12,Positive,03
In these situations of Covid19 people can see others in problems but cannot see them dying It would be very scary for everyone to see people like USA and China dying,-0.65,Negative,03
In these situations of Covid19 people can see others in problems but cannot see them dying It would be very scary for everyone to see people like USA and China dying NarendraModi Yogiadityanath aajtak,-0.65,Negative,03
IIMA Prof Sebastian Morris talks about Urgent monetary and fiscal measures required in the face of the Covid19 Crisis Listen to the Podcast on economy finance financialpackage EconomyCrisis at IIM Ahmedabad,0.0,Neutral,03
Ironic in time of Covid19 people have time for terrorism,0.2,Positive,03
Having Indian family doesn t make you knowledgeable or expert on India Let me correct you for Covid19 prevention is better because there is no preventive cure,0.5,Positive,03
And that s how people are fighting against coronavirus literate gawars COVID19 StayHomeIndia CoronavirusOutbreak LockdownNow COVIDIOTS StayAtHomeSaveLives,0.0,Neutral,03
In this situation of covid19 government hospital is closed Such irresponsible behaviour in Ahmedabad is pathetic Someone Please look into Bhaskar at Ghuma Lake,-0.3666666666666667,Negative,03
Details of Coronavirus and how to fight it explained by Dr dr bharatbhagat coronavirus covid19 and Care Foundation,0.0,Neutral,03
Janta curfew for the people by the people self imposed Janta curfew on Sunday 22 March 2020 from 7am to 9pm Stay Home Lets s take care of ourselves Each Other GujaratFightsCovid19 JantaCurfew COVID19 SocialDistancing IndiaFightsCorona at South Bopal,-0.125,Negative,03
Curfew of the people by the people for the people to fight COVID19 As a responsible citizen come forward amp respond to PM s call for Janta Curfew by taking the I Support Janta Curfew pledge IndiaFightsCorona,0.2,Positive,03
Curfew of the people by the people for the people to fight COVID19 As a responsible citizen come forward amp respond to PM s call for JantaCurfew by taking the ISupportJantaCurfew pledge IndiaFightsCorona at Ahmedabad Haat,0.2,Positive,03
From Global Village to every country become an isolates village COVID19 ChinaVirus chinawuhancoronavirus ChinaLiedPeopleDied,0.0,Neutral,03
Maximum people who have coronavirusindia are returned from London recently the lady from raipur can expect what will be the real number of people inflected with COVID19 in london londonlockdown UKlockdown,0.1,Positive,03
the importance of social distancing measures to flatten the curve on COVID19 transmission we people of ahemdabad should also understand the situation and lockdown city as soon as possible to prevent ourselves from the coming worst situations at Sandesh Press,-0.32222222222222224,Negative,03
Lel Corporates be like Due to declaration of Covid19 as a global pandemic we are removing the lunch hour in our schedule from now on to ensure greater safety of our employees,0.125,Positive,03
PM at video conference of all SAARC member countries over COVID19 he proposed a COVID19 emergency fund based on voluntary contributions from all of us India can start with an initial offer of 10 million US dollars for this fund,0.0,Neutral,03
EPIC Enhanced Testing Proactive Detection Intensive Surveillance Corona Checkposts This is how responded to the pandemic Good Going sir and Team,0.4,Positive,04
The time when world is fighting with Corona As a nation and as most populous state we can be better alternative to Chinese in terms of labour and land tariffs with one window clearance as soon as possible,0.25,Positive,04
just saying They are also Potential donors First they will get CoRona then they will spread it Then some of them will cure few of em will give plasma You will be proud of them This is the Chronology Right,0.22714285714285715,Positive,04
I sachin Kumar 7082029479 here stucked in Ahmadabad with my family pleaSe escape us from here corona spreads in huge quantity I want to go at my home village matak majri indri district Karnal at Applewoods Satyesh Residency,0.4000000000000001,Positive,04
Congress epic Parliament Attack Afzal is my hero 26 11Attack Kasab is my hero PulwamaAttack Adil is my hero CAAprotests Sharjeel is my hero Delhi riots Tahir is my hero Corona outbreak Tablighi is my hero at Ahmedabad Haat,0.1,Positive,04
National Art Competition COVID 19 AWARENESS CAMPAIGN S Student artist Pearl Panjwani Title Prevention for corona Medium oil pastels and water colours size A 3 size Prize,0.0,Neutral,04
Yeah we should give credit then for donating CoRona to India as well,0.0,Neutral,04
GOOD NEWS Bopal s one more ve corona patient sh Deven Bhatt Dy Commissioner AMC Anand Krupa opp Bhavya Park is now NEGATIVE He reached home certified Now we are left with 4 ve pations Jai Hind at Bopal circle,0.225,Positive,04
Something to consider Corona,0.0,Neutral,04
India Fights Corona under great leadership of Ji amp Not to forget Corona Citizen Warriors Mendola Salute,0.8,Positive,04
