Tweets,Polarity,Sentiments,Month
The Western powers are thinking of using the Corona virus as a biological weapon This is a small human trial,-0.08333333333333333,Negative,01
CureCancer By TrueWorship Say bye bye to all Disease forever Either CANCER CORONA VIRUS HIV by follow the true worship of GOD Kabir Is Real God We Have so many examples of the person who is suffers from disease but today they all are absolutely active TuesdayMorning,0.06333333333333335,Positive,02
There is noise all over the world that animals are the cause of corona virus in humans but no one has dare to say that do not kill animals or we will have to die too Today Saint Rampal Ji s disciples are telling you through this tag give up eating meat NoMeat NoCoronaVirus,0.0,Neutral,02
NoMeat NoCoronaVirus Stop Eating Meat Corona Virus Came from Wild or Domestic Animals One should never consume meat God never happy with those who kill His beings Saint Rampal Ji Maharaj Watch Sadhna T V 7 30pm,-0.10000000000000002,Negative,02
NoMeat NoCoronaVirus Eating a meat is Greater SIN they also cause diseases like CANCERS Skin diseases CORONA Virus Stop eating MEAT it s against the constitution of God We Should avoid the All meat n Follow the TRUE GOD WORSHIP Kabir Is Real God,0.35000000000000003,Positive,02
Porkistan is safer than us in context of its susceptibility to the CoronaVirus Even Corona Virus ran back to MainlandChina seeing conditions in Pakistan,0.0,Neutral,02
Chinese scientists says COVID 19 coronavirus is likely bio engineered by Chinese government,0.0,Neutral,02
WorldSavior SaintRampalJi The real reformer will not be muslim or Jews He will be Hindu America china all men women must see this video human life is too short COVID19 God save aal types of virus but how,0.06666666666666668,Positive,02
Our motherland have 545 lok sabha members 245 rajya sabha members 4120 mla s Total 4910 leaders 4910 5 lakh Hopefully its 2500 crores All politician must create worshipful records for Corona virus Jai hind,0.0,Neutral,03
We can collect 2500 crores from all mp s rajya sabha members mla s if every politician give 5 lakh only for Corona virus Jai hind,0.0,Neutral,03
We can collect 2500 crores from mp s rajya sabha mla s if every politician give just 5 lakh All politician must help nation for Corona virus Be brave for it Jai hind,0.8,Positive,03
Though being human was the need of the hour but the ambitions of this man are pretty high with ili minded associates like amp he will run this agenda ahead also Delhi hs been captured masterly and now Corona has also been pushed to demean others,0.1366666666666667,Positive,03
We can collect at least 2500 crores from all mp s mla s if every member contribute 5 lakh each for Corona virus But it needs big hearts Jai hind,-0.15,Negative,03
Benefits Of Satsang True sant satsang gives us true knowledge that god have power to ends all diseases like corona virus Must watch sant rampal ji satsang on sadhna at 7 30 p m,0.35,Positive,03
Total number of Corona Virus cases in India crosses 1000 Active 901 Cured 095 Death 027 Migrated 01 Total 1024 As on 29 March 7 30 PM,-0.04444444444444445,Negative,03
Think for poor people unemployment due to Corona virus Try to send all at their home It s crucial problem Jai hind,-0.17500000000000002,Negative,03
Tfrd to Karnal Corona Relief fund MyNationMyDuty AdoptaFamily Humanitycall,0.0,Neutral,03
So this Corona Virus has made Chinese people stand against their own people Very disturbing This also highlights that people there don t want to trust the CCP regime and still fear another outbreak in the region,-0.01666666666666668,Negative,03
Dear Sir this is an awesome idea it can be very useful tool to fight against corona virus plz watch INDIA IndiaFightAgainstCorona,0.6950000000000001,Positive,03
Please donate from BJP party fund to PM care fund to fight Corona,0.0,Neutral,03
Try to get donation for Corona virus from super rich Jai hind,0.35416666666666663,Positive,03
stay home stay safe coronavirus lockdown corona virus covid 19 w2shub karnal haryana india picoftheday photooftheday instapic followtrain followers world Hub,0.5,Positive,03
Stay Home Stay Safe Follow DC Rules amp orders for Corona Virus covid 19 COVID19 covid at CSC Aadhaar Center Taraori,0.2,Positive,03
GodMorningFriday Nostradamus also predicted about saint Rampal Ji Maharaj and wrote that he can even bring natural changes by his spiritual power ChineseVirus19 Supreme Saint Rampal Ji Maharaj Must Wacth Ishwar TV 8 30pm IST China America corona,0.05,Positive,03
GodMorningFriday Must know how to use the leisure time found in this corona virus epidemic to see who is the Almighty Lord Must Wacth Ishwar TV 8 30pm,0.0,Neutral,03
Hospital s with ventilators facilities are extremely require to handle awkward situations by Corona virus Jai hind,-0.3625,Negative,03
Become world leader by hard laws excellent strategies against Corona virus Jai hind,0.35416666666666663,Positive,03
Amazing superb realism with charcoal Khol by give a social massage corona cornavirus india china germany italy usa iran england artist artoftheday characterdesign,0.5444444444444445,Positive,03
All we have to do is nothing but stay at home to fight against corona virus But what about those people who are even fighting to meet their basic needs They are so helpless or hopeless so we except from our govt To provide them their basic stuffs so that they can also stay,0.0,Neutral,03
socialdistancing corona virus covid 19 cov d19 staystrong stayhome staysafe karnal haryana india picoftheday photooftheday instapic followtrain followers world w2shub Hub,0.0,Neutral,03
Focus on cash facilities instead of midday meal goods distribution due to Corona virus Jai hind,-0.125,Negative,03
It s illogical and irresponsible to provide midday meal distribution due to Corona virus Make strong planning please Jai hind,0.15416666666666665,Positive,03
Kindly provide cash facilities in every state for midday meal distribution Think seriously about Corona virus Jai hind,0.13333333333333333,Positive,03
Kindly provide cash facilities instead of midday meal goods to students Make respectable planning not irresponsible planning Fight against Corona virus first Jai hind,0.45,Positive,03
Why haryana Gov t focusing on midday meal distribution instead of control of Corona virus Provide cash to students families Shameless planning irresponsible planning of haryana Gov t Salute to yogi ji planning Jai hind,0.0,Neutral,03
Why Gov t of India haryana doing logic less work to open schools only for mid day meal distribution Kindly focus on remedies of Corona instead of midday meal distribution Shameless planning Jai hind,0.08666666666666667,Positive,03
Dear PM Modi Health Ministry INDIA Please don t send us to war without weapons please arrange PPE N95masks HazmatSuits HandSanitizer to defeat Corona Sincerely yours IndianDoctors PPEsBeforeApplause COVID19,0.5,Positive,03
Corona virus killing people s like cobra s snakes style Kindly research on it and provide treatment like cobra s medicine for people after scientists doctors recommendation May be we reach nearly Corona virus Jai hind,0.35,Positive,03
Sw Vivekananda Do not talk of wickedness of the world The world is made weaker by this Men are children of immortal bliss Let strong helpful thoughts enter Open your lives to positive thoughts and not to weakening ones Together we will fight Corona and emerge successful,0.3526515151515152,Positive,03
ShaheenBaghEmpty GodMorningTuesday TuesdayThoughts TuesdayMotivation In the time of COVID 19 when we StayAtHomeSaveLives we must know how to beat corona SaintRampalji CanEndCorona by the help of Kabir Is TrueGod power Sadhna Tv 7 30 Pm TV Today 2 30 Pm,0.0,Neutral,03
HowToEnd CoronaPandemic Tv Actor Appeal to the Prime Minister that only the end of the Corona epidemic can be done by Saint Rampal Ji Maharaj he is a complete saint and will solve this disease immediately with his spiritual power,0.03333333333333333,Positive,03
Kindly focus on treatment of cobra s snakes bites as Corona virus May be Corona virus taken from cobra s virus sides as Corona virus killing people s like cobra s style Jai hind,0.6,Positive,03
Corona virus maybe taken from cobra s virus sides Corona virus killing people s like cobra s style Kindly focus on research and treatment of cobra s problems after doctors recommendation May almighty God helps for it Jai hind,0.6,Positive,03
Corona virus maybe taken from cobra s virus as Corona virus killing people s like cobra s style Kindly focus on treatment of cobra s snakes bites after doctors recommendation Jai hind,0.6,Positive,03
Corona virus maybe be taken from cobra s virus Kindly research on it because Corona covid killing people s like cobra s by breaking their breath Apply medicine like cobra s after research recommendation doctors Jai hind,0.6,Positive,03
Corona virus maybe be taken from cobra s virus as Corona virus killing people s like cobra s style Kindly focus on treatment like cobra s medicine snakes biting Jai hind,0.6,Positive,03
DNAFromHome Corona virus maybe taken from cobra s virus side Cobra s kills people s with breaking breath as like Corona virus killing Kindly focus on treatment of cobra s snakes bites with doctors recommendation Jai hind,0.6,Positive,03
It s serious matter Maybe Corona virus taken from cobra s virus as Corona killing people s cobra s style after breaking the breathe Apple treatment of cobra s snakes bites after doctors recommendation Jai hind,-0.3333333333333333,Negative,03
Corona virus maybe taken from cobra s virus Kindly try medicine of cobra s virus for treatment after research and recommend from doctors Jai hind,0.6,Positive,03
Corona virus maybe be taken from cobra s virus As Corona virus killing people s like cobra s style Kindly focus on medicine of cobra s snakes biting Cobra s maybe responsible for such virus Try medicine like cobra s biting after research and recommend from doctors,0.26666666666666666,Positive,03
Corona virus killing people s like cobra s style Hopefully Corona virus taken from cobra s body Kindly try medicine of cobra s snakes bites after doctors recommendation Jai hind,0.6,Positive,03
Corona virus maybe taken from cobra s virus because Corona killing people s like cobra s style Kindly try medicine of cobra s snakes bites after doctors recommendation Jai hind,0.6,Positive,03
Corona virus maybe taken from cobra s virus As cobra s kills people s with breaking breath Corona virus doing same like cobra s Apply treatment of cobra s snakes bites after doctors views Jai hind,0.0,Neutral,03
Corona virus maybe taken from cobra s Cobra s killing people s by breaking their breathing Kindly focus on treatment of cobra s snakes bites Jai hind,0.6,Positive,03
Corona virus may be taken from cobra s Kindly focus on medicine of cobra s snakes bites to patients with doctors recommenations I can be wrong but our superb doctor can try because it may be virus from cobra s as this virus killing people s like cobra s style Jai hind,0.3666666666666667,Positive,03
Kindly focus on treatment of cobra s snakes bites Corona may be describing virus from cobra Cobra s kills someone s by stopping their breathing Hopefully doctors may recommend research on it I can wrong but try for treatment like cobra s medicine Jai hind,0.04999999999999999,Positive,03
HowToEnd CoronaPandemic SantRampalJi CanEndCorona True SAINT RAMPAL JI MAHARAJ is telling the World Via his Satsangs that the power spirituality is way above Science Only Saint Rampal Ji Maharaj has the cure for this deadly Corona virus disease,0.037499999999999985,Positive,03
SantRampalJi CanEndCorona GodMorningMonday Only Saint Rampal Ji Maharaj can save the whole world from a terrible disease like Corona with his philosophy Fore More information Wacth Ishwar TV 7 30pm,-0.07500000000000001,Negative,03
Sir How you have come to know that Haryana is safe and corona proof Sir take action seeing the larger intrest of the people no packages announced no lockdown enforced companies are calling staff traffic is normal,0.1875,Positive,03
SantRampalJi CanEndCorona Appeal to the Prime Minister that only the end of the Corona epidemic can be done by Rampal Ji Maharaj he is a complete saint and will solve this disease immediately with his spiritual power,0.03333333333333333,Positive,03
SantRampalJi CanEndCorona ONLY GOD HAS THE POWER TO CREATE AND DESTROY THE WORLD GOD CAN SAVE THIS WORLD FROM THIS EPIDEMIC CORONA IT CAN BE CURED BY TAKING INITIATION FROM TRUE SAINT WHO IS SANT RAMPAL JI MAHARAJ only,0.037499999999999985,Positive,03
SantRampalJi CanEndCorona AN APPEAL TO THE PRIME MINISTER OF INDIA Saint Rampal Ji Maharaj Tells Through His Divine Satsang That IF A PERSON COMES UNDER THE SHELTER OF LORD KABIR AND TAKES NAD TAKES INITIATION FROM THE REAL SAINT SANT RAMPAL THEN FATAL DISEASE CORONA BE CURED,0.2,Positive,03
Thanks Your support angaints Corona,0.2,Positive,03
SantRampalJi CanEndCorona RESPECTED Mr Modi Presently the entire nation is suffering due to The corona virus pandemic There is a sound of a disaster Yet to come We request you to save india by Praying and requesting sant rampal ji maharaj To end this epidemics,0.06875,Positive,03
SantRampalJi CanEndCorona Do you know You know that science has also failed in front of the Corona virus and only Sant Rampal Ji Maharaj can finish the Corona virus on this entire earth dying millions due to virus Great world leader Saint RampalJi,0.03500000000000001,Positive,03
When v r fighting corona another fight is going on in Chhatisgarh amp we lost 17 personnel of r forces While our country looks up 2 Kashmir v forget 2 see wt happens in d mid of our nation naxalites need to be exterminated with roots torn up always proud of you,0.4,Positive,03
SantRampalJi CanEndCorona Solution of corona Supreme Sant Rampal Ji Maharaj,0.0,Neutral,03
We respect the decision of for JantaCurfew in order to avoid the scope of Corona Virus,0.0,Neutral,03
WhoCanSave The World God Kabir Saint Rampal Ji Maharaj True worship can cure incurable diseases like Cancer Aids Corona virus etc Saint Rampal Ji Maharaj is the one who provides true worship Watch Sadhana Channel at 7 30 pm,0.06666666666666665,Positive,03
WhoCanSave The World There are many cases when a person cure from harmful diseases like cancer corona and aids After getting refuge of Saint Rampal Ji Maharaj Must Watch Sadhna Channel at 7 30pm,0.5,Positive,03
WhoCanSave The World God kabir Ji Save the world Corona Virus solution is worship of Kabir Ji Only God extends life Spna of his devotee plz come in shade Saint Rampal Ji Maharaj Must Wacth Sadhna TV 7 30pm,0.0,Neutral,03
Suzuki Motors Pvt Ltd Basara Mehsana Gujarat is still open and posing threat to thousand of employees working in the company to CORONA virus Timely action in this matter will help to prevent the spread of virus in the country,0.05,Positive,03
WhoCanSave The World You should know that the treatment of corona is possible only with the true worship of the Supreme God Kabir Saheb after taking initiation from a complete saint Saint Rampal ji maharaj,0.1125,Positive,03
salutes all the Corona fighters be it Doctors Nurses Police Officials Airport Security Government Officials who are working tirelessly to keep everyone safe amp healthy Join in at 5 pm this Sunday to appreciate the efforts of all CoronaFighters JantaCurfew,0.5,Positive,03
salutes all the Corona fighters be it Doctors Nurses Police Officials Airport Security Government Officials who are working tirelessly to keep everyone safe amp healthy Join in at 5 pm this Sunday to appreciate the efforts of all CoronaFighters JantaCurfew,0.5,Positive,03
Apeal to fight against corona should be voice of each Indian we must pledge to support our government policies,0.0,Neutral,03
Sir plz change the Name of Corona it will loose its power,-0.07692307692307693,Negative,03
I SANJEESH KUMAR pledge to follow JanataCurfewMarch22 in our fight against CORONA Virus IndiaFightsCorona I request to follow the same,0.0,Neutral,03
It s not PM Or anyone else but we all should be aware to awaken the mass community against corona which has more harmful effect than a world war,0.375,Positive,03
Sir the curfew for one day has let to extreme measures with all prices rising and no autos and other public private vehicles available for transport I request you to dispose off the panic and rather tell the symptoms of corona and self isolation and precautions,0.030000000000000006,Positive,03
Corona Virus has impacted the IT industry as well but it will be up soon CoronaVirusUpdate,0.0,Neutral,03
So good to see Prime Minister is leading from the front and requesting the people of the nation to give their time in order to fight hard with this invisible enemy The Corona Virus GoCoronaCoronaGo StaySafeStayHome,0.20416666666666666,Positive,03
LessTraffic less pollution more personal space more family time these are times when we realise sometimes these are the things that bring us close to actually taking care of ourselves covid 19 corona coronavirus coronavirusoutbreak coronaviruspandemic quarantine,0.16666666666666669,Positive,03
We should try to find that place where no any pandemic disease like corona exists HomeOfSoul Satlok coronaviruschina yes i am talking about it There is No any situations where people get death No birth and death,0.0,Neutral,03
This is our govt PM is cancelling his meeting IPL due to the threat of corona virus but we can give the exam because ofcourse the country wont suffer if one of us dies but the country will suffer if one of the celebs ministers dies SSC CHSL,-0.125,Negative,03
Only 1 case of Corona in India and look at craze for masks Daily 400 people die in road accidents amp no craze for Helmets,0.0,Neutral,03
COVID 19 battles are Won in battle field not on Twitter feel that Govt officials are fighting against COVID 19 more on Twitter and Facebook and less on ground zero China was fighting on ground zero not on Twitter and Facebook,0.16666666666666669,Positive,03
Breaking chain only solution Protect against covid 19,0.0,Neutral,03
During this difficult time it is essential to support humankind and fight against Coronavirus I appeal to everyone to follow this 21 Days National Lockdown and help the world to breakthechain of Covid 19 21daysLockdown Lockdown21 IndiaFightsCorona,-0.25,Negative,03
Maintain safe distance from people Covid 19india,0.5,Positive,03
HowToEnd CoronaPandemic IF YOU WANT TO GET RID FROM THE CORONAVIRUS COVID 19 TAKE THE SHELTER OF SAINT RAMPAL JI MAHARAJ,0.0,Neutral,03
HowToEnd CoronaPandemic MANY OF THE MEDICAL RESEARCHERS ARE FAILED IN FINDING CURE OF CORONAVIRUS COVID 19 THIS EPIDEMIC CAN BE CURED BY THE WORSHIP OF TRUE SAINT WHICH IS NOT OTHER THEN SAINT RAMPAL JI MAHARAJ,0.08249999999999999,Positive,03
HowToEnd CoronaPandemic WORLD IS INFECTED BY A FATAL DISEASE NAMED CORONAVIRUS COVID 19 MANY MEDICAL RESEARCHERS ARE FAILED IN MAKING OF ANTIDOTE FOR CORONAVIRUS ONLY SAINT RAMPAL JI MAHARAJ CAN CURE IT BY THEIR TRUE WORSHIP,0.06999999999999999,Positive,03
HowToEnd CoronaPandemic CURE OF CORONAVIRUS COVID 19 IS POSSIBLE ONLY BY TAKING REFUGE UNDER THE SHELTER OF TRUE SAINT WHICH IS NOT OTHER THEN SAINT RAMPAL JI MAHARAJ,0.103125,Positive,03
HowToEnd CoronaPandemic AS WE ALL KNOW THAT OUR EARTH IS BEING SURROUNDED BY A PANDEMIC NAMED CORONAVIRUS COVID 19 THIS VIRUS IS SPREADING RAPIDLY ONLY TRUE SAINT RAMPAL JI MAHARAJ CAN SAVE US FROM THIS EPIDEMIC,0.175,Positive,03
SantRampalJi CanEndCorona ALL HUMANITY IS IN DANGER DUE TO THIS PANDEMIC CORONAVIRUS COVID 19 IF WE WANT TO REFUGE FROM THIS PANDEMIC WE SHOULD GO IN THE SHELTER OF TRUE SAINT WHO IS NOT OTHER THAN SAINT RAMPAL JI,0.09583333333333333,Positive,03
SantRampalJi CanEndCorona WhoCanSave TheWorld Only supreme related power can do everything We can free from Covid 19india from the help of supreme power Today time supreme power is SantRampalJiMaharaj Kabir Is Real God,0.15000000000000002,Positive,03
Thank you PM ji for leading us Thank you doctors medical staff and all officials for protecting us Thank you citizens of India for uniting against CaronaVirus JantaCurfew 5baje5minute clapforourcarers Covid 19India ThankYouDoctors,0.0,Neutral,03
Together we stand against pandemic thanks to all the essential services like doctors and medical staff helping in this need of hour jai hind Covid 19india JantaCurfew,0.06666666666666668,Positive,03
Train conductor told me I should not worry about COVID 19 then demonstrated hand sanitizer use on hands then face then up each nostril Maybe hands again,0.0,Neutral,03
QuizTimeMorningsWithAmazon is a great respite from the Covid 19,0.8,Positive,03
Hello i kindly request you not to come out of your house after 10 pm tonight till tomorrow 5 am As their will be spraying medicine in the air in order to kill the COVID 19 Share this information to all your friends relatives and your families Thank you,0.6,Positive,03
The Psychology Of Uncertainty How To Cope With COVID 19 Anxiety via,0.0,Neutral,03
The Psychology Of Uncertainty How To Cope With COVID 19 Anxiety via,0.0,Neutral,03
Donate 121 Iss baar Desh ke liye Navratri Share with your friends and tag them Payment link donate121 donate121rupees pmrelieffund coronavirus covid19,0.0,Neutral,03
and you are missing from the Hospitals You must reach out to the patients of COVID19 pandemic Set example of your patriotism and distribute masks medicines,-0.2,Negative,03
No excitment of weekend first time ever coronavirus Covid19India covid19,0.25,Positive,03
Dear PM Modi Health Ministry INDIA Please don t send us to war without weapons please arrange PPE N95masks HazmatSuits HandSanitizer to defeat Corona Sincerely yours IndianDoctors PPEsBeforeApplause COVID19,0.5,Positive,03
HowToEnd CoronaPandemic Now the condition is worsening in Iran Italy America India Spain except China Covid19 has done a huge damage to persons of all religion now know why it s happening which is not written in Quran Bible ved etc,0.4000000000000001,Positive,03
Strange coincidence that all worst affected Covid19 cases are along the same Latitude 40 From left France Italy Iran Wuhan S Korea Japan Seattle Washington NewYork,-0.2625,Negative,03
Our army s doing excellent in j k Nowadays with Corona virus manthan time need hard laws for anti nationalist who are infected with international Islamic agenda Attach anti nationalist amp irresponsible politician citizens properties by amendments Be hard for new India,0.1106060606060606,Positive,04
Corona virus manthan time is demanding new policies in salaries welfare policies for youth amp poor people s Population control laws one education system uniform civil code amp others hard laws by amendments in 70 years flexible constitution Break records of hospital s,-0.18510101010101013,Negative,04
Corona virus manthan guiding us to control politician allowances Gov t employees beneficiaries allowances timely make new policies for employment of youth A huge difference is coming every year of salary Control it Provide new hospital s employment to youths J hind,0.22424242424242424,Positive,04
The stock markets have tanked globally due to the corona crisis The Indian markets have almost fallen 40 from its peak Is this the best time to invest If No when should we start If yes what should be buy If we buy what if it falls further stockmarket EconomicCrisis,0.2916666666666667,Positive,04
Politician can set up a better understanding in society to avoid some allowances pensions for nation Mahanayak modi ji nationalist team must reduce some allowances in Corona virus manthan time We can save crores from such allowances amp pensions Jai hind,0.25,Positive,04
Corona virus manthan guiding us to take hard decisions for population control laws one constitution one education system for 130 crores Indian 33 crores 4 members Make new welfare policies health security education security for 33 crores families Jai hind,-0.07765151515151518,Negative,04
Why baba ramdev ji hiking price of wheat atta others products during Corona virus manthan Be hard for all Jai hind,-0.2916666666666667,Negative,04
3 medicine and 1 psm resident test positive today at jhalawar medical college raj Now babbu mann can sung MEDICO di jun buri Kade lath te kade corona,0.11363636363636365,Positive,04
NarendraModi did not think about stopping an epidemic like Corona from coming to the country and YogiAdityanath did not think about stopping it from coming to Uttar Pradesh The result is in front,0.0,Neutral,04
Help Them Followers of Sant Rampal Ji Maharaj arranged for bhandara for the needy who came forward during the crisis of corona epidemic Must watch sadhana T v 7 30pm,0.0,Neutral,04
Salute to Corona warriors,0.0,Neutral,04
