Tweets,Polarity,Sentiments,Month
Feeling as cool as my chilled corona travel adventure wanderlust vacation travelgram explore holiday travels traveler traveller traveling travelling travelphotography,0.35,Positive,11
End of a long but very productive week and it s time for a cold one here in Bangalore And what better when in India to drink a nice locally brewed Corona Yeah I know that and Budweiser is sadly all they have,0.021428571428571432,Positive,11
is the cost of the helmet corona and halo Rs 2349 standard across india or each dealer can charge as they want,0.0,Neutral,11
Hike more Worry Less sachin 0 0 nived jayaraj akhil raj 97 corona quarantine tb friends travel photooftheday instagood love fashionblogger happytime,0.2777777777777778,Positive,03
Its called social responsibility and shows how indians integrate to fight against corona pandemic,0.03333333333333333,Positive,03
Dander stay at home stay alive corona spreading like wild fire Live count CoronaVirus Covid19 Covid 19 StayAtHomeSaveLives COVIDIOTS CoronavirusLockdown StayHome StayHomeStaySafe PhysicalDistancing SocialDistancing Lockdown,0.11212121212121212,Positive,03
happy movement Happy ugadi celebration in home plz stay in home Control the corona,0.8,Positive,03
It s not the anyay of Corona it s the anyay of Bharathiya Jantha Party,0.0,Neutral,03
Forget about others Take care of your near and dear ones Latest count Covid Corona Covid 19 CoronaVirus GoCorona SelfDistancing SocialIsolation StaySane SelfQuarantine SocialDistancing2020 Quarantined CoronaVirusQuarantine,0.3,Positive,03
I AM STARTS WITH YOGA AND EXERCISES AS A DAILY ROUTINE AND U HEALTH IS EVERYTHING STAY TUNED TO ELIMINATE CORONA PANDEMIC,0.0,Neutral,03
Now that we must follow social distancing to avoid the spreading of Corona we must still not miss the sunrise and sunsets from our windows This too shall pass hold strong follow WHO governments and doctors And,0.2333333333333333,Positive,03
Work from Home due to corona effect CoronaVirusUpdate coronavirus COVID WorkFromHome unifyder marketresearch Online REALITY,-0.125,Negative,03
Wash your hands Avoid crowded places whenever possible Stay at home if you feel unwell Don t believe every WhatsApp forward Check for updates Don t panic Wash your hands CoronaOutbreak Corona,0.0,Neutral,03
They have anti corona power sir,0.0,Neutral,03
COVID19india coronavirusinindia Dear Friends corona virus has already knocked the doors of India If there is a pandemic broken out because of the poor sanitary practices and population density our country will suffer heavily 1 h,-0.3333333333333333,Negative,03
calls a stupid president Bold and true statement Covid 19india COVID19outbreak DonaldTrumpIsKillingAmericans TrumpRecession Coronaindia,-0.03888888888888888,Negative,03
God save our earth from this scourge CoronaVirus Covid19 Covid 19 StayAtHomeSaveLives COVIDIOTS CoronavirusLockdown StayHome StayHomeStaySafe PhysicalDistancing SocialDistancing Lockdown,0.0,Neutral,03
Stay at home stay alive Today s live count CoronaVirus Covid19 Covid 19 StayAtHomeSaveLives COVIDIOTS CoronavirusLockdown StayHome StayHomeStaySafe PhysicalDistancing SocialDistancing Lockdown,0.11818181818181818,Positive,03
USA surpasses China in No of cases CoronaVirus Covid19 Covid 19 StayAtHomeSaveLives COVIDIOTS CoronavirusLockdown StayHome StayHomeStaySafe PhysicalDistancing SocialDistancing Lockdown,0.0,Neutral,03
Stay alive be aware be cautious be safe Live count CoronaVirus Covid19 Covid 19 StayAtHomeSaveLives COVIDIOTS CoronavirusLockdown StayHome StayHomeStaySafe PhysicalDistancing SocialDistancing Lockdown,0.2465909090909091,Positive,03
Today morning count Be aware be cautious be safe Danger Danger Danger CoronaVirus Covid19 Covid 19 StayAtHomeSaveLives COVIDIOTS CoronavirusLockdown StayHome StayHomeStaySafe PhysicalDistancing SocialDistancing Lockdown,0.375,Positive,03
Today s count CoronaVirus Covid19 Covid 19 StayAtHomeSaveLives COVIDIOTS CoronavirusLockdown HantaVirus StayHome StayHomeStaySafe PhysicalDistancing SocialDistancing Lockdown Curfew,0.0,Neutral,03
People of India feel COVID 19 is as simple as Modi,0.0,Neutral,03
UNITE AND FIGHT AGAINST COVID 19,0.0,Neutral,03
EVERY INDIAN WANTS TO FIGHT AGAINST COVID 19 WE ARE WITH U MODIJI,0.2,Positive,03
Covid19 C China O Originated V Virus I In D December 19 2019 ChineseVirus,0.0,Neutral,03
StayHomeIndia IMStayingHome I M Staying At Home COVID19India COVID19,0.0,Neutral,03
We re all in this together Coming 21days would be the most important days for the country to cure this deadly virus Everyone stay home stay safe lockdownindia COVID19 StayHomeIndia StayAtHomeSaveLives COVIDIDIOTS IndiaFightsCorona,0.3,Positive,03
Pranayama with Yoga best to keep away any respiratory related ailment By doing Yoga and Pranayama regularly your respiratory system gets strong coronavirus COVID19 CoronavirusOutbreak coronavirusindia,0.3583333333333333,Positive,03
They are inhumane register complaint against them and save corona warriors strict action against them is required,-0.36666666666666653,Negative,04
Appaji please don t nt step relaxation after spending corona because someone trying to spread so please post 15 days after howmany peoples having feeling by corona then you take the steps,0.0,Neutral,04
PLEASE EVERYONE DOWNLOAD AROGYA SETU APP TO MONITOR YOUR CORONA HEALTH RISK INFORM ALL UR FRIENDS AND ALL U KNOW,0.0,Neutral,04
Why spoken trUmp about India and American both are struggling invavetion drug for corona ever Indian s hope American become as healthfully and continue as friendship,0.0,Neutral,04
I have uninstalled TikTok I request my fellow Indians to do so ASAP There is no supervision on the content of TikTok it is spreading poison more than the corona virus It should be banned in India TikTok,0.5,Positive,04
Key area monitoring is very important and we herd so many kasargod and mangalore people gathering taking place So some strict rules towards social distance and hygienic measures like mask sanitisers and hand wash points required to keep ckm corona free district,0.29066666666666674,Positive,04
Distribution of Free masks and Awareness campaign about Corona in Siddara hatti Jenukallu Betta Arsikere,0.4,Positive,04
sez Hardworking women are contributing their bit to CoviD 19 fighting cause They are real unSung Heroes They sold at 8 Rupees per mask,0.2,Positive,04
