Tweets,Polarity,Sentiments,Month
Yes But corona might play spoilsport Their Chinese JLR sales,0.0,Neutral,01
If Corona broke out where you live you ll wish you lived in Kerala,0.13636363636363635,Positive,01
T N Pratapan MP said he has summoned both union and State health ministers to be present at Thrissur to be part of Corona Virus operation team The MP also demanded high level probe into the contagious disease I doubt Corona Virus could be because of CAA and NRC,0.08,Positive,01
So everyone traded or not traded in the name of corona virus,0.0,Neutral,02
Flight from Bangalore to Kochi A white lady was wearing mask and wiping the tray table in front of her with tissue Seeing this a girl sitting near her asked r u corona infected The foreigner got stunned The girl said I saw u r cleaning surface after touching with hands,0.2,Positive,02
Our government is busy fighting a bigger virus than corona The creators of that virus are crying fowl that govt is not acting What an irony,-0.025,Negative,02
Meanwhile screenings in India for passengers from Nepal means people must plan for flights with longer transit time No one outside Nepal thinks we are Corona Free Neither will they believe such bogus,0.13333333333333333,Positive,02
For a young Minister we seem to have got the worst and most clueless in Yogesh Bhattarai thinking any country can be declared Corona Free just yet Meanwhile he has no plans for how to manage risks from Korea Singapore etc getserious coronavirus pandemic,0.0,Neutral,02
Spotted in the Kochi metro today It s been amazing to see how kerala has been dealing with corona coronavirusindia coronakerala kerala at Elamkulam,0.6000000000000001,Positive,02
After the outbreak of the coronavirus Malayali students who have returned from China are taken to a hospital for screening from Cochin International Airport coronavirus corona kochi kerala india china,0.0,Neutral,02
Why all 3 coronovirus cases in India now are from Kerala The News Minute coronavirus Corona,0.0,Neutral,02
Those aren t dead bodies Looks like people sleeping in bags or something If those people were dead from Corona this dude wouldn t be shooting there and people sitting there,-0.2,Negative,02
Corona didn t come to Kerala because we eat non veg We have students all over the world that includes China as well Plus we have the equipment and staff capable of isolating people Hence we detected Corona Unlike in BIMARU people die every year from unknown illnesses,0.05,Positive,02
Saudi Arabia should pray instead of banning pilgrimage COVID 19 coronavirus,0.0,Neutral,02
Coronavirus mystery deepens COVID 19 may not be what people thought The Economic Times,0.2,Positive,02
BBC News Could North Korea handle a Covid 19 outbreak As the number of coronavirus cases in South Korea keeps on rising attention is turning to how its impoverished neighbour might cope with an outbreak of its own,0.6,Positive,02
Coronavirus live updates China s Hubei reports 115 additional deaths China s Hubei province reported there were 115 additional deaths as of Feb 20 which brought the total number of COVID 19 fatalities in the region to 2 144,0.06818181818181818,Positive,02
