Tweets,Polarity,Sentiments,Month
Uptill now why corona virus news not highlighted as first case found in kerala,0.25,Positive,01
With Corona epidemics lingering should Delhi polls may be postponed,0.0,Neutral,01
Political parties busy in campaign we prepare to fight Corona,0.05,Positive,01
How would you feel when you order a mask for Corona Virus and find out it s shipped from China China CoronavirusWho VirusChina coronavirusindia coronavirues virusCoronaChina CoronavirusOutbreak india mask VIRUS CORONA,0.0,Neutral,01
Get three Chinese guys to ShaheenBagh amp announce they have Corona virus All Anti CAA nautanki virus will disappear Via SMS,0.0,Neutral,01
CORONA VIRUS Prevention is better than cure Take 2 dose of ARSENIC ALBUM 30 mixed with INFLUENZINUM 30 in 10 minutes interval AYUSHMAT HOMEOPATHIC Dr Chetan Gupta Mo 9893318631,0.25,Positive,01
CORONA VIRUS Prevention is better than cure Take 2 dose of ARSENIC ALBUM 30 mixed with INFLUENZINUM 30 in 10 minutes interval AYUSHMAT HOMEOPATHIC Dr Chetan Gupta Mo 9893318631,0.25,Positive,01
China Once Said Naqqab is Banned Now All are wearing Mask Same as Naqaab Fear Of Corona Virus Chinese Doctors amp medical staff fighting against Coronavirus Allahoakbar power of Allah at Jhansi Fort,0.0,Neutral,01
Send 3 Chinese guys to Shaheen Bagh announce they have Corona virus All anti CAA nautanki virus will disappear,0.0,Neutral,01
Corona virus is next gen smallpox Will consume millions,0.0,Neutral,01
Seems like a name change is in order,0.0,Neutral,01
This man deserves our endless respect Dr Liang Wudong who was treating patients of corona virus in wuhan china gets infected while treating patients and become the first doctor to die from the new Coronavirus,0.08712121212121211,Positive,01
Visit life preparation channel on YouTube Share this news corona coronavirus china india publichealth public lovequotes healthylifestyle hello2020 2020goals knowledgeofself healthyfood health,0.0,Neutral,01
must watch Homeopathic approach for corona viruse,0.0,Neutral,01
Please Report Anything Immediately To Nearest Health Centre Corona coronavirus,0.0,Neutral,01
Let s Eradicate the Corona VIRUS,0.0,Neutral,01
Corona virus is the Human mind set of Religious Transformation fault,0.0,Neutral,01
Cool I started with Corona beer graduated to Beluga Vodka and then ended the day evening with Bailys in icecream No wonder I am gaining weight,0.35,Positive,01
Corona visited India also but he returned after knowing that people like Tahir Hussain amp Kapil mishra are already here,0.0,Neutral,02
GodMorningFriday Stop eating meat or else you will have to stop forcing like China stopped meat with the corona virus,0.0,Neutral,02
People living in masks it is shame It was CCP mistake and negligence that Chinese people and rest of World is suffering from Corona COVID 19 CoronavirusOutbreak,0.0,Neutral,02
He will catch corona virus in Thailand,0.0,Neutral,02
Corona virus to shock hai expect it don t damage much market mein ham jaise log to malum tha bcas modi don t have money,0.2,Positive,02
Corona virus effect And GDP is shrinking people expected now it s reality market trades 6 months forward imagine what s going to happen 6 months later,-0.05,Negative,02
A person rich or poor healthy or weak intelligent or dull religious or irreligious is an innocent infant rolling in the lap of nature Corona virus has proved this on this planet J H Bhatt Vadodara Gujarat state India,0.13854166666666667,Positive,02
Try Arsenic album homeopathy 5ml with water to doctord as antidote to Corona virus,0.0,Neutral,02
GodMorningMonday Science could not stop Australia s fire China is now unable to stop the corona virus Disaster can be averted only by spiritual knowledge,-0.16666666666666666,Negative,02
It s spreading like Corona Virus Delhi police must act before infection spreads to rest of the country Jafrabad ShaheenBaghProtest DelhiPolice,0.0,Neutral,02
Madam maulekhi that s the best comment and reply I ve ever seen perhaps these stupid politician could understand otherwise let them to die like in case of corona virus If we fail then nature will certainly teach them a right lesson like in case China s present crisis,0.03333333333333334,Positive,02
View and Counter View Episode 1 donaldtrump cricket corona india china ayodhya wednesdaywisdom,0.0,Neutral,02
Virus of fake secularism which is far more dangerous than Corona which has infected you and MSM likes of Barkha Ravish Pranaov will rejoice the day when Sanatan Dharm gets wiped off,-0.125,Negative,02
