Tweets,Polarity,Sentiments,Month
Please tell our hon ble PM not to apply Allopathic medicine to suppress fever of Corona affected patients or as a preventive measure since it destructs the immunity which plays the vital role to cure Apply only Homoeopathic medicine amp citrus fruits This will do the miracle,0.05,Positive,03
Please tell the govt not to apply Allopathic medicine to suppress fever of Corona affected patients or as a preventive measure since it will weaken the immunity which plays the vital role to cure Apply only Homoeopathic medicine amp citrus fruits This will do the miracle,0.05,Positive,03
I made a small contribution to PMCaresFunds for my country You can also contribute If you are able please come forward to help during this global disaster PMcaresfund IndiaFightsCorona corona haarega india jeetega Stay Home Stay Safe,0.1875,Positive,03
Today all the IPL fans would have been enjoying the first match of IPL 2020 if IPL would start today but the number of cases of corona is being increasing however human life is more important than IPL StayHomeStaySafe,0.33,Positive,03
MannKiBaat PM Modi interacts with citizens who have battled COVID 19 so far One of them was Mr Ram who followed Doctor s instructions fully when suspected of having Corona And as a result he is leading a healthy normal life today via NaMo App,0.25,Positive,03
kindly take action against those private hospital s who are not opening their gates for also non corona patient amp For that general patients are suffering a lot Take action sir for the sake of people of assam,0.16999999999999998,Positive,03
Waiting Plz corona chale jao plz cricket ipl,0.0,Neutral,03
The mortality rate of stupidity is far more than that of corona virus People please stay home stay safe COVID2019 COVID2019india,0.125,Positive,03
CoronaUpdateIn Assam no positive Corona patient but preparation for our health minister Dr Sarma work day night equely heat s of you Sirji,-0.11363636363636365,Negative,03
Person with negative mentality always see dark side Is there no need of a govt in MP to handle corona virus situation,-0.225,Negative,03
After fighting against corona virus we are again ready to fighting against another virus which will come soon amp is called economic slow down virus,-0.013888888888888902,Negative,03
Our 2nd day of Corona lockdown 2020,0.0,Neutral,03
Stay Home Save The Nation Become a Corona Warrior and make your loved ones stay at home for 21 days CoronaWarriors via NaMo App,0.7,Positive,03
He will kill all Northeast people living in India as we r spreading CORONA VIRUS in India Brother we are India without us INDIA will become Bangladsh amp most of your So called original Indians are working here in our factories in our towns So clean you mind coronavirusindia,0.4138888888888889,Positive,03
I strongly believe my treatment will cure the patient but for that I need samples of a covid 19 ve patient help of homoeo lab virology technicians amp one Corona recovered adult person willing to help me I again claim this will work if given a chance,0.2611111111111111,Positive,03
It is said presently Covid 19 has no cure neither any medicine is available to kill the novel virus I think I can provide a possible solution and I can prove it if allowed to get samples of a corona positive patient So I beseech you to make,0.15681818181818186,Positive,03
IndiaFightsCorona Although the battle of Mahabharat was won in 18 days our fight against corona will take 21 days PM Modi urged Indians to stay home and help India succeed in this battle via NaMo App,0.0,Neutral,03
IndiaFightsCorona During this time of crisis our senses are further awakened and a way to respond to Corona is also Modi urges citizens to help 9 poor families this Navratri via NaMo App,-0.2,Negative,03
Also bengali new year start from 15 April bt corona ne kiya kar diya,0.13636363636363635,Positive,03
IndiaFightsCorona The most effective option to combat Corona is Social Distancing Social distancing means staying away from each other and staying in your homes via NaMo App,0.2083333333333334,Positive,03
IndiaFightsCorona Many times a person infected with Corona seems to be healthy in the beginning and it is not known if he is infected PM Modi urges India to take precaution and stay indoors only via NaMo App,0.3333333333333333,Positive,03
Press Release by the Manipur Govt regarding first corona positive case,0.23863636363636365,Positive,03
Mothers like you inspire those fighting corona PM Modi on video of his mother via NaMo App,0.0,Neutral,03
A BigSalute to all the Warriors who r working tirelessly for all the corona affected people May this pass soon and may there b peace Peace amp Peace Corona COVID19outbreak,0.0,Neutral,03
Can anyone stop this I mean decibel levels are increasing every minute older ones might die due to a cardiac arrest if not corona,-0.07416666666666667,Negative,03
sir I am very much please to inform you that people of Barak Valley especially of cachar district is observing JANATA CURFEW today on this way we can get rid of Novel Corona Virus i e COVID 19,0.13,Positive,03
My Humble Request to all the people of India please Do Support JantaCurfew Because Due To CoronaCrisis we have face many difficulties PM Shri Sir Try his best to save the people form Corona Please Support Him guys CoronaStopKaroNa coronavirusindia,0.29375,Positive,03
It came negative However they have been kept under observation No Corona in Assam as of now,-0.3,Negative,03
It s not CURFEW It s CARE F R U Corona Prepare But Don t Panic COVID19 Namaste ISupportJantaCurfew and will stay at home with my family You please support JantaCurfew to protect yourself from Coronavirus IndiaFightsCorona JanataCurfew,0.0,Neutral,03
Update The results came negative However the family has kept in isolation ward for a few days Not a single corona positive case in Assam or NE till now,-0.05925324675324676,Negative,03
It s not CURFEW It s CARE F R U Corona Good Morning ji Namaste I support JantaCurfew and will stay at home with my family You please support JantaCurfew to protect yourself from Coronavirus IndiaFightsCorona ISupportJantaCurfew JanataCurfew,0.7,Positive,03
Please inform Govt to treat aged Corona virus patients with Homoeopathic medicine amp if possible Acupressure along with Urine therapy too I assure you that it will definitely boost up IMMUNITY to fight against Corona amp the survival rate will definitely increase,-0.025,Negative,03
Please inform Govt to treat aged Corona virus patients with Homoeopathic medicine amp if possible Acupressure along with Urine therapy too I assure you that it will definitely boost up IMMUNITY to fight against Corona amp the survival rate will definitely increase,-0.025,Negative,03
Please inform Govt to treat aged Corona virus patients with Homoeopathic medicine amp if possible Acupressure along with Urine therapy too I assure you that it will definitely boost up IMMUNITY to fight against Corona amp the survival rate will definitely increase,-0.025,Negative,03
Please inform Italian govt to treat aged Corona virus patients with Homoeopathic medicine amp if possible Acupressure along with Urine therapy too I assure you that it will definitely boost up IMMUNITY to fight against Corona amp the survival rate will definitely increase,-0.02,Negative,03
First Corona Virus positive case detected in Assam s Jorhat It freaks me out,0.23863636363636365,Positive,03
JantaCurfew I promise myself to stay indoor on March 22 from 7AM to 9PM which is a self inflicted quarantine to control corona virus Let s fight this pandemic by acknowledging the gravity of the situation stay indoor IndiaFightsCorona,0.0,Neutral,03
Some people always try to find loophole Playing plates is not for driving corona away it is to encourage each other and our service providers or helpers,-0.125,Negative,03
Exactly Good observation,0.7,Positive,03
We always were Corona just made us realise that,0.0,Neutral,03
My Humble Request to all the people of India Please Do Support JantaCurfew On Sunday 22nd March Because Due To CoronaCrisis We have face Various type s of Dangerous Incident PM Shri Sir Try his best to save the people form Corona Pls Support him Guys,0.01499999999999999,Positive,03
HIV was combined with corona virus to create Covid 19 Really What shit is that Why do blue tick accounts pass literally anything and it goes simply unabated,0.0,Neutral,03
IndiaFightsCorona India is helping its neighbours with medical supplies amidst the corona outbreak Medical supplies have been sent to Maldives Bhutan and Afghanistan among other countries via NaMo App,-0.04166666666666666,Negative,03
StaySafeStayHome StayAtHome JanataCurfew I support JanataCurfewMarch22 protect your community from coronavirus Wash your hands frequently with soap and water for at least 20 seconds even if they visibly appear clean Corona IndiaFightsCorona,0.055555555555555566,Positive,03
StaySafeStayHome StayAtHome protect your community from coronavirus Wash your hands frequently with soap and water for at least 20 seconds even if they visibly appear clean Corona IndiaFightsCorona,0.055555555555555566,Positive,03
StaySafeStayHome StayAtHome protect your community from coronavirus Wash your hands frequently with soap and water for at least 20 seconds even if they visibly appear clean Corona IndiaFightsCorona,0.055555555555555566,Positive,03
Janata Curfew on 22 March from 7 AM to 9 PM to tackle Corona PM Modi FightagainstCoronavirus FightCOVID19,0.0,Neutral,03
IndiaFightsCorona Sankalp and Sanyam needed to combat Corona via NaMo App,0.0,Neutral,03
IndiaFightsCorona The entire human race is in crisis around the world PM Modi appreciated the patience of 130 crore Indians who have vigorously fought the Corona global epidemic by taking necessary precautions so far via NaMo App,0.05000000000000001,Positive,03
IndiaFightsCorona For a developing country like India PM Modi says combating Corona is a big challenge He requested two important things from 130 crore to tackle COVID 19 Sankalp resolve and Sayyam restraint via NaMo App,0.2,Positive,03
IndiaFightsCorona Corona Test Facilities prepared on war footing via NaMo App,0.0,Neutral,03
Watching a Corona Virus documentary on Discovery Channel Really appreciate the efforts of Chinese people and the hardships they went through,0.06666666666666668,Positive,03
Corona Virus is a global problem but for Zee News it s only Pakistan s Problem ShameonZeenews coronavirus COVID19,0.0,Neutral,03
