Tweets,Polarity,Sentiments,Month
CROF by Green Team Kohima work as a catalyst between affected people those willing 2 help out but cannot involve directly While d pandemic can be contained hunger starvation can t be postponed or keep a hold standforhumanity greenteamkohima kohima nagaland covid 19,0.05,Positive,03
CROF by Green Team Kohima work as a catalyst between affected people those willing 2 help out but cannot involve directly While d pandemic can be contained hunger starvation can t be postponed or keep a hold standforhumanity greenteamkohima kohima nagaland covid 19,0.05,Positive,03
Health infra co hospital equipment manufacturer r amp d co power company may be allowed to issue tax free Corona bonds in order to get low cost fund and speed up their activities,0.2,Positive,04
Salman sang a new song about corona virus where he raps and I had no idea about it until now You gotta be kidding me SalmanKhanOnYouTube Pyarkarona,0.13636363636363635,Positive,04
A sigh of relief God bless all the police personnel fighting against this invisible enemy Public need to understand the situation and cooperate Police is the first line of defense Lakshman Rekha against Corona Don t breach it,0.125,Positive,04
Awareness on Covid 19 Heritage Hall Zapami Village 26 3 2020,0.0,Neutral,04
In the state and still not able to have a proper protocol communication with the neighboring state How can the govt lack basic stability to run a govt COVID2019 Covid 19india,-0.08333333333333333,Negative,04
Everyone please download the AarogyaSetuApp It will alert you if you come into contact with a Covid 19 positive person You have to keep your location and Bluetooth on at all times Please share it among your family members and friends IndiaFightsCoronavirus,0.2272727272727273,Positive,04
Trained Nurses Association of India Kiphire Unit Nagaland Branch contributed towards Fighting Novel COVID 19 COVID19 IndiaFightsCarona Kiphire NagalandCombatsCorona,0.0,Neutral,04
It s everywhere fighting for Covid 19 life in tribal society,0.0,Neutral,05
The positive thing about Covid 19 is that everyone is becoming more wiser and more humane,0.4193181818181818,Positive,05
An abrupt increase of price of products in Shops Grocery stores Gas station is another thrilling feature that COVID 19 carries along Raise Voice People of Nagaland,0.0625,Positive,05
somewhere in Mon district Nagaland Source FB making the best use of what is available is need of the hour creativity innovation its everybody s responsibility in this fight against COVID19 and not just depend on the Govt or a miracle to happen,0.7,Positive,05
