Tweets,Polarity,Sentiments,Month
I m sick today suffering from flue today not corona,-0.7142857142857143,Negative,02
Its truth is absolutely right The meat eater must see The bat has a corona virus The citizens of China are so heartless,0.2857142857142857,Positive,02
NoMeat NoCoronaVirus The perfect God is the father of all God is not pleased with the killing of his creatures Therefore man is struggling with serious diseases today like Corona Virus in China,0.1388888888888889,Positive,02
Thanks for the reply But tell in details what are the measures you have taken for determination of the aircraft Don t reopen the kolkata China route until or unless there are no effective treatment of covid,-0.04999999999999999,Negative,02
What are the measures has been taken by you and what measures has been taken for flight disinfection Flight from China should be hold untii unless covid 19 treatment is available,0.4,Positive,02
HiddenTruth Of Bible Bible s lyov 36 5 proves that God is kabir powerful He solve all types of problem if we doing God kabir worship All people s which are infected by any virus like coronavirus Please try or prayers God kabir COVID19 Jesus Fact,0.3,Positive,02
MannKiBaat PM Modi interacts with citizens who have battled COVID 19 so far One of them was Mr Ram who followed Doctor s instructions fully when suspected of having Corona And as a result he is leading a healthy normal life today via NaMo App,0.25,Positive,03
Stop using my pictures against me sorry u bafoon that ur feelings for hurt but those are real facts India is doing a way better job then your precious to prevent the spread of Corona virus,0.175,Positive,03
Hlo frnd Please request that you take care of your government with the Corona virus From P P fazilka PB 22 aale,0.0,Neutral,03
Cook Eat Sleep Repeat sunkissed quarantine covid 19 cov d19 corona sunday goodvibes potd shwetasood punjabibrizzle region,0.0,Neutral,03
Seems like Corona Kapoor is in Love with Kanika Kapoor God Bless,0.5,Positive,03
Do you think China is counting the people they black bagged and incinerated in the middle of the night in their corona mortality numbers CronaVirus,-0.08333333333333333,Negative,03
Respected Prime Minister Myself Dr Vivek Goyal from Jagraon Punjab I wanted to tell you that there is a full fledged treatment of COVID 19 in Homeopathy We have preventive medicine as well just to protect people from this deadly disease of Corona Virus,0.07499999999999997,Positive,03
Hon ble amarinder Ji Sat Sri Akal as we Indians are entering stage 3 of Corona virus out break there should be some strictness people are wandering place to place as they are visiting a fair I think to save the valuable lives of our beloved Punjab army must be called,0.7,Positive,03
Why you are afraid of him they have betrayed the world they have hide the actual condition about corona virus I think china is becoming the most powerful country now,0.13,Positive,03
Groundlevelnews PunjabLockDown We support lockdown in INDIA Be aware from fake news spread on social media Example corona spread through air check updates on,-0.07222222222222223,Negative,03
Why shame on people the China is the birth giver of corona and responsible for spreading worldwide,0.2,Positive,03
After get treated from corona Police station Sector 36 chandigharh,0.0,Neutral,03
Romantic mood Crush Tell me those three magical words Me Go Corona Go CoronavirusOutbreakindia CoronavirusPandemic CoronaVirusUpdates CoronaAlert,0.25,Positive,03
Meanwhile in Punjab curfew offenders are being punished Might be matter of joke but they should be kicked so hard they might never forget corona lockdown video videos law joke fun pb punjabi,0.004166666666666653,Positive,03
One more bold step by our worthy PM shri Narendra modi ji Total kerfeu in india from mid night Please follow the govt instructions Total ban mean total stop india fights Corona stay home be safe,0.15046296296296294,Positive,03
DiseaseFree With TrueWorship WhoCanSave The World Only True God Kabir Can Save Us From All Difficulties Like Corona People From All The World Must Know The Supreme God,0.175,Positive,03
Yes take a precautions and stay at home make a distance from infected person so corona was not easily transmit,-0.21666666666666667,Negative,03
reason of corona,0.0,Neutral,03
StayHomeStaySafe Eat cheese and Pistachios For Improve Our Immunity System to Fight With corona covid 19,0.0,Neutral,03
StayHomeStaySafe Plzz follow Some Tips For Increasing Our Immune system power and Internal Power To Fight With Harmful Diseases like Corona,0.0,Neutral,03
curfew in punjab please stayhome staysafe JantaCurfew corona region,0.0,Neutral,03
Corona vaccine Human Trials Begins TECHCRUX LINK paslasquad Techcrux CoronaUpdatesInIndia Covid 19india COVIDIOT COVID19outbreak CoronaVirusUpdate,0.0,Neutral,03
Today A memorandum Given to S D M Malerkotla by SIO Punjab Regarding the Help ofpoor people who are daily hand to mouth so that Administration Govt help those who are needy in lockdown period amarinder Corona PunjabRejectNPR JanataCurfewNotEnough,0.0,Neutral,03
An Appeal to all Support govt Whatever decision they are taking it s for everyone s betterment safety Keep in ur houses and do not go anywhere If we really want to stay safe frm corona follow govt order stay home unless any emergency Stay inside stay safe make society safe,0.425,Positive,03
Yesterday indian people gathered for Tali thali or ghanta Idiots can t undrstnd logic Meanwhile its time to shut down india Or we can go to hell of corona COVIDIOTS,-0.4777777777777778,Negative,03
Saint Gurmeet Ram Rahim Ji gave Gurumantra to about 6 5 crore people whose regular chanting has cured many diseases like cancer This is the power of meditation Through this we can also eliminate viruse like corona FightCoronaWithMeditation,0.25,Positive,03
FightCoronaWithMeditation Saint Gurmeet Ram Rahim Ji The Corona Virus can be defeated by Simran Saint Dr Gurmeet Ram Rahim Singh ji insan Everyone has been told how to do devotion continuously,0.0,Neutral,03
Can Raffle Attack corona,0.0,Neutral,03
Janta Curfew a great success Thanks to Modi ji and the great Indian citizens But I think there should be complete Curfew for few days to break Corona virus chain Hope that we the Indians have the courage to face toughness of situation Please take care of you and your family,0.3333333333333333,Positive,03
WhoCanSave The World Only True God Kabir Can Save Us From All Difficulties Like Corona People From All The World Must Know The Supreme God,0.175,Positive,03
WhoCanSave The World Only True God Kabir Can Save Us From All Difficulties Like Corona People From All The World Must Know The Supreme God,0.175,Positive,03
Corona virus How To Know If You Are Infected With Covid 19 TECHCRUX LINK Techcrux Paslasquad Coronavirus Covid19India Covid 19india COVID19outbreak CoronavirusPandemic,0.0,Neutral,03
Please give up smoking if you do this is more dangerous while you re corona positive,0.042424242424242434,Positive,03
Corona Virus has proved that the biggest problem of India is not illiteracy it is the stupidity of literate people Please behave maturely Don t risk yours and other s lives Take all precautions and follow the guidelines KanikaKaCoronaCrime CoronaStopKaroNa JantaCurfew,-0.20833333333333331,Negative,03
corona far away from Corona at my native Village Feeling safe,0.3,Positive,03
sir if govt Stop international flights immediately today rather than 22nd of March will be a strong step to stop corona virus,0.21666666666666665,Positive,03
Let us all play our part by doing the best we can regarding ji s appeal to prevent further spread and outbreak of Corona Virus JantaCurfew,0.5,Positive,03
So corona virus was man made and spread by man sooo pre biological warfare How funny to put everyone in high risk to distract them from where it started,0.205,Positive,03
Me going for the corona test Friend Bhai Be positive Me,0.2272727272727273,Positive,03
Corona song,0.0,Neutral,03
This is corona have made people and animals mad enough,-0.3125,Negative,03
I could find a deadly killing virus today named This is more dangerous virus then corona has ruined India How did the true and listed soil allowed him to take birth,0.012499999999999995,Positive,03
Congress is more than a corona virus and see how the protestors in shaheen bagh are insisted to spread it in India Don t they are influenced by Congress Congress is a big taint on India This like a big curse on India,0.16666666666666666,Positive,03
Fuck Corona at Ice Cream Studio,-0.4,Negative,03
Protect yourself from CoronaVirus Follow theses Do s amp Don ts Corona Herbalife herbalifenutrtion region,0.0,Neutral,03
Corona virus may have come out of a combination of Bats and Pangolins being sold as food in Chinese markets World is paying the price of China s decision to allow wildlife farming That s why Islam already regulates our food choices yatoo,0.0,Neutral,03
Modern babaji be like Bhave flighta catch karo bhave feelinga Par corona catch ni karna sangat ji Sanitizerji,0.2,Positive,03
Today under the direction of Punjab Youth Congress District Fazilka Youth Congress launched a campaign to distribute a mask to Corona Warriors at Arnivala Mandi keeping in view the birthday of Capt Amarinder Singh He congratulated Captain Amarinder Singh on his birthday,0.0,Neutral,03
every iranian shud go into isolation to stop the spread of corona virus,0.0,Neutral,03
And here is an article for you I really do think you need it because you have been constantly fighting people on Twitter I do hope after this covid 19 crisis is over works on more mental health resources BYE,0.15,Positive,03
