Tweets,Polarity,Sentiments,Month
Mk sm qurantined camp in PK with all aids n labs n keep the effected person in the camp and leave the corona free citizen we cn mk dramas n hareemshah trend of talk thn y cant we strt a trend to rescue PK in China coronavirus RescuePakistanis WuhanVirus Pakistanis 1 2,0.4,Positive,01
gov Mk sm qurantined camp in PK with all aids n labs n keep the effected person in the camp and leave the corona free citizen we cn mk dramas n hareemshah trend of talk thn y cant we strt a trend to rescue PK in China coronavirus RescuePakistanis WuhanVirus Pakistanis,0.4,Positive,01
Mk sm qurantined camp in PK with all aids n labs n keep the effected person in the camp and leave the corona free citizen We cn mk dramas n hareem shah trend of talk thn y cant we strt a trend to rescue Pakistni in China coronarvirus RescuePakistanis Pakistani,0.4,Positive,01
dear sir my younger brother MBBS study in chaina in jiamusi university there Corona virus are serious also some students return but no help from India government amp Bihar government about Indian students please help sir m86 188 4540 0873,-0.16666666666666666,Negative,01
China Once Said Naqqab is Banned Now All are wearing Mask Same as Naqaab Fear Of Corona Virus Chinese Doctors amp medical staff fighting against Coronavirus Allahoakbar power of Allah at Jhansi Fort,0.0,Neutral,01
Pakistani govt should immediately rescue call back all pakistani citizens student s from China due to increased corona virus coronaravirus,-0.0625,Negative,01
May you all get well soon those who are infected with any virus whether its corona or any other disease aameen Lets pray for them coronaravirus China,-0.125,Negative,01
Those who failed to understand Polio vaccine Unko ghanta Corona smgh aayega,-0.5,Negative,01
Shahin bhagh is like Corona virus Indian people are getting infected with this virus,0.0,Neutral,01
Heard on Street Relaxo will make chappal if one wears will not be affected by coronavirus and NathBio is developing a Brinjal seed which also provide immunity from Corona virus TTKprestige is making a cooker for cooking antivirus food,0.0,Neutral,01
Now why they coming back They will bring Corona here also,0.0,Neutral,01
Corona ji origin middle east ahe,0.0,Neutral,01
Yes please Unfortunately none of our labs are equipped to detect corona virus,-0.5,Negative,01
Corona virus kill me I ve flu and all the symptoms,0.0,Neutral,01
Let s Eradicate the Corona VIRUS,0.0,Neutral,01
Cool I started with Corona beer graduated to Beluga Vodka and then ended the day evening with Bailys in icecream No wonder I am gaining weight,0.35,Positive,01
Corona beer sounds like coronavirus but it s not making any changes to its marketing CNN,0.0,Neutral,02
Strange decision by the gov to bring all the suspected corona patients to Quetta and keep them in isolation To a place where we hardly have basic medicines Keep borders closed till an average incubation period of the virus urdu,-0.11833333333333332,Negative,02
F8 cancelled over Corona virus COVID2019 f8,0.0,Neutral,02
Only one way no other WHO and China intense on it Treat corona or any kind of virus by Neem tree fruit Nimoli or its leaves A proper perfect athenticated way It treat without loss or cut of any nerveBy using this person cant be die provide alltime oxygen to body SAVE HUMANS,0.3104166666666667,Positive,02
Only one perfect way no anyother to eliminate rootout corona or any kind of virus all seen unseen diseases from body by Neem tree fruit Nimoli or its leaves Antibio antiseptic antiviral antielergy bloodpureter firstlife saver no side effect botanical medic provide alltime oxygen,0.5333333333333333,Positive,02
Dengue shocked Corona Rocked Coronavid19 CoronaVirusUpdates,-0.7,Negative,02
Corona virus To SHARE MARKET,0.0,Neutral,02
Respected Minister of Education is requested to kindly grant the college and school teachers exemption from the biometric attendance as a precautionary measure to contain the spread of the Covid 19 Corona Virus,0.6,Positive,02
Coronovirus can t survive in indian environment High temperature lots of Dirt Corona can only survive in low temperature amp good hygiene condition,0.215,Positive,02
Why should we celebrate NationalScienceDay because Science fails to treat incurable diseases like corona virus AIDS and Cancer Where science ends the power of God begins there Which can eliminate any incurable disease GodMorningFriday,-0.5,Negative,02
One patient admitted in jamshoro isolated ward diagnosed with Corona virus Many undiagnosed are still out there coronavirus Coronaviruspakistan,0.5,Positive,02
American Author Dean Koontz predicted in 1981 the outbreak of CORONA VIRUS in 2020 CoronaVirusUpdates covid2020 COVID2019,0.0,Neutral,02
Going to kill corona virus at Qasimabad Hyderabad,0.0,Neutral,02
Prevention is better than cure Corona Virus,0.5,Positive,02
Missing that life before announcement of corona virus in Karachi,-0.2,Negative,02
The way prices of masks and hand sanitizers have increased after the break out of Corona Shows how ethically and morally corrupt we are Coronaviruspakistan,-0.15,Negative,02
I would assume that only the really sick people are being identified for corona since in most cases the symptoms are mild Likely mortality rate is much lower,0.053174603174603166,Positive,02
Masks are disappeared from medical stores of Umerkot Sindh after appearing news of corona virus in Karachi Coronaviruspakistan Health department should freely distribute masks to encounter such bullish businessmen,0.13333333333333333,Positive,02
The GovtofPakistan should act wisely and close all its borders flights the porous channels thru which there is a possibility for the corona virus to come through This disease is not a joke even the 1st world countries haven t found a cure Coronaviruspakistan,0.7,Positive,02
Depressed millennials who joked about dying are now worried about Corona,0.0,Neutral,02
Dua For Protection from Corona virus Please recite amp spread this May ALLAH protect all of us aameen,0.0,Neutral,02
After Corona Virus Mask in Karachi sells for 80 rupees packet at 480 block This is an Islamic country And this is humanity Allah s curiosity has not intensified here so don t worry about the government and the doctors who made it Just help yourself here Tappi Tepi will,0.0,Neutral,02
After the Corona Virus outbreaks in Pakistan Pakistani s be like Coronaviruspakistan,0.0,Neutral,02
1st corona virus case has reported in karachi and patient and his family been shifted in AKHK isolation ward For safety precautions all the government and private schools of sindh will remain closed on 27th and 28th feb use mask while going outside home and wash your hand,-0.03333333333333333,Negative,02
Two cases of corona virus reported and surgical mask goes from Rs 80 to 430 in my locality on asking the shopkeeper he replied bhaai demaand zyada hogayi hai Khuda na khaastaa zyada log marney laggaye tou kafan ko bhi nahi chorogey IT SHOULD BE PROVIDED FREE TO ALL,0.4,Positive,02
WHO recommended Tests centers for Corona virus in Karachi Dr Haris Mustafa 0333 1595551 hmustafa int Agha Khan Hospital National Stadium Rd Aga Khan University Hospital Karachi Karachi City AND Jinnah Post Graduate Medical centre,0.0,Neutral,02
Two Cases of Corona Virus reported in Karachi my request to everyone please DO NOT PANIC follow precautions May Allah keep the city and our country safe Coronaviruspakistan coronaviruspakistan,0.5,Positive,02
say no to save Pakistan Corona virus Alert 1 Do not Shake Hand amp Hug 2 Avoid gathering 3 Improve Immunity 4 Take plenty of water 5 Take home made Cooked food 6 Do not share any thing each other 7 Avoid Sneezing amp Coughing openly,-0.0625,Negative,02
It s been just an hour while First Corona virus case has been reported in Karachi and posts have been started of random people selling Dust Masks in high price had Hy BC har chix ma kamao Don t know what to say on this PakistanZindabad HBLPSLV coronavirues,-0.03,Negative,02
Two cases of Corona Virus reported in Pakistan An 84 year old women burnt to death in Delhi Can i please leave this planet already,0.1,Positive,02
Sare new fashions Karachi main sbseee phle aaty hain Yeah right here you go with the Corona May Allah protect us all CoronavirusOutbreak,0.19624819624819625,Positive,02
First confirm case of Corona Virus in a private hospital in Karachi Pakistan CoronavirusOutbreak,0.125,Positive,02
First case of corona virus in Karachi,0.25,Positive,02
The first positive case of Corona virus has been reported in Karachi at Agha Khan Hospital The 22 year old patient Yayha Jaffri has travelled from Iran by bus He and his family placed in quarantine and all the passsengers he travelled with are being examined CoronaVirus,0.1924242424242424,Positive,02
Likedengue outbreak It killed more people I think than corona as of yet,0.15,Positive,02
Crazy Goods don t carry corona virus,-0.6,Negative,02
Iran under serious attack of Corona Virus outbreak Pakistan Turkey and Afghanistan have closed their borders with Iran People of balochistan province have to be very careful as Iran border is in Balochistan and many people used to travel Iran regularly True,0.057333333333333326,Positive,02
Iran battling with Highest number of Corona deaths in shortest periods of Time Onlineindus News,0.0,Neutral,02
Our loving prophet Muhammad Salall never ordered or eat meat Eating meat is not a command of God too If we disobey almighty corona virus and other terrible viruses arise Everything can be fine we start worship of Kabir God GodIsOne LordKabir,-0.02708333333333333,Negative,02
Good news for patients of corona virus garlic can control amp cure it,0.7,Positive,02
Virus of fake secularism which is far more dangerous than Corona which has infected you and MSM likes of Barkha Ravish Pranaov will rejoice the day when Sanatan Dharm gets wiped off,-0.125,Negative,02
Anti Corona Virus vaccinated efforts must be finding out immediately for escaping humanity and Chinese Civilization along with world s peoples,0.0,Neutral,02
Chinese government has started shooting Corona virus infected people almost 45000 already killed China Something is more dangerous about the Corona virus than we actually think what it is See the pics below Situation is extremely bad WARNING it is ALARMING FOR WORLD,-0.1571428571428571,Negative,02
Very effective Homeopathic Medicine for CORONA VIRUS,0.78,Positive,02
Provide in building more sun light because sun is great killer of bacteria corona,0.5666666666666668,Positive,02
My heart goes out to those battling struggling for their independence Indian occupied KASHMIRI S and Chinese with the Corona Virus and their families all over the world God loves you and HE is with you ValentinesDay2020 valentines day,0.0,Neutral,02
