Tweets,Polarity,Sentiments,Month
They are far worse than Ebola or corona virus,-0.15000000000000002,Negative,02
Are you ok sir share your experience regarding Corona disaster in spain,0.5,Positive,03
WORLD T B celebrated at hee yangthang Health and wellness centre along with awarness on corona virus followed by handwashing demonstration by ASHA worker sikkimgovernment healthandwellnesscentre primarylevelprevention CHO,0.35,Positive,03
We are fight for Corona,0.0,Neutral,03
She represents walking corona viruses of the world,0.0,Neutral,03
Surprised to see live and political corona virusessay no also,0.07878787878787878,Positive,03
Longing to hear news of corona free India,0.4,Positive,03
COVID2019india COVID COVID19outbreak Please help the doctors in Mon District of Nagaland,0.0,Neutral,03
Look at the data of worldwide Covid 19 cases Today 38k new cases and over 2000 dead 21daylockdown,-0.03181818181818183,Negative,03
Virus in there minds are potentially far more dangerous than Covid 19,0.0,Neutral,03
Awareness programme on COVID 19 followed by health screening of senior citizen along with ward panchayats sikkimfightingagainstcoronavirus protectingourlovedones MondayMotivation,0.0,Neutral,03
A special gram sabha was held by 24th Turuk Ramabong GPU on 14 3 20 regarding awareness on COVID 19 to general public of all wards Nodal teachers from all schools and students Members of NGO members of Turuk development society ex panchayats and also retired members of the GPU,0.1357142857142857,Positive,03
I Can see lot of positive feedback throughout the World for you Though I am not convinced with your stand on other aspects want to appreciate your efforts so far Doctors and support staffs are really excellent they are the real god at the moment,0.2804545454545454,Positive,03
This is tip of the iceberg West Bengal is hiding it s Covid data West Bengal has not traced any Jahils till now Corona has no impact of TMC politics,0.0,Neutral,04
MamataBlocksCentre God save from Corona and also the constitution in WB,0.0,Neutral,04
Corona has displayed the real character of Jihadis They are showing their true colours,0.275,Positive,04
This must be a case study corona Amazon shares reach new high amid coronavirus pandemic,0.1481818181818182,Positive,04
Appreciated the steps taken by the GoS well coordination of the peoples of the State and the tireless effort of the front line corona warriors Apart of that GoS should have some programme to take care of the students and publics stranded various parts of the Nation My opinion,0.1,Positive,04
Corona has made Bats and Jamati famous for their acts,0.5,Positive,04
In India and China CORONA was transmitted to human from Animals,0.0,Neutral,04
53 cases out of 125 COVID 19 in Odisha reported from WB WestBengal is turned into wuhancity 4 Odisha,0.0,Neutral,04
Jharkhand is busy demeaning Hindus than focusing on Covid,0.1,Positive,04
As of date Sikkim is the only Indian state that has not reported any Covid 19 case so far Besides it Nagaland which initially reported one Covid 19 case now reports a zero figure because the lone patient was transferred to Assam,0.03333333333333333,Positive,04
lockdownextension Covid 19 Sikkim BACK TO THE 70s,0.0,Neutral,04
She is a problem to all solutions DW news could not find Covid fighters on ground to get the real news about India s efforts and connected to a person who can give them a bite for news which UrbanNaxals likes Shame,0.2,Positive,04
It s a big nexus and everything is fixed Hats off for bringing more innovation to create false narratives People must talk on all possible ways to stop the spread of Covid 19,0.03999999999999998,Positive,04
CREATING AWARNESS BY STICKING COVID 19 POSTERS AT THE VARIOUS PUBLIC PLACES BY HEE YANGTHANG HWC WEST SIKKIM sikkimfightscorona frontlineworkers creatingawarness NISHTHA,0.0,Neutral,04
Throwback to the days when roaming around was not meant inviting COVID 19,0.0,Neutral,04
Buying Hand sanitizer online I tell you IndiaFightsCoronavirus Covid 19,0.0,Neutral,04
Good to see him back Take care of UK which needs a good leader to Covid Many lives lost,0.475,Positive,04
Don t worry Covid 19 will bring them together,0.0,Neutral,04
We are fighting two enemies One the invisible COVID 19 and other Bio Jihadis,-0.125,Negative,04
Very close sources from WB have informed me that because of casual approach of govt west begal will become epicentre of Covid 19 pandemic It s safe heaven for Jamatis,0.06666666666666664,Positive,04
Entire MH Govt was sleeping amid COVID 19,0.0,Neutral,04
I recommend Aarogya Setu app to fight against COVID19 Please download and share it using this link Android iOS,0.0,Neutral,04
Buying Hand sanitizer online I tell you IndiaFightsCoronavirus Covid 19,0.0,Neutral,04
Wow Good to see that lefts in China created Corona through their creativity,0.4,Positive,05
For the shake of protecting one community entire state was made to surrender to Corona 19 Shame on TMC,0.0,Neutral,05
Sample collection for COVID 19 kamrangquarantinecentre namchi frontlinewarriors,0.0,Neutral,05
COVID 19 in India coronavirus,0.0,Neutral,05
Breaking 3 more from Sikkim test Positive for COVID19 in NewDelhi,0.3636363636363637,Positive,05
