Tweets,Polarity,Sentiments,Month
Are you safe sir with corona virus,0.5,Positive,01
Are you safe with corona virus life long live all God bless,0.19545454545454544,Positive,01
HIV CONGO NIPAH MALAYSIA EBOLA SOUTHSUDAN BIRDFLU HONGKONG CORONA CHINA Crores attended kumbhamela pushkaraalu medaram otherjataraas One river amp crores take bath Not a single virus was born or spread dat is INDIA,0.03571428571428571,Positive,02
corona attack,0.0,Neutral,02
Symptoms of Corona Virus CoronaAwareByVIJAYFans,0.0,Neutral,02
Here s The Awarness Tag For Corona Virus Tag CoronaAwareByVIJAYFans Spread Maxx Master Mahendran,0.0,Neutral,02
Requesting Everyone to Participate in this Awareness Tag Becoz this Tag will Help to Reach the Seriousness of Corona Virus Among People in India CoronaAwareByVIJAYFans Master,0.0,Neutral,02
Here is the Corona Awareness Tag by Thalapathy Vijay Fans Tag CoronaAwareByVIJAYFans Master,0.0,Neutral,02
CoronaAwareByVIJAYFans Spread Usefull Information about that Virus with this Tag And Be Aware of Corona Virus,0.25,Positive,02
CORONA VIRUS Transmission Coughs Or Sneezes From Infected Persons Or Touching Contaminated Objects CoronaAwareByVIJAYFans,0.5,Positive,02
Let s Make Some Awareness Regarding the Deadly Corona Virus Lele make it CoronaAwareByVIJAYFans,-0.2,Negative,02
Spread Usefull Information about that Virus with this Tag And Be Aware of Corona Virus CoronaAwareByVIJAYFans,0.25,Positive,02
Here s The Awarness Tag For Corona Virus Tag CoronaAwareByVIJAYFans Spread Maxx Master,0.0,Neutral,02
This UP govt first suggest to drink cow urine best medicine for corona and the so called God man yogi Aditya doing all evils in the state but none has guts to question,0.37222222222222223,Positive,03
while your efforts to save your state people from Corona is laudable is it appropriate to dispose the medical wastes in Tamil Nadu limit This happens repeatedly,0.1,Positive,03
But how we are going to buy it what s the logistics support they are gonna get to deliver the product to the last mile Innovation like Chick shampoo is okay but logistics is the bottle neck now May be in future it s gonna be a hit if Corona threat continues,0.16666666666666666,Positive,03
Former CM Karunanidhi s son Alagiri 10 lakhs were given to the Madurai collector to help the people affected by the corona Bharat Mata Ki J Coronaindia,0.0,Neutral,03
First possitive case from vadachennai adimitted in RGGH Covid19India Corona,0.25,Positive,03
You have given 1 crore 16 lakhs to north province governor BMS Charles for corona relief fund,0.0,Neutral,03
Health Minister s humble speech request as we enter into 5th week of 14 days fight Vijayabaskar TamilNadu against Corona outbreak,-0.2,Negative,03
coronavirusindia corona virus level increase on the india Please coprate on the people pls stay home on please And the people carefully All Members not for outside going And Keep Distance Maiten The Corona19 Very Dangerous Virus On Using in maske using Thank You,-0.2933333333333333,Negative,03
Corona group create pannanum,0.0,Neutral,03
How is it that you don t know how to interpret this present time Luke 12 56 My children the end is near 1 John 2 18 BibleVerses Bible BibleStudy hopeinchrist repentjesusiscoming SecondComing Corona COVID19 Covid 19 coronavirus selfquarantine LockedDown,0.05,Positive,03
In kanyakumari 6 people died with corona symptoms btw im nt communist or chinese puppet,0.0,Neutral,03
India converting Trains into makeshift hospital with isolation ward and ICU for treating corona patient and sending them to various parts of India it s really genius thing this shows always we are unique from other countries coronavirusindia hospitals CoronavirusOutbreak,0.1125,Positive,03
Corona Batting first,0.25,Positive,03
During this hard time it s important to be grateful for the Doctors Police cleaners and other Workers who dedicated their time for helping us They are now the Real heroes of our country Click the link below Corona India Covid19 Quarantine,0.04583333333333334,Positive,03
1 Physical Social Distancing 2 Personal Quarantine Ways Only Available For Prevention Of Further Spread Of Corona To New Personal 1 Treatment Of Infected Person 2 Infected Personal Identification n Quarantine Ways Only Available For Control Of Corona,0.0881542699724518,Positive,03
Turn O backsliding children saith the LORD Jeremiah 3 14 BibleVerses Bible BibleStudy hopeinchrist repentjesusiscoming SecondComing Corona COVID19 Covid 19 coronavirus selfquarantine LockedDown,0.0,Neutral,03
Sir Lockdown kya work krega Corona ko harane Please reply sir ur reply will boost me,0.0,Neutral,03
Sir If Corona lives inside animals and does nothing to them Why don t we search cure Vaccine design in animals immune system,0.0,Neutral,03
A Spanish princess is the first royale to die from corona spanishprincess spanish coronavirusindia CoronavirusOutbreak,0.08333333333333333,Positive,03
Juss a little Donation For ji for PMCARES to Fight Corona Virus,-0.1875,Negative,03
With no job left after countrywide lockdown against the pandemic corona virus migrants workers face a hard time to survive during this global health crisis CoronovirusPandemic 21daylockdown COVID19outbreak,-0.09722222222222222,Negative,03
Tommorow Sunrise shouldn t see the Corona mortality Pray for World CoronavirusOutbreak,0.0,Neutral,03
Can we take chance on FightCOVID19 By our Indian traditional medicine shidha He claimed that he has medicine which can cure patients with Corona INDIA,0.0,Neutral,03
Death tally in Italy due to Corona StaySafeStayHome,-0.125,Negative,03
Most of the aged women and men are infected with virus dry caugh sputam fever fever just wandering all around Melamathur village in perambalur dt district administration must take stringent action against such people immediately to curb corona infection to spread over,0.08666666666666667,Positive,03
Why they are speaking in English You can also post Corona updates in tamil,0.0,Neutral,03
If you want to give relief fund for corona virus affection Pls give your money to the Upi id pmcares,0.0,Neutral,03
It s our time to help govt We need to create more awareness since most of us don t have anything to do during our corona lockdown Every house will have some kids let s start our awareness from them record an awareness video CoronaAwarenessWithKids NationFirst CoronaWithKids,0.5,Positive,03
Aditya bang the plates loudly so that corona will not engluf you,0.1,Positive,03
yesterday and today two videos have passed it made me realize one I trusted but no basics at all This is only my speculation I believe now that the corona virus has been deliberately propagated by Chinese,0.0,Neutral,03
Call to me and I will answer you and tell you great and unsearchable things you do not know Jeremiah 33 3 BibleVerses Bible BibleStudy hopeinchrist repentjesusiscoming SecondComing Corona COVID19 Covid 19 coronavirus selfquarantine LockedDown,0.8,Positive,03
EMI Moratorium Interest has to pay for these 3 months Only principal are exception Then it is not a pause or relief for EMI it is profit for Banks If we are not able pay have to pay more interest Please reconsider Corona,0.08333333333333333,Positive,03
Please help these migrant workers I have seen police officials step out and help them In India people may die of starvation rather than corona,0.0,Neutral,03
Corona Virus Global Cases Jan 19 100 Cases Jan 24 1000 Cases Jan31 10000 Cases Feb12 50000 Cases Mar6 100000 Cases Mar 18 200000 Cases Mar 21 300000 Cases Mar 24 400000 Cases Mar 26 500000 Cases Mar 27 597 000 Cases Acceleration in Corona Spread Stay Safe,0.25,Positive,03
Madam in addition to social distancing and self isolation our prayers will drive away corona,0.03333333333333333,Positive,03
Milo not worried about corona,0.0,Neutral,03
Italy corona,0.0,Neutral,03
Don t you read newspapers watch TV Google to find what UP being the biggest state has done to fight corona Then find what other BJP ruled states have done,-0.125,Negative,03
This is the communist prdt to the entire world Shame on Kerala Even you are the state wid higher literacy rate Standing top on no Of corona patients coronavirusindia CommunismKills,0.25,Positive,03
Sha is frightened of corona amitsha will appear if any disestablish in any democratic states,0.0,Neutral,03
Is this tweet related to corona,0.0,Neutral,03
Hi corona holidays boring offl but I m waiting u r movie OhMyKadavule it s fantastic movie,-0.3,Negative,03
Respected sir following messages r being posted for immediate action to curb the spreading of corona infected casualities at Melamathur village in perambalur dt,0.05,Positive,03
My children the end is near 1 John 2 18 BibleVerses Bible BibleStudy hopeinchrist repentjesusiscoming SecondComing Corona COVID19 Covid 19 coronavirus selfquarantine LockedDown,0.1,Positive,03
Hi Madam sirHow Is The Medicine Cure For Corona Virus Is Is Available in ur country China amp us U Had Medicine To Cure So Please makes help Us to Recover Kindly makes Immediate action,0.3666666666666667,Positive,03
Zeethirai Breakfree Meyathamaan Vijaysuper 1Break movie Nanban Corona Lockdown21 21daylockdown Leave WorkFromHome,0.0,Neutral,03
Corona friday sis,0.0,Neutral,03
2days munna than corona interview parthen RIP,0.0,Neutral,03
You are destroyed But your help is from Me Hosea 13 9 BibleVerses Bible BibleStudy hopeinchrist repentjesusiscoming SecondComing Corona COVID19 Covid 19 coronavirus selfquarantine LockedDown,0.0,Neutral,03
Let s Stop Corona WeCare WeWatch WeVolunteer,0.0,Neutral,03
Corona numbers throughout india,0.0,Neutral,03
Seek the LORD and live Amos 5 6 BibleVerses Bible BibleStudy hopeinchrist repentjesusiscoming SecondComing Corona COVID19 Covid 19 coronavirus selfquarantine LockedDown,0.13636363636363635,Positive,03
CoronaVirusLockdown If you have Elders Children in your home Make sure they are not consuming TV news often With ticking Corona patient numbers being shown every minute it will only increase the fear in them and create anxiety Make them watch positive stuff,0.24242424242424246,Positive,03
A wise man when evils are approaching hides himself but fools pass on and will be punished Proverbs 27 12 BibleVerses Bible BibleStudy hopeinchrist repentjesusiscoming SecondComing Corona COVID19 Covid 19 coronavirus selfquarantine LockedDown,0.35,Positive,03
Southindian Superstar Ajith Master Master RRRMovie Valimai Prabhas21 coronavirus Corona SafeHandsChallenge SSMB27 AndhaKannaPaathaakaa Ugadi COVIDIOTS WorkFromHomeLife BhulaDungaFtSidNaaz LockdownNow,0.0,Neutral,03
But it allows cow urine to be the medicine for noble Corona,0.2333333333333333,Positive,03
BreakingNews Please share this awareness video to all of them covidindia Coronaindia TNCoronaUpdates Lockdown21 Corona coronavirusindia TNGovt TN144 Lockdown21 TN Together AgainstCorona COVIDIDIOTS,0.0,Neutral,03
Master Director LokeshKanagaraj About Corona Virus Awareness Master Corona COVID CoronaAlert,0.0,Neutral,03
Please chant this sloga Narayaneeyam prevents from Corona Virus,0.0,Neutral,03
The very strong bow was broken by the great Vidura in order to Pandava won the Mahabharath war At the same way prime minister s Lakshmana Rekha whole lockdown will be conquer the Corona virus Wonder,0.23266666666666666,Positive,03
Government doctors not asking one month salary as corona allowance Full fill their demands That s enough,0.175,Positive,03
Lock down will be broken by the people soon or with in week time no more lock downs or extension unless there is a huge numbers deceased by corona,-0.10138888888888888,Negative,03
Due to locked down also stopped working or what Look at the massive internet speed India Dear team Have you sent any notice to vodafone for reducing the internet speed Has also affected by Corona or what Sir kindly look in to it,0.0798611111111111,Positive,03
Rahul Gandhi has continuously warned the Modi Government to take action against the Tsunami like situation whether be Economic Crisis or may it be Corona Virus Video courtesy coronavirusindia coronavirus India,0.15000000000000002,Positive,03
Stay Home Stay Safe corona breakthechain socialdistancing covid 19 cov d19 India,0.5,Positive,03
Corona Spread awareness speak with Thalapathy wait soon,0.0,Neutral,03
New medicine for cure of Corona Virus released Medicine name MVI 21D Available for all MVI 21D Moodikittu Veetuliye Iru 21Days,0.2681818181818182,Positive,03
CORONA VIRUS WORLD HAVE NEW PROBLEM A POSITIVE WORDS FROM ANASBASHEER BE SAFE AND HEALTHY,0.3409090909090909,Positive,03
Anna this is from us 2 3 lines about social Distancing Still we will support you by tweet We gonna to make many posters to expose the corrupt in CORONA We will take it to people by good way to support you supportIND StayAtHomeSaveLives IWillStayAtHome,0.18333333333333326,Positive,03
Stay home stay safe corona,0.5,Positive,03
Waiting for Corona awareness video from Master ThalapathyVijay Thalapathy65,0.0,Neutral,03
Plz stay in home for upcoming 21 days otherwise you cant see 2021 Plz take it seriously CoronavirusLockdown coronaupdatesindia CurfewInIndia Corona,-0.3333333333333333,Negative,03
21 Days Lockdown Corona,0.0,Neutral,03
Ji What does the economy do then Is the economy dead Has the corona virus affected the economy,-0.2,Negative,03
Plz keep social distancing Clean your hands Lockdown yourself into ur house Plz plz plz Save India from Corona virus Plz obay govt Rules It s for us not for themselves Govt of India ordered 3 week lockdown frm today night 12am Plz follow,0.2,Positive,03
144InTN in 21 Days announce Stay Home pls Corona LockdownNow CoronaVirusUpdate,0.0,Neutral,03
Today Nature proved This Picture right It s Not corona it s Karma TamilNadulockdown Covid19India StayAtHomeSaveLives,0.2857142857142857,Positive,03
If you look for me wholeheartedly you will find me Jeremiah 29 13 BibleVerses Bible BibleStudy hopeinchrist repentjesusiscoming SecondComing Corona COVID19 Covid 19 coronavirus selfquarantine,0.0,Neutral,03
Hon ble PMji Namaskar Due to threat of corona virus cash txn to be controlled in bank particularly Physical cash deposits in CBS accts Essential item to be provided by govt like veg and food where people gathered,-0.04166666666666666,Negative,03
fight against corona stay in home,0.0,Neutral,03
Now Corona gonna reach Villages,0.0,Neutral,03
Good move sir for implementing sec144 in TN Kind request to all people just follow this and stay away from most dangerous Corona Wash your hands properly Dont try to go in crowded places Keep distance from others StayHomeSaveLives TN Together AgainstCorona,0.23999999999999996,Positive,03
Game Download Link coranavirues Trending NewsNight News18Tamilnadu SunTV SunNews 23March WorkFromHome Corona coronaviruskenya GameStop PUBGMOBILE,-0.4,Negative,03
The Corona virus is claiming lives and causing distress throughout the world During these difficult times we should obey the government amp follow its guidelines So please stay at home amp stay safe friends COVID19outbreak,0.0,Neutral,03
This whatsApp rumors spread like anything My area believed that corona was killed yesterday Because of clapping should stop another a Month atleast in india is very helpful coronarumours WhatsappForward fails,-0.16666666666666666,Negative,03
