Tweets,Polarity,Sentiments,Month
TGIF Corona Chicken mojitos Fridays,-0.6,Negative,11
Corona Sunsets makes it s way back to Hyderabad this month Being hosted at Dirty Martini Kitchen amp Cocktail Lounge on today 5pm onwards 17th of November the event sees international artist Minitech Project from,-0.2,Negative,11
Corona virus could not enter india due to high security in indian hospitals Mallikarjuna Swamy Devasthanam Komuravelli,0.0175,Positive,02
Friend successfully returned from China After he contacted Indian authorities a special plane was arranged for such COVID19 free people to India RajKumarAland Hyderabad,0.3767857142857143,Positive,02
Stay safe stay at home wash u hands as much as clean as u can and make sure that if any severe cough any temperature pls consult a doctor and have a suitable test go corona go corona,0.4791666666666667,Positive,03
Hi Guys I hope all are enjoying Quarantine with family It s almost 14 days in Quarantine Tq to each individual who supported to stop the rapid spreading of corona virus Covid 19 Now it s rate is decreasing So we have to continue till the virus demolishes StayHomeStaySafe,0.25,Positive,03
FLDI will thank the Honorable Prime Minister Shri Narendra Modi for considering our request to assist in the event of any disaster to take of our LPG staff who are working daringly against the corona threat We are truly grateful for announcing 5 lakh exgratia,0.0,Neutral,03
Corona virus funds in warangal plzzz help warangal district,0.0,Neutral,03
Some people r collecting donations naming corona victims pls confirm whether it is fake or real If it is fake pls aware people about it many r trapping to this links,-0.125,Negative,03
Power Engineers contribution in eradicating Corona virus,0.0,Neutral,03
Requesting to all the officer of police plz don t be go roudly and Also listen there probem if it is Emergency ok if reason will be not properly put them in jail no worries but don t punishment bcaz hospital are totally filed with Corona patatient requesting you,0.1,Positive,03
Corona effect demand decresed,0.0,Neutral,03
When it comes to helping Telugu film starts are always the best Thank you nithiin for being role models to all the stars in the country TeluguRealHeroes COVID19 corona TeluguFilmIndustry Chiranjeevi,1.0,Positive,03
As part of NAMOJYOTHI program M thanked Our Beloved PrimeMinister Sri ji who has released Rs 1 70 lakhs Crores fund to Needy People of the Nation in this CORONA lockdown period NamoJyothi bjp,0.7,Positive,03
Don t get out of house So we can send corona out We have to fight together against this virus COVID19india StayAtHome CoronaAlert JantaCurfew Telangana at Warangal,0.0,Neutral,03
We are doing our part from VIBA VAAGDEVI COLLEGES to fight against corona what are you doing Share your ideas with us and experiences of quarantine,0.0,Neutral,03
Tq U Sir for Giveing To India A donated as corona,0.0,Neutral,03
Looks like more people are going to die out of boredom than due to Corona,0.1875,Positive,03
Corona is can t kill me has it lockdown untill April 14may kill my family as we are daily wager our total savings were completed for building home Now emis are coming people am not asking for ur help but am asking for some loan to maintain my family plzz respond,0.0,Neutral,03
Tasted Corona ve Ayina parlee Jai bunny at MGM hospital,0.0,Neutral,03
COVID19outbreak dear friends fellow colleagues and family members Please follow the government direction towards this corona KillCorona Stayathome,0.0,Neutral,03
rt Please be kind towards the needy in light of Corona,0.5,Positive,03
We won Corona 2020 world cup CoronaChainScare CoronaCitizenResponsibility,0.0,Neutral,03
Corona doesn t discriminate between Hindus and Muslims My Govt does Gives citizenship based on Religion,0.0,Neutral,03
We salute to all the Doctors Nurses health workers sanitary workers media and police for fighting against corona bjp,0.0,Neutral,03
We have done our part for Janatha Curfew A big round of applause to Emergency services an account of Corona virus at Kazipet Railway Station,-0.1,Negative,03
Huge respect to telangana statepolice They are fighting for us against corona,0.4000000000000001,Positive,03
This is wrong ToI Dushyat Singh was not Corona positive So far Derek must take responsibility of self isolation as he attended Kakina s party Covid CoronavirusOutbreakindia,-0.057575757575757565,Negative,03
Wrong message to the public When social distancing is the new norm in the hour of crises COVID2019india Corona,-0.08257575757575758,Negative,03
Use mask save from Corona,0.0,Neutral,03
Wow super thinking bro he s god Stop to corona,0.21666666666666667,Positive,03
Last but one train to Kolhapur from Managuru next few days no trains JanataCurfew Jaari Hai COVID19 Corona Covid 19 This is present status of the railway station at Lingampally Hyderabad Telangana,-0.05,Negative,03
Got an opportunity to interact with Smt Pamela Satpathy Garu IAS Greater Warangal Municipal Commissioner Warangal about Corona Outbreak So kind of you madam You are an inspiration to many individuals like me You Be blessed by the Divine,0.5333333333333333,Positive,03
Haan I remember this hanging Chinese always come with teaser before releasing original print Covid COVID 19 Covid 19 Corona CoronavirusOutbreakindia,0.1875,Positive,03
Is India heading for a lockdown Many trains are cancelled Corona Market is dull No movements covidindia COVID2019india,0.10416666666666666,Positive,03
Haan Ji God Bless India COVID2019india covidindia Corona,0.0,Neutral,03
Those who are entering into India must be quarantined for 14 days under strict vigilance COVID2019india covidindia covidindia19 Corona It is states responsibility At entry point authorities must collect all the information of the alighted passengers to pass on information,0.0,Neutral,03
A shocker from Corona COVID2019india Covid coronavirusinindia COVID19 Coronavirus can live in the air for hours and on surfaces for days study finds,0.13636363636363635,Positive,03
Don t believe everything you get to read on WhatsApp COVID2019india Corona covidindia COVID19,0.0,Neutral,03
Corona virus effects are directly proportional to the crude oil prices COVID19,-0.3,Negative,03
World is in isolation quarantined people living a life for self and others Covid Corona Serenade,0.0,Neutral,03
People in Spain are currently prohibited from leaving their homes unless there are extenuating circumstances And resulted in this Covid Corona COVID2019 COVID 19,0.0,Neutral,03
OMG where are we standing in testing Corona God bless India,0.0,Neutral,03
Hyderabad D Marts and several other grocery shops are under attack from probable lockdown in case covidindia COVID2019 Corona COVID2019 Telangana,-0.0625,Negative,03
Another good initiative during Corona outbreak CoronaVirus COVID2019,0.7,Positive,03
Did post the tweet in June 2013 Corona COVID19india COVID 19,0.0,Neutral,03
For Covid remedies in desi way Ayurveda Corona COVID2019 COVID2019,0.0,Neutral,03
Day by day increasing Corona scare in Italy Europe has now taken over as a epicenter of COVID 19,0.0,Neutral,03
