Tweets,Polarity,Sentiments,Month
Juicy turkey cheddar burgers simple deliciousness that Chef Joel Corona chef coronaj and our team served to guests with utmost pride and joy Recipe from Masala Farm Turkey ground caramelized onions aged,0.23333333333333334,Positive,12
Weekend scene sorted thedrowningstreet Red wine Liit Corona the curly cook book Its never late for anything Drowning Street,0.075,Positive,12
BanRepublicTv BanRepublicTv SOLD MEDIA is more dangerous than CORONA virus,-0.04999999999999999,Negative,01
Don t be so afraid of the corona virus It won t last long because it s made in China coronavirusindia coronavirus,-0.21666666666666667,Negative,01
WHO has now declared China Corona Virus a global health emergency CoronavirusWho GlobalHealthEmergency coronaviruschina CoronaOutbreak coronavirusindia,0.0,Neutral,01
Mr PM DONT U WORRY WE HAVE HOMOEOPATHY AGAINST CORONAVIRUS Believe on homoeopathy and implement it in INDIA against corona virus,0.0,Neutral,01
With Corona epidemics lingering should Delhi polls may be postponed,0.0,Neutral,01
Political parties busy in campaign we prepare to fight Corona,0.05,Positive,01
Homoeopathy for Prevention of Corona virus Infections Ministry of AYUSH Report by Dr Ramesh C Raina India conoravirus CoronavirusWho CoronavirusOutbreak coronavirusindia coronaviruschina coronavirus coronarvirus,0.0,Neutral,01
Sir any advisory from our Embassy in Thailand whether it is safe to travel there at this point of time on account of corona virus Thanks,0.35,Positive,01
Corona virus is a bengali lady asking her husband koro na on her wedding night Oh ok byeee,0.5,Positive,01
As predicted Our first positive case of corona has been reported in Kerela Now see the impact,0.23863636363636365,Positive,01
I heard the sale of corona beer it was going down,-0.1555555555555556,Negative,01
I think my padosan is suffering from corona virus I heard her screaming yesterday night Corona Corona aur Corona,0.0,Neutral,01
The NSF s Inouye Solar Telescope provides unprecedented close ups of the sun s surface but ultimately it will measure the sun s corona no total solar eclipse required solarvision2020 isromissions nasa,0.2,Positive,01
Corona Virus affected regions in China is slowly increasing and is sure that it will spread over Nepal from our Northern territory Staysafe CoronavirusOutbreak,0.09999999999999998,Positive,01
Imagine this ashok fellow is part of modi s think tank He thinks whole world is cowardly like him and will disperse at the very mention of corona virus,0.2,Positive,01
dear sir my younger brother MBBS study in chaina in jiamusi university there Corona virus are serious also some students return but no help from India government amp Bihar government about Indian students please help sir m86 188 4540 0873,-0.16666666666666666,Negative,01
Send 3 Chinese guys to Shaheen Bagh announce they have Corona virus All anti CAA nautanki virus will disappear Ziddi,0.0,Neutral,01
Get three Chinese guys to ShaheenBagh amp announce they have Corona virus All Anti CAA nautanki virus will disappear Via SMS,0.0,Neutral,01
This is a matter too serious All prayers for China and all the other countries suffering from corona God please give people strength to fight it,-0.22916666666666666,Negative,01
Corona cases and death toll increasing Nepal needs preparedness like rest of the world health globalhealth,0.0,Neutral,01
