Tweets,Polarity,Sentiments,Month
Benefits Of Satsang The satsangas of the true Satguru tell us that there is a God who eliminates even the worst of diseases Then even if it is an epidemic like Corona Must watch Sadhna TV 07 30 PM,-0.325,Negative,03
1965 We are ready to fight the corona with the soldiers of our country nationalcadetcorps at Chamoli,0.2,Positive,03
SantRampalJi CanEndCorona Corona s solution with the power of a great saint Presently the famous prophets whom Sant Rampal Ji Maharaj ji is a great saint according to Nostradamus Florence etc Which can end the epidemic like Corona virus,0.525,Positive,03
PM Shri will address the nation on the issues related to COVID 19 and the efforts to combat it at 8 pm tonight COVID19 CoronaVirusUpdate Corona,0.0,Neutral,03
India salutes those at the forefront of fighting COVID 19 MannKiBaat,0.0,Neutral,03
Break the Chain Let us all practice social distancing avoid crowded places and take precautions to protect our society from COVID 19 IndiaFightsCorona,0.03333333333333333,Positive,03
PM Shri will address the nation on the issues related to COVID 19 and the efforts to combat it at 8 pm tonight COVID19 CoronaVirusUpdate Corona,0.0,Neutral,03
For the past couple of weeks our team of paramedics and commu m h it resource person were on the field everyday with our mobile health van Sewa Arogyam to spread awareness about protection from covid19 to the,-0.225,Negative,03
Curfew of the people by the people for the people to fight COVID19 As a responsible citizen come forward amp respond to PM s call for Janta Curfew by taking the I Support Janta Curfew pledge IndiaFightsCorona,0.2,Positive,03
Curfew of the people by the people for the people to fight COVID19 As a responsible citizen come forward amp respond to PM Ji s call for Janta Curfew by taking the I Support Janta Curfew pledge IndiaFightsCorona,0.2,Positive,03
SupportCoronaWarriors PPE kits mandatory for all medical teams staff working in i hospitals treating corona patients ii corona testing labs iii health care workers rendering services door to door AIIMS Uttarakhand,0.0,Neutral,04
CoronaPandemic only way to contain this is send medical teams door to door and do more and more tests PPE kits mandatory for all medical teams serving in field or in hospitals treating corona patients any negligence will lead to a situation like we have in AIIMS Uttarakhand,0.2,Positive,04
in this high time of corona pandemic i feel ashamed to see the neglected state of medical team visiting our villages in the hill districts who even don t have the access to proper protection gear and are seen performing their duties wearing a face mask for dust protection only,0.04,Positive,04
message is clear Covid 19 StayHomeStaySafe SetuMeraBodyguard,0.10000000000000002,Positive,04
jokes apart as per the govt order both my children have been promoted sans the annual exams this achievement they owe it to Covid 19 by keeping a safe distance from school,0.5,Positive,04
such a grave situation for all states on the economic front Covid 19,0.1,Positive,04
such a grave situation for all states on the economic front Covid 19,0.1,Positive,04
I recommend Aarogya Setu app to fight against COVID19 Please download and share it using this link Android iOS,0.0,Neutral,04
With a bassi standupcomedy standupcomedian quarantine corona dehradun uttarakhand bassi anubhavsinghbassi comedy laughter at Dehradun,0.0,Neutral,05
Nautiyal ji the break up of corona related information shared by you through the series was both interesting and informative thank you for the good work we will eagerly wait for news,0.4,Positive,05
Delhi polution free Ganga polution free Ozon layer fixd abhishek bharti ThnkU corona ThnkU lockdown ThnkU indian Govt power of nature indiafightscorona stayhome staysafe nature,0.4,Positive,05
lets people comming home be self quarantine govt agencies can t take care of everything and everyone we all have to learn to live with the COVID19 virus by taking precautionary measures,0.13636363636363635,Positive,05
