Tweets,Polarity,Sentiments
There are more than 1 50 000 cases of Corona virus Our university pehley assignment or exams dedo phir mar jana,0.5,Positive
My respect for MaRIO biscuit Government is on whole other level Come fight me Nagaland fights corona,0.037500000000000006,Positive
He is the unstoppable warrior against the world pandemic Corona He is our brave amp inspiration to fight against this pandemic He is our Respectable Himanta Biswa Sarmah Dada A Big salute to you and your hard work OurheroHBS,0.2520833333333333,Positive
He is the unstoppable warrior against the world pandemic Corona He is our brave and inspiration to fight against this pandemic He is our Respectable Himanta Biswa Sarmah Dada A Big salute to you and your hard work Our Hero HBS,0.2520833333333333,Positive
Corona ko le ke jis tarha silent the thik usi tarha China India Border issue me v silent hai Nateeza corona jaisa na ho kehi Everything shd b make crystal clear to citizens,0.03333333333333334,Positive
Dear sir I have already cancelled my tickets due to corona virus outbreak pandemic The flight which is scheduled to fly on 15th April 2020 from Goa to Guwahati As the flight is officially cancelled by INDIGO itself and the flight din t fly on the scheduled date,0.4916666666666667,Positive
God fathers Corona viruses Against covid 19 pandemic Crisis Please do my Duties,0.0,Neutral
It is going to be more than 3 days that our transformer is not working All darkness around I have online exam from 4th of june and more over my village people facing more problems due the outbreak of corona Add Rampur Kalgachia Barpeta 781319,0.34375,Positive
Nation Wants To Know Why it took 2 months for Modi Gov to wake up after 1st case of positive corona case was detected on 30th Jan Post which there were many many Gov events SpeakUpIndia,0.3568181818181818,Positive
India2020 1 Hunger 2 Unemployment 3 Economic Crisis 4 Corona Pandemic 5 Flood amp Amphan Cyclone Also 6 China is Intruding LAC 7 Nepal is Changing Map 8 Train losing it s track 9 Migrants on the Road etc,0.2,Positive
God father please help me I went my job and fights against Corona viruses please do it,0.0,Neutral
Who has created corona,0.0,Neutral
Hindustani Fully Support MODI ji Government ONLY BJP all STATES Against fights corona Viruses Hindustan jindabad hai Modiji Ke karan Congress party Hindustan barbaad Kar de ga,0.0,Neutral
Government should be hard action against these murderers,-0.09583333333333334,Negative
Depletion of wildlife habitats paved the way for viruses like HIV Ebola and corona Yet wants to destroy forests SaveDehingPatkai SaveDibang,0.0,Neutral
Assalamualaikum Eid Mubarak I pray to Allah to accept the Ramzan and make this year of peace and prosperity I also pray to Allah to save us our Nation and the whole world from the Corona pandemic I wish this Eid ul Fitre brings in your life joy happiness and success Ameen,0.5,Positive
I ve completed my prayer of Eid ul Fitar right at my home Allah please heal the trouble of Corona pandemic and give us some space to live Happy Eid ul Fitar EidMubarak,0.25551948051948054,Positive
Assam COVID number now increased to 378 20 new cases of COVID19 32 new Corona patients today so far 6 Nalbari 5 Kamrup 4 Hojai 2 Kamrup Metro 2 Nagaon 1 Morigaon AssamCovidCount,0.12424242424242422,Positive
If one thing this Corona pandemic has taught us its that if we don t give a damn about nature nature will stop giving a damn about us SaveDehingPatkai DehingPatkai,0.0,Neutral
Sir mera bhai chennai mein fas gaya hai Bt he doesn t want to cmeback to Assam q ki bahar se aanewale logo se Assam me bhut corona fel raha hai Bt he needs financial assistance If possible pls help,0.0,Neutral
At the end of the Ramzan I m just praying to Allah that please stop the corona that we can stay together with love respect amp happiness Want to see a happier world again,0.6,Positive
I wonder whether things will be normal again or will this be the new normal from now on One this is certain the effect of Corona will be seen long after medical science provides us with a cure The mental health risk it will bring will be difficult to deal with,8.116883116883467e-05,Positive
I am not so worried about Corona itself But these lockdowns are starting to get into my nerves Feeling of helplessness and depression starting to kick in Anyone else,0.0,Neutral
The amazon of the east is under threat What would we do with a corona free world without its Flora and Fauna SaveDehingPatkaiElephantReserve save amazon of east stop coal mining LeonardoDiCaprio,0.4,Positive
Novel Corona Virus in Assam Oh god save Assam at Kampur,0.0,Neutral
Amidst the Corona virus crisis the NBWL has recommended coal mining in Dehing Patkai Elephant reserve of Assam I strongly opposes such corporatist move by the government which will jeopardise the natural habitat of the region iamdehingpatkai,0.17777777777777778,Positive
Restricted house positive case of novel corona virus I request to every citizens of the world to kindly StayAtHome faith in science,0.41363636363636364,Positive
In between the battle youtubevstiktok Corona have lost it s position,0.0,Neutral
Live interaction with CSC VLEs the corona warriors through Video Conference by Hon ble Minister of Electronics amp IT Law amp Justice and communications on 20th May 2020 at 4 pm,0.06818181818181818,Positive
Alert An area of Amolapatty NAGAON will be contained as a Corona patient has been detected there recently COVID19 Active cases 89 Death 4 Total 136 Update at 3 30 pm May 7 AssamCovidCount,-0.044444444444444446,Negative
28 corona virus cases are from single source I hope authorities completely seal building put entire staff along with Sudhir Chaudhary under quarantine to prevent further spread of the virus Rule should be the same for everyone ZeeNewsSealKaro,0.005714285714285716,Positive
NEW HOTBED of CORONA ZEE NEWS CORONA MARKAZ ZeeNewsSealKaro,0.13636363636363635,Positive
When Corona came to markaz ZeeNews Busy to focus aerial view of markaz 28 ZeeNews staff tested positive So we can expect aerial view of ZeeNews office ZeeNewsSealKaro ZeeNewsSealKaro,0.16363636363636364,Positive
28 corona virus cases are from single source I hope authorities completely seal Zee building put entire staff along with Sudhir Chaudhary under quarantine to prevent further spread of the virus Rule should be the same for everyone ZeeNewsSealKaro,0.005714285714285716,Positive
Today I m so sad becz big breaking news that employers or anchor or Delhi jamaati reporter are corona positive what can they do now I am sorry,-0.19318181818181818,Negative
First batch of Rashtriya Swayamsevak Sangh RSS volunteers going out in Mumbai to test people for Corona infection,0.25,Positive
Sir please seal the darrang district because darrang isn t effected by corona but all are the nearest district like sonitpur kamrup M kamrup R etc are effected by corona So i request you sir please make the covid free darrang and save the people of darrang,0.4,Positive
Pic1 see Rahul Gandhi s early warning about corona virus Pic2 see how mudi zee ignored Rahul s advice and having fun Clearly visible whose priority is what MigrantLabourers RahulCaresForIndia 6,0.16666666666666666,Positive
The govt must give money in the pockets of the poor which will bring demand in the market and get the economic running If not the economy will face a major loss a loss worse than corona RahulCaresForIndia,-0.13437500000000002,Negative
I also feel trouble for believing don t belief the corona i e Covid 19 reporting of Chines and Italian Media Government Agency,-0.1,Negative
It s time to fight together agains Corona,0.0,Neutral
Oh no Corona is spreading so frequently I m praying to Allah that please stop the Pandemic and save the world Can t see the people this way It s hurting so badly Want to see a smily world again FightAgainstCorona StaySafe,-0.29999999999999993,Negative
Corona i love you Me thank you i love me too Lockdown4 AtmaNirbharBharatAbhiyan 3moremonths blockchain,0.5,Positive
One word for corona warriors,0.0,Neutral
Does anyone know how long this will go on lockdown Covid 19 Corona,-0.05,Negative
49 central universities 367 state universities 123 deemed universities 282 private universities Dear PM do you have a concrete plan for them and students studying in them in this pandemic of Corona WaiveFeePromoteStudents,0.05000000000000001,Positive
One word for corona warriors askkl,0.0,Neutral
If God grants me just one wish to completely vanish something from this world I would still choose tiktok over corona youtubevstiktok BanTikTokInIndia carryminatiroast,0.1,Positive
Maa chod beti chod Dis corona is not ending in fact it s increasing daily Fucking lock down it s not working,-0.2518518518518518,Negative
Gradually Assam is going 2 b Corona Hot Zone Guwahati is now high risk city where doctors amp staff of two main hospitals Guwahati Medical College amp B Baruah Cancer Institute are affected Both hospitals are now closed for admission of new patients of other diseases,0.06971861471861472,Positive
Have your all stakeholders partners dealers customers have downloaded Aarogya Setu App Start downloading Aarogya Setu App at the earliest to make corona free GoI,0.4,Positive
Whether all your stakeholders partners have downloaded Aarogya Setu App Start downloading Aarogya Setu App at the earliest to make corona free GoI India india,0.4,Positive
Best wishes GoI INDIA GOV amp all india and all consumers We all together have to make corona free New and,0.5121212121212121,Positive
