Tweets,Polarity,Sentiments
Corona positive cases in distract and block wise list update please,0.4636363636363636,Positive
labours is on a critical stage why not PM use Armed Forces contigents to shift migrants to their homes and fight out the Corona war providing its Feild Ambulances of Army Medical Corps particulrly for Maharashtra amp Gujrat as advised by the 1000 academicians of India,0.0,Neutral
Article written on regarding the struggles facing by Transgender community in times of Corona I think its high time for government to take appropriate steps or atleast people to be humanistic,0.33,Positive
Strategically it first went to China took stringent training there and then attacked whole world So apart from calling it Corona Virus we can also call it Corona Militant in police language P S On a lighter note Sir s,0.225,Positive
Now Kejriwal ji said to follow homeisolation do you know why Because in delhi kejriwal Government is hiding death figures in delhi now 80 deaths in just 24 hours how Total deaths in delhi due to Corona is more than 500 Shame on you kejriwal ji KejriwalLiedPeopleDied,0.125,Positive
Kejriwal has been lying from Day 1 He has never given correct figures for Corona cases or deaths in Delhi KejriwalLiedPeopleDied KejriwalLiedPeopleDied,0.0,Neutral
Corona positive cases in bihar update please distract and block wise list,0.4636363636363636,Positive
I have followed everyone now you guys also follow me back,0.0,Neutral
Will Covid 19 be treated with these medicines As Scientists claims that drugs that prevent HepatitisC and HIV infection may be helpful in preventing Corona infection Covid 19 pandemic Medicina,0.0,Neutral
Salman Khan s latest message against Corona though Pepsi ad SwagSeSolo,0.5,Positive
sir I pray to God to defeat the Corona Virus as soon as possible,0.0,Neutral
Corona can t kill communal corona,0.0,Neutral
Corona can t kill communal corona virus,0.0,Neutral
Corona has not potentiality to kill communal corona virus,0.0,Neutral
He is not going to die because he is more dangerous communal virus than Corona itself,-0.04999999999999999,Negative
Don t worry he is not going to die because he is more dangerous communal virus than Corona itself,-0.04999999999999999,Negative
He is not going to die because he is more deadly communal virus than Corona itself,0.15,Positive
Corona will not kill him because he is even more deadly communal communal virus than Corona itself,0.15,Positive
Thanks to Anjali Shukla ji National President of NSS for nominating me as Corona Warrior,0.2,Positive
Sir how to deposit poor student exam fee in this corona like situations Will we provide government medical insurance to all students amp Teaching Staf Finally I want to ask you as a citizen that in how many days can your government make Bhopal free from,0.1,Positive
1 Lakh deaths due to corona in America The total number of infected is close to 1 7 Lakhs US America CoronaVirusUpdates Newsnation18IN,-0.0625,Negative
please Corona positive cases in bihar update sir,0.22727272727272727,Positive
Teachers are playing vital role as corona warrior,0.1,Positive
Buxar administration has started home corontine to those who have no symmtomsof corona There is no subsitute Home corontine persons should be conscious and careful so that they should harm to him and others Government should also vigilant,0.0,Neutral
Politician and Indusrialist Business men and top professionals has not taken authority and responsibilities of their Guest Migrated labours in corona period They forget Atithi devo bhavo Now God will not pardon them sooner or later with some exception,0.25,Positive
Bitches be like Babu Shona Virginity khona Randi Rona Go Corona,0.0,Neutral
Good night chinaindiaborder wednesdaymorning DikkiloonaFirstLooks ChildrensDay lockdown prakashkumar Corona SweetDreams,0.7,Positive
Next time you vote Remember Corona spreads by hand not with lotus,0.0,Neutral
Someone kitne lucky ho tum Me jab call lagata hu tho direct lag jat Bina corona caller tune ke,0.21666666666666667,Positive
sir Corona positive cases in bihar update please,0.22727272727272727,Positive
Sir kya students ki lyf ki value nhi hai Why u r conducting exam during corona pandemic 2000 4000 exam fine ko Government aaj student ko ignore kar rahi hai Kal students iss government kari electioncomesoon PromoteStudentsSaveFuture BycottBJP,0.4166666666666667,Positive
Hi Dear sir mam Have any help due to corona various in your dristic related covid 19 I am ready for help as a corona warriors ke roop me I am ready for that Ranjeet Kumar 9890978790,0.05500000000000001,Positive
7 hour ago Corona positive update please update again,0.22727272727272727,Positive
Worst to come in india in terms of corona virus,-1.0,Negative
Corona positive cases in bihar update please,0.22727272727272727,Positive
INDIA FIGHTS CORONA COVID 19 STAY HOME STAY SAFE,0.5,Positive
Wake up Sudip train conversion to Covid ward was to meet the emergency situation when corona may have created But threat is always there till the time We find some trustable medicines to deal with disease Hence any initiative to deal with pandemic with intention to save,0.0,Neutral
