Tweets,Polarity,Sentiments
Found 9 more corona test positive from surajpur Covid19India,0.36363636363636365,Positive
sawal ka jawab milega hi nahin Like jab pta hai Italy is struggling with Corona already why they didn t ban international flights to Italy already Why they had to wait But then have to appreciate that he has handled it very well after that if we consider our population,0.1,Positive
Corona has made the lives of stray amp abandoned animals miserable Please help them Let Them Know Someone Cares amp We are their voices extremely happy to do my bit to support the ones who are our best friends CareForAnimals,0.26666666666666666,Positive
This situation has been created by the Tablighis Their unruly behaviour made all others to think that they are engaged in corona Jihad,0.0,Neutral
It is not Shaheenbagh or protest aginst CAA to serve biriyani It is a fight against corona and its spreaders,0.0,Neutral
A C After corona effects my li l daughter just asked for Quarantine instead of Cornetto when she wanted one from the refrigerator,0.0,Neutral
By 2325 Where the corona warriors should be worshiped for being altruistics they are mercilessly attacked by some rioters Click on the link below to get the complete detail,-0.3,Negative
muslims spitting wasn t fake news though that happened before corona but that wasn t fake Muslims bhi halal certified namkeens lete hai na,-0.5,Negative
Help Them The followers of Anant Rampal Ji Maharaj came forward during the crisis of Corona epidemic Warehouse system for the needy The society should also give its support at such times,0.0,Neutral
Nice depiction of poor people of india haunted and tortured by our system in the name of Corona,0.09999999999999998,Positive
Tribute to all corona virus warriors through my poetry broadcast telivision an online in IBC 24 News channel The channel focuses on regional news of Chhattisgarh amp Madhya Pradesh regions of India stay motivated stay home stay safe India,0.5,Positive
Tribute to all corona virus warriors through my poetry broadcast telivision an online in IBC 24 News channel The channel focuses on regional news of Chhattisgarh amp Madhya Pradesh regions of India stay motivated stay home stay safe India,0.5,Positive
Help Them The greatest virtue has been considered to be food donation by saints Therefore in the crisis of this corona epidemic arrangements are being made to distribute food at various places with the blessings of Sant Rampal Ji Maharaj,0.5,Positive
Very beautiful song on India s fight against Corona sung by Sharma Family inspired from Faiz Nazm Hum jeetenge,1.0,Positive
And this one Q Who was caught napping while corona was spreading,0.0,Neutral
Help Them Followers of came forward during the crisis of Corona epidemic Bhandara system for the needy The society should also give its support at such times Visit our website Watch Sadhna Channel at 7 30 pm IST,0.0,Neutral
Not only that the biggest Corona hotspot in MP Indore only 5000 test done till today and number of cases more than 1050 In Rajasthan 17500 test done alone in Jaipur number of cases 750,0.16666666666666666,Positive
It s a good humor but the reason is very simple that is Corona is more dangerous even than any criminal WearMask MaskIndia,0.039999999999999994,Positive
100 True nd agreed Ayesha one more thing where ever is BJP government there is alot of corona cases and you can see good results where is not BJP GOVERNMENT like Kerala Rajisthan chtattishgarh,0.5166666666666666,Positive
Corona par ek message,0.0,Neutral
No person from the area where corona is spread in Bhopal has gathered over here,0.0,Neutral
Cong Government was reduced to minority How can a minority government take hard decision to fight against corona It is good that a government with sufficient support is in power and of the party ruling the centre Otherwise the situation would have been much more worse,0.1270833333333333,Positive
to fighting with Corona say to all people should be use soup of ginger and turmeric powder twice a day and do exercise regularly and use hot water regularly This is sanjivni to win this war,0.2625,Positive
Pakistan is a threat to humanity Grave and sad news coming in from Pak during the global COVID19 Corona crisis Christians given a choice to convert or die the Christians in Pakistan need your support Please help AntiMinorityPakistan BeingMinorityInPak,-0.25,Negative
Sir Chhattisgarh Govt doesn t know who is the CARRIER OF CORONA in Chhattisgarh then why Govt has given relaxation to some business houses in Raipur it means Govt is inviting CORONA as nobody is following social distancing which is the only Medicin to break Corona Regards DSD,0.011111111111111112,Positive
Govt doesn t know who is the CARRIER OF CORONA in Chhattisgarh then why Govt has given relaxation to some business houses in Raipur it means Govt is inviting CORONA as nobody is following social distancing which is the only Medicin to break Corona Regards DAVID SINGHDEO,0.011111111111111112,Positive
J Navarro Good morning to protect from Corona use hot water regularly and use soup of ginger and turmeric powder twice a day and do exercise you can defeated to Corona,0.31666666666666665,Positive
mercuri what is situation of tivan about Corona,0.0,Neutral
Ma m with all due respect working under ur guidance each day is truly a gift for us We all surely gonna win against corona Menace Happy Birthday Ma m,0.49375,Positive
communists have shown their untouchability during the fight against corona by lynching 70 year old sadhu Now she is expressing solidarity with the murderers,0.1,Positive
