Tweets,Polarity,Sentiments
Goa Tourism is currently undertaking a survey to identify the needs of the tourism industry in the wave of the Corona virus crisis If you work in the tourism sector in Goa share your issues concerns and ideas To participate click on the link,0.0,Neutral
Predictions to estimate when the covid19 pandemic might end based on data provided by Map prepared on Online Stack lockdown corona lockdown2020,0.0,Neutral
Corona has impacted our psyche and we now long for hitherto mundane chores Taught us to value whatever we have,-0.10833333333333334,Negative
The government should seriously think about creating corona areas where these covidiots can be packed off to Whoever doesn t care about his own well being can go there This way care can be taken of who needs it and general public can be saved,0.07916666666666666,Positive
Save them from corona,0.0,Neutral
Hope you can pull the state out of this imminent corona disaster,0.0,Neutral
Good to see movies so that you can get rid of corona for some time from the mind,0.7,Positive
Corona has taught people what even parents could not do,0.0,Neutral
How about the people stranded here in Goa Hundreds are stranded here I think this is the right time to evacuate people from here as Goa is a corona free state as of now,0.34285714285714286,Positive
family is everything sandeseaatehai sandesheaatehain Corona lockdown Quarantine QuarantineTime,0.0,Neutral
Corona has taught many people many things Change of proffessions should be a serious option,0.22222222222222224,Positive
How about the hundreds of people stranded here in Goa Being a corona free state I think the government should try to evacuate the people of UT ASAP,0.4,Positive
Wts happening in Goa I can see ppl roaming freely in Taleigao Are we inviting trouble of Corona again,0.1,Positive
Very well said These are corona times and strange things are happening,0.07500000000000001,Positive
Yes Kerala Mumbai municipal commissioner the bhilwara magician In fact I have suggested a corona ministry,0.0,Neutral
Employment should be the first item on post corona agenda of every government Please divert all your efforts to that direction,0.25,Positive
Corona does not spare any one,0.0,Neutral
The theory that corona is less effective in hot and humid climate still holds It is not mutating as fast as it was feared to 94 percent cases are in countries with temperatures less than 17degree,0.14333333333333334,Positive
There are countless stories in this country of brave people who showed exemplary spirit and guts in this fight against corona Unfortunately they will all be forgotten moment we come out of this,0.10000000000000002,Positive
Request the media to publish the daily downloads of Aarogya setu App and create a frenzy around it in the country Involve celebrities as well This can be a game changer in the fight against corona post lock down,-0.1851851851851852,Negative
Tiny tot guests enjoying the environs of Goa International Airport The joy and smile is true testimony of the efforts put in by CORONA WARRIORS of TEAM GOA Official GoI at Dabolim Goa International Airport GOI,0.2785714285714286,Positive
Q Who declared Corona as a pandemic A WHO declared Corona as a pandemic,0.0,Neutral
This Corona issue will go as like others As PM Modi has said to the Sarpanchs of the country that this is the time where we should make ourselves independent This is the time where we should make a new model of development SanghKiBaat,0.06818181818181818,Positive
Do you mean they did no wrong Or that they were responsible for spreading corona all over the country If they had cooperated at that time this countrys infection rate would have been far lower Please don t try to make heroes out of villains,0.059375000000000004,Positive
One is very clear CM and Health Minister is doing a excellent job which is bench mark to other States Opposing Kerala Govt during this Covid 19 crisis with other issues is not a good idea opposition should work for people to prevent Corona,0.10600000000000002,Positive
Corona has upturned all theories,0.0,Neutral
He him self is a form of corona,0.0,Neutral
It is hogwash Moment we come out of corona china will arm twist and status quo will continue India to become a global manufacturing hub has to create the right eco system Archaic labour laws land acquisition poor electricity uncertain tax regime etc Hundreds of problems,-0.038095238095238106,Negative
He has probably the finest mind in this government He should have been put at the forefront in the fight against corona If not atleast he should be given charge of the re opening and I am sure he will bring the economy back on track The best techno politician of India,0.5,Positive
Hey Hey Trying to stay safe at work even though our nincompoop CM declared Goa corona free Then again maybe he was talking about the beer,0.45,Positive
There is a definite pattern emerging The danger is now restricted to the few hotspots in places like Mumbai Delhi Gujarat etc Most of India is emerging out of the corona shadow,0.09999999999999999,Positive
China and Bengal communists both affected by corona ruled by strong leaders Any other similarities,0.15416666666666665,Positive
Dear sir you are one of the best economists of this country Don t you think every penny saved today can be diverted to the fight against corona,1.0,Positive
Lawyers are still not accustomed to the new normal imposed on us by corona Please give them some time,0.1431818181818182,Positive
You can never expect any truth from Beijing let alone corona,0.0,Neutral
Government missed the bus in terms of de destigmatizing corona patients Now this will be another menace as more and more ostracization cases surface,0.5,Positive
This is Chennai Guys without mask were put inside an ambulance which had a dummy Corona infected patient They learnt the best lesson for violating the Lockdown IndiaFightsCorona,1.0,Positive
Slowly the time is coming where we can say about 60percent India is corona free,0.04999999999999999,Positive
Maulana Saadh is a criminal and a proven terrorist who has tried to spread Corona in our country by planting Human Corona Bombs through Jamatis He is a national criminal n should be treated like Kasab was treated U rightly said Deepak ji Maulana Saadh is CORONA MAULA,-0.1285714285714286,Negative
You are the torch bearer in this fight Suggest that central government form a corona ministry and give you the charge The whole country will benefit,0.1,Positive
This tabligh nonsense is growing by the day Had they to do anything like this in a Islamic country they would have been packed off probably never to be seen again We have given them s long rope to our detriment We should have corona zones to put people who don t abidr,-0.05,Negative
3 corona suspects put in GMC isolation ward 34 in facility quarantine 75 reports came negative 46 reports awaited 3 cured patients home quarantined The fight is not yet over Don t let your Guard Down stayhomestaysafe Lockdown2 wefollowsocialdistancing GoaFightsCOVID19 at Aquem,-0.2277777777777778,Negative
Corona virus is a hoax Lift the lock down and get on with life The emperor needs the lock down as an excuse for his economic incompetence,-0.04027777777777779,Negative
The government should lift the lock down and end the misery of the common man The Corona virus is like that uninvited guest who will be with us for a long time to come We know that the BJP government wants to hide its economic failures buy giving us the Corona scare,-0.021111111111111126,Negative
Odisha WB is a corona time bomb Please seal the border of that state with military tightness,-0.1,Negative
The same ordinance should also cover police on corona duty Police should be given free to shoot order in self defence,0.2,Positive
