Tweets,Polarity,Sentiments
EPIC Enhanced Testing Proactive Detection Intensive Surveillance Corona Checkposts This is how responded to the pandemic Good Going sir and Team,0.39999999999999997,Positive
The time when world is fighting with Corona As a nation and as most populous state we can be better alternative to Chinese in terms of labour and land tariffs with one window clearance as soon as possible,0.25,Positive
just saying They are also Potential donors First they will get CoRona then they will spread it Then some of them will cure few of em will give plasma You will be proud of them This is the Chronology Right,0.22714285714285715,Positive
I sachin Kumar 7082029479 here stucked in Ahmadabad with my family pleaSe escape us from here corona spreads in huge quantity I want to go at my home village matak majri indri district Karnal at Applewoods Satyesh Residency,0.4000000000000001,Positive
Congress epic Parliament Attack Afzal is my hero 26 11Attack Kasab is my hero PulwamaAttack Adil is my hero CAAprotests Sharjeel is my hero Delhi riots Tahir is my hero Corona outbreak Tablighi is my hero at Ahmedabad Haat,0.1,Positive
National Art Competition COVID 19 AWARENESS CAMPAIGN S Student artist Pearl Panjwani Title Prevention for corona Medium oil pastels and water colours size A 3 size Prize,0.0,Neutral
Yeah we should give credit then for donating CoRona to India as well,0.0,Neutral
GOOD NEWS Bopal s one more ve corona patient sh Deven Bhatt Dy Commissioner AMC Anand Krupa opp Bhavya Park is now NEGATIVE He reached home certified Now we are left with 4 ve pations Jai Hind at Bopal circle,0.22499999999999998,Positive
Something to consider Corona,0.0,Neutral
India Fights Corona under great leadership of Ji amp Not to forget Corona Citizen Warriors Mendola Salute,0.8,Positive
Simple question to such protestors Where corona positive will go In forest Why you r against patients Why dont behave as human If someone from yr family found positive then also same protest TAKE ACTION,0.07922077922077922,Positive
Interesting Advisory from Govt about plan act while you are returning home from any place I am sure if we follow this corona will make social distance from us Jai Hind at Bopal circle,0.3444444444444445,Positive
Don t let the behaviour of other destroy your inner peace stayhome stayathome staysafe save life covid covi d19 indian strong go corona go meeting memories with besty O7,0.02708333333333332,Positive
Respected plz look at this clip how strick ahmdabad lockdown is following As you know day by day cases are increasing plz take action if possible to reduce the Corona count at The Vishalla,0.03333333333333333,Positive
Here comes the apologists They write article to save mob because Sadhus were killed Madam let this Corona thing over Sadhus give up on worldly things but you came kill them and get away with it,-0.2,Negative
This is the basic problem we can t get rid of many other viruses unless the below pictures are not rectified Corona is temporary but what about this Are we paying taxes to live in hell do something before it gets too late at Shally Tower,0.042272727272727274,Positive
rubikaliyaquat plz Rubika ji ye news chalao Ki plz ye police valo ko to Rahat mile corona me agar sab ke sath Asha hua ti fir Kon Bajayenga dharma at Virochannagar Gujarat,0.0,Neutral
Go corona go,0.0,Neutral
Coronaconspiracy Corona is conspiracy of,0.0,Neutral
Dear sir One corona virus case confirmed in rajiv nagar near tulip citadel please look into the matter now to have this rajiv nagar checked thoroughly Thanx at Tulip Citadel,0.25,Positive
Name Corona Surname Virus Nick Name Covid Age 19 Mother China Current Boyfriend USA Ex s Italy Iran Spain Crush INDIA,0.0,Neutral
Razak Qadri 92 year oldest patient from Gujarat recovered from Corona He told Mental strength amp love for poem help me to defeat Covid19 Think Positive Stay Negative High Hopes,0.09745454545454546,Positive
Hello Anand Mahindra ji while the India is lauding you for your wonderful contribution for fighting Corona I laud you for creating the wonderful machine KUV100 I feel proud that I chose a Mahindra Indian product over it s foreign counterparts at Rudraprayag Tower Ramdevnagar Satellite,0.66875,Positive
On her 7th birthday my daughter took oath to defeat CORONA Thanks AMC and Ahmedabad Police for awareness that every child is determine to fight against Corona Stay Blessed Vanshika Mishra at South Bopal,0.2,Positive
our time is limitededition but not the hope keep praying seeking blessing drstutibajaj stuti positivevibes positivequotes corona go out happy life start afresh fresh morning Regards Dr,0.55,Positive
Look forward to an extension of corrective actions to war against Corona at Bopal circle,0.0,Neutral
During its lockdown frontline workers are still going out every day to win corona fight Thank you stayhome staysafe stayhealthy police safaikaramcharis doctor Nurses Media Socialworkers humanity letsfightscorona respect,0.8,Positive
The scene orchidharmony today The corona has locked us indoors My ever vibrant society appears like a deserted island Or we can say here live most self disciplined citizens Whatever may be the conclusion,0.2676767676767677,Positive
very good work done by AMC and team during this corona virus attack Thanks,0.5549999999999999,Positive
Chocolate Ice Cream Homemade ChocolateIceCream BlueCoco LockDown Quarantine Corona Covid19 CoronaVirus,0.0,Neutral
I request not to make jokes wrt corona World amp India is facing severe challenges ma am COVID19india,0.0,Neutral
Welcoming Mr Ravi after getting cured from Corona in Vraj Home Shela fightagainstcorona FightCovid19 spreadpositivity Coronafighters,0.0,Neutral
When the world is suffering COVID MR RAVI KHETAN who bravely fought amp fearlessly survived the battle against corona have came back home today Coronafighters janak,0.4,Positive
5 S rule to defeat corona virus 1 S Social distancing 2 S Safety PPE 3 S Sanitization 4 S Self isolation 5 S Self discipline pls follow 5 S in COVID2019 IndiaFightsCorona,0.03333333333333333,Positive
You can t take any action to those who had sent CORONA to your Country But you will take action if India will not supply medicine Great Mr President You shown the world what a great friend you are Selfish,0.26,Positive
HOW TO PROTECT YOURSELF FROM CORONA TYPE VIRUS Please stay safe from COVID 19 please read this message careful kindly take clean Ginger amp break in small part then cut in fine slice amp chyme 3 time a day this,0.2555555555555556,Positive
Gujarat Govt leading the fight against Corona using Drone for sprinkling disinfectant,0.0,Neutral
World Health Day worldhealthday health healthday respectmedicalteam stayhealthy stayhome stayathome corona indialockdown indiafightagainstcorona covid 19 covid19 nocorona fightagainstcorona,0.0,Neutral
Do you know those who practices hindu way of life Rigorously never get infected by corona by doing yoga and taking light herb included vegetarian food increase the body immunity data not a single Hindu Saint is infected by COVID2019,0.21785714285714286,Positive
9pmbaje 9minute was successfully done all over the country We all are together in this fight against Corona Thanks ji Jay Hind Vande Matram 9baje9minute at Ahmedabad 15,0.475,Positive
Lockdown should be extended till this month end sir For better grip on Corona spread,0.5,Positive
my 6yr old daughter has one message for corona GoCorona 9baje9mintues,0.1,Positive
Respected P M we all are with you for fight against corona virus Coronafighters at Bopal circle,0.0,Neutral
Seems like 9 minutes finished early today Atmosphere surrounding were full of enthusiasm electric Vande Mataram Bharat Maata Ki Jay also some kids shouting Go Corona Go everyone is listening to ModiJi that s it at Orchid Whitefields,0.22499999999999998,Positive
ji we are with u to fight against Corona at Eklavya Sports Academy,0.0,Neutral
My 89 years old grandfather lighting a lamp We are truly hoping for a quick recovery of all who re suffering from corona virus across the world 9PM9minute gocoronago CoronaWarriors StaySafeAtHome,0.21666666666666667,Positive
As soon as Congress came to knowledge that every 3rd Corona patient is from TablighiJamaat they want compensation CongressFightsForCorona CongressFightsForTablighi at Ahmedabad Haat,0.0,Neutral
As soon as Congress came to knowledge that every 3rd Corona patient is from TablighiJamaat they want compensation at Ahmedabad Haat,0.0,Neutral
stayhomestaysafe stayhome 5th April 2k20 M Show Lights For 9 Minutes From Your House And Make One Nations Against corona COVID 19 coronafighters Be Alert Humble Request Those of you who plan to,-0.2,Negative
Thank you for precautionary sanitisation of our society Great service and dedication in fight for corona AmdavadFightsCorona at Green Blossom,0.30000000000000004,Positive
DUE TO COVID 19 CORONA VIRUS Total lockdown INDIA for 21 days all of a sudden with announcement 8pm 21st March of our Prime Minister All institutions college s schools private offices public transport railways,-0.020833333333333332,Negative
Double salary should be given to all medical and supportive staff working in hospital treating corona patients as a mark of respect and motivation,0.16666666666666666,Positive
Ok sir we will do it We all pray to god corona As soon as leave our country,0.5,Positive
Kill Corona With these Money World Bank to provide 1 billion worth of emergency financing support to India,0.3,Positive
I Have candle and to burn for killing Corona,0.0,Neutral
Black Velvet Cake with Ruby Chocolate Brigadeiro Happy Birthday to me BlackVelvet BlackVelvetCake RubyChocolate Brigadeiro BlueCoco HomemadeCake BirthdaySpecial BirthdayCake Handcrafted Gifts Quarantine Corona Covid19 CoronaVirus LockDown Lockdown21,0.3166666666666667,Positive
Request not to mix Politics with Crises Management Services Sequencing the Ward Area for Senetizing shall be based on Corona suspect Cases therein Not by assending decending numerical value OR Anyones personal thinking OR area dirtyness Sabko Sanmati De Bhagwan at Bopal circle,0.0,Neutral
You kindly stop these nonsense tweets Let our Govt and health workers focus on how to stop spreading of Corona Virus You have started behaving like a virus Please tweet some positive,0.41363636363636364,Positive
