Tweets,Polarity,Sentiments
Corona twerking has become so poweful that everybody thought it was an earthquake The talent earthquake,0.0,Neutral
Ohh motee lockdown khol Lockdown 5 ki ku soch ra Glti govt Ki bhugat saara desh rha h yhi agr feb starting m hi int Flights rok di hoti to india corona free hota ab tk jaise new zealand hogya h BJP SARKAR CORRUPT SARKAR NOLOCKDOWNFURTHER,0.009090909090909094,Positive
Rest of the world What is happening we are suffering from pandemic like corona having locust attacks earthquakes cyclon etc Indian moms Ye sab is phone ki galti he aag laga de isse sab theek ho jayega,0.0,Neutral
Rest of the world What is happening we are suffering from pandemic like corona having locust attacks earthquakes typhoons etc Indian moms Ye sab is phone ki galti he aag laga de isse sab theek ho jayega,0.0,Neutral
corona Update 29 May 2020,0.0,Neutral
That s all hard work I pray that we all will win against corona,0.25416666666666665,Positive
Earthquake tremors felt in Haryana Delhi NCR Corona China pak India tensions Cyclone aur ab Earthquake Ye to too much ho rha hai,0.2,Positive
That s a great news Wish government of Maharashtra success in fight against Corona,0.55,Positive
Touche moment for Corona 2020 RIP,0.0,Neutral
I pray to ji that people are facing many problems due to the Corona information running earlier on calling someone please get it closed,0.06875,Positive
Congress should hand over national herald property to govt for corona epidemic,0.0,Neutral
He even predicted that Corona is spread by pharma industry so that once it reaches masses they ll earn profit out of it by selling it s vaccines,0.0,Neutral
India should be free from these Corona Spitters,0.4,Positive
Wanna live a healthy wealthy life Stay away from Corona Spitters,0.37878787878787873,Positive
WE ALL MUST LEARN FROM CORONA HOW FAIR IT IS IN DEALING WITH EVERYONE ANY COUNTRY ANY CLASS ANY RELIGION ANY CASTE ANY CREED ANY GENDER NO RESERVATION APPLIES NO POLICY DIFFERENCES OR FAVORITISM INDIAN POLITICIANS MUST LEARN FROM CORONA,0.7,Positive
Sir Indian Government BJP does doing the same think what Mr Wanchu said to divert the Citizens from critical crisis due to Corona Virus Labourers Problem Small scale industries etc shouting about Pak China tense situation,-0.14166666666666666,Negative
IN AMERICA RACISM IS THERE IN INDIA CASTE ISM IS THERE MORE DANGEROUS THAN CORONA NO VACCINE HAS BEEN FIND OUT DUE TO DIRTY POLITICS OF GREEDY POLITICIANS ROSE HAND BROOM ELEPHANT CYCLE WHO SO EVER IT IS,-0.045,Negative
MAKING ANNOUNCEMENT ALWAYS AT 8 00 PM MAY NOT BE RIGHT NEED TO UNDERSTAND DIFFERENCE BETWEEN DEMONETIZATION AND OTHER EMERGENCIES AS CORONA IS ALREADY THERE BUT DUE TO SUDDEN STOPPAGE OF EVERYTHING CAUSED PANIC TO CITIZENS SPECIALLY POOR MIGRANT WORKERS,-0.07285714285714287,Negative
Breaking Bizarre incident in Meerut Monkeys run away with Corona test samples locals fear the spread of infection Details by TIMES NOW s Amir Haque,0.4,Positive
ISLAM s Corona Timeline 2020 January Allah s punishment for Chinese atheists eating haram February Allah s warning to kafirs March Allah testing Muslims April US and Israel conspiracy May Bill Gates conspiracy to instal chips in humans,0.0,Neutral
Help others to help yourself Watch India coming together to fight CORONA Watch safety tips TiktokBhagao RoposoApnao,0.0,Neutral
First 200 cases in 2 months 60 days and next 200 in just 11 days Now Corona is in top gear in Guru gram,0.25,Positive
God Morning Wednesday True God is kabir Must read gyan ganga Sant Rampal Ji Maharaj Satsang is according to the Vedas and purans and other spiritual books Must watch sadhna TV 7 30pm Escape us from Corona epidemic disease Escape us from Cancer,0.075,Positive
In this corona time we need more support kindly help me immediate for repairing of mobile else replace phone it is warranty Feb 2020 purchase refer image for call number update me at Karnal,0.55,Positive
SocialDistanacing coronavirus We all need to be super cautious before we step out of our house relaxations are only by the Government not by Corona Virus Chandigarh,0.16666666666666666,Positive
Friends Pls make a note Relaxation in lockdown is given by the government and not by the CORONA,0.0,Neutral
Corona didn t Break the system Corona Exposed a broken system 1947to2020 coronavirus,-0.4,Negative
Corona didn t Break the system Corona Exposed a broken system coronavirus,-0.4,Negative
Me 2015 I want someone who ll look at me the same way I look at Chocolate Cake Me 2020 I want someone who ll tell me Corona has no more Mate Me 2025 I want someone who ll take my kids out of the gate Me 2030 I want someone who ll say No No it s not too late,-0.18333333333333335,Negative
HelpfulTipsToBeatCorona By using all these things we can increase our immunity power and fight against the great plague like Corona,0.8,Positive
HelpfulTipsToBeatCorona Saint Dr Singh ji insan gives corona prevention tips He says consume vitamin C rich foods like lemon orange mausami Linnie Gooseberry or amla juice It s beneficial for immune system,0.375,Positive
HelpfulTipsToBeatCorona To fight the corona we need to increase our immunity so we should take protein rich food like soy gram pistachio and milk and curd cheese,0.375,Positive
