Tweets,Polarity,Sentiments
In fight against Corona All front line warriors deserve appreciation Especially Medical warriors Police warriors Govt organisations NGOs May Allah keep you all safe My salute to Mattu CoronaWarriors,0.25,Positive
Complete data of the registered volunteers for Prime Minister s Corona Relief Tigers Force has been recieved by the DCs of the respective Districts The registered volunteers will be called on by the District commettie when required for assistance CoronaReliefTigerForce,0.05,Positive
Once this corona is over I am taking a trip to iran with you,0.0,Neutral
I think then You Might be dead not by Corona but by loss of breath,-0.2,Negative
UK has reported massive Corona related deaths today,0.0,Neutral
Countries who didn t lock down their Corona figures are not bad and their economy is intact that is called leadership,0.09722222222222217,Positive
Mam good point But In Pakistan Human beings are unable to afford food especially in Corona pandemic firstly we should take care of those people who are striving for survival in lieu of animals Then animals rights should be ensured,0.09,Positive
Ask passengers to get Corona test amp certificate before travelling amp don t hold them after arrival in Pakistan,0.0,Neutral
Craving all these Dear corona Please go away We had enough of you,0.0,Neutral
Glad to share Punjab CM capt Amrinder Singh had approved appointment of paras son of corona warriors ACP anil kohli as sub inspector on completion of his graduation Punjab Police always stand with its corkna warriors Jia Hind pankaj,0.5,Positive
New Zealand is announced Corona Free Best of Luck,0.5121212121212121,Positive
The corona outbreak Iranians vs Americans behaviour ir iran imamkhamenei irgc hezbollah usterrorists wildwest USA trumponavirus COVID19 coronavirus westernculture westerncivilization,0.0,Neutral
Doctors working with Corona patients get double pay,0.0,Neutral
I think they have brought another strain of Corona virus Or a vaccine What do you think,0.0,Neutral
Yes welcome but no Corona please idr bohat Mila ga,0.8,Positive
GIVE YOUR SUPPORT Check regularly with your family and friends during the Corona Virus pandemic They may need your support in meeting basic needs to recover quickly Pakistan,0.1111111111111111,Positive
More stress on blame game to pin point Who s culprit for Corona spread in Pb initially Baldev Singh Pathlawa who returned from Italy den Tablighi Jamaat nw pilgrims from Nanded Sahib songs made 2 defame Baldev Singh Tablighi Jamaat came for sharp criticism nw pilgrims corona,-0.0062500000000000056,Negative
