Tweets,Polarity,Sentiments
Tablighi who spreads corona in India calls himself Corona Warriors Amazing Tablighi is insulting millions of Coronavarires instead of being ashamed of their crimes It is called theft and seizing Mukhtar abbas naqwi,-0.19999999999999996,Negative
Tablighi who spreads corona in India calls himself Corona Warriors Amazing Tablighi is insulting millions of Coronavarires instead of being ashamed of their crimes It is called theft and seizing Mukhtar abbas naqwi IndiaFightsCorona,-0.19999999999999996,Negative
Doctors in PGI Chandigarh inculated 4 corona patients with 0 3ml vaccine prepared by them and the trial was successful m so happy indian doctor Best latest vaccine co 19,0.7625,Positive
Due to the wrong policies of the Government of Jharkhand today the figure of Corona positive in our state is continuously increasing There is a lapse somewhere that the Jharkhand government needs to understand bjp,-0.13257575757575757,Negative
Please click on link corona jharkhandi song,0.0,Neutral
Here are the 10 slightly different deadly sins that you will surely know from your Corona home office in recent weeks But honestly and among us who cares bored workingfromhome EssentialWorkers 100DaysOfCode 100DaysOfMLCode HR Job via,0.06666666666666665,Positive
When people are hugging hand shaking in lockdown Corona virus,0.0,Neutral
sir as we are facing the crisis of covid 19 Please do not open the lockdown till may end If lockdown is open amp increas the corona cases we can t handle the situation better because our health care facilities is not much better as compared to other states,0.025,Positive
It s not fair I think China is not seriously sensitive about the Pendamic Corona Covid 19 Why,-0.19999999999999998,Negative
Yeah i did the Math It s Approximately Correct So Stay Home Stay Safe amp Save Lives CoronavirusLockdown corona CoronavirusOutbreak quarantinecruise QuaratineLife,0.04999999999999999,Positive
Ramzan Mubarak to all Muslim Ya allha show your Mercy upon us this Ramadan and save to all the humanity from this Corona virus Ameen ramadankareem,0.0,Neutral
Condition of 2 countries will be pathetic after corona 1st is Pakistan and 2nd will be China Trust me and result will be coming at the beginning of year2021 CoronaPandemic COVID19,-0.5,Negative
please note that in this corona epidemic these women are spreading hatred by referring corona patient as communal angle Please take relevant action against him,0.25,Positive
Watch corona virus awareness video on my youtube channel Subscribe the channel drop a like and comment on the video and share it,0.0,Neutral
I m confused with AarogyaSetuApp There are 2 figures for Jharkhand corona Which figure is showing correct information IndiaFightsCoronavirus StayHomeStaySafe,-0.4,Negative
I called the Corona Control Room in the state of Jhar and got my complaint registered Complaint number is DF amp CA 88989 soon it was assured to be resolved but not yet taken into consideration Plz take the matter in quick cognizance and get a ground investigation,-0.08888888888888889,Negative
You are 100 right Gopal Babu Yes there no one is take serius steps against spreading of corona It is not suitable for me i e Mamata Banarjee is still ignoring all guiding amp awareness points of our PM of India,0.005357142857142838,Positive
For Give awarenessofcoronavirus towards my Society as well as ENCOURAGEMENT Our Corona Warriors Go And watch Short Documentary Film Corona Warriors Of Mahagama If u feel Good So Plz Do Comment For Encourage Also,0.2333333333333333,Positive
India Block amp District Administration Collaborative efforts for Stranded labour who stuck outside the state We will together work and defeat corona JAS,0.0,Neutral
Salute to corona warriors Thanks to all,0.2,Positive
You are Corona Warrior You will easily win this battle I m sure that you will rise amp shine again soon Toriseagain Toshineagain,0.65,Positive
Only one way to stop corona kill those people who infected corona whole society,0.1,Positive
We are the followers of birsa munda and we follow him and follow his ideas we are always fighting against all injustice and state oppression Because we have the birsa munda blood and I m sure we will defeat the virus like corona TribalsFightCorona,0.5,Positive
Are people from the village too safe to outperform corona Now at the time of an epidemic meat eating is the tradition Johar TribalsFightCorona,0.5,Positive
The tribal communities are poor and uneducated but even today the greatest knowledge of the science of medicine is the tribals who are capable of hearing the corona even when we are hungry TribalsFightCorona,0.26666666666666666,Positive
Now the world is looking towards our PM Sri Narendra Modi of his actions and further action to prevent citizens from Corona,0.05,Positive
India should start immediate research about MICROVITUM to stop the bad effects like corona virus MICROVITUM is a new theory so it needs Govt should start research about it,-0.28181818181818175,Negative
Rich or poor everyone is left standing in one turn Corona IndiaFightCorona Social Distancing,0.0020833333333333277,Positive
Wat has happened to our goverment Why don t they Ban Tabligi Jamat organization Why is MHA waiting for harsh action In jharkhand 100 cases of corona hv been found in them If we go in 3rd stage god knows what will happen Act before it s too late,-0.1,Negative
Wat has happened to our goverment Why don t they Ban Tabligi Jamat organization Why is MHA waiting for harsh action In jharkhand 100 cases of corona hv been found in them If we go in 3rd stage god knows what will happen Act before it s too late,-0.1,Negative
Lets get United for fight against CORONA COVID 19 DAVPUBLICSOCHOOL ONEINDIA StayHome StayHomeSaveLives Prouddavin muskurayegaindia,0.0,Neutral
15 Please understand seriously If you stay healthy we will be healthy and if we stay healthy the country will be healthy StayHome Corona COVID19 StayHomeStaySafe coronavirus IndiaFightsCorona COVID,0.33333333333333337,Positive
8 The truth is bitter but true Believe it or not TruthBeTold NoRentForStudents Covid 19 Zoom Corona StayAtHome LockdownSA,0.12499999999999999,Positive
Corona is not just a virus it is a lesson loud and clear Better we understand Wildlife Forest Animals,0.2333333333333333,Positive
Corona Se Darona A musical message from Saibaa amp Saisha Gupta Have a look at the video StayAtHome WearFaceCoverStaySafe WashYourHands Panaji India India,0.0,Neutral
He is perfectly right Identification and treatment of Corona suspects is the only solution that will last,0.09523809523809523,Positive
Smile in this lockdown period Stay positive but not in corona test jai shree ram,0.2636363636363636,Positive
Thank you doctors nurses medical personnel s and every corona warriors HumeGarvHai,0.0,Neutral
All the details of the corona virus are given in the 12th grade book and its medicine has also been mentioned by the same scientist but why no one is paying attention to it it is beyond comprehension to pursue it so that it can be taken care of,0.0,Neutral
Mam you have the vision and strong will Go ahead with ur tram and defeat Corona Salute to all CoronaWarriorsIndia jharkhand,0.4333333333333333,Positive
Respected As number of CORONA virus patients are increasing day by day in our jharkhand we should also make MASKS COMPULSORY for people getting out of their HOME This will help counter fight the pandemic,0.0,Neutral
We will win Corona will be losers It is impossible not to win against India corona coronavirous StayAtHome StayHomeStaySafe,0.18333333333333338,Positive
New day new blessing Don t let yesterday s failures ruin the beauty of today because each day has its own promise of love joy forgiveness Corona Coronavirus StayAtHomeSaveLives StayHomeStaySafe StayHome COVID2019 COVID19 TrumpGenocide OneDirectionReunion KillingEve,0.43454545454545457,Positive
A Poetry Written by me And sing By me On YouTube Subscribe A Poetry By Me On Corona For Corona Fighters ZeeJankariOnCorona IndiaFightCorona WorldLovesModi,0.0,Neutral
Di Please read This poetry On Aaj Tak news please A Poetry Written by me And sing By me On YouTube Subscribe A Poetry By Me On Corona For Corona Fighters,0.0,Neutral
Grt Program Big Brother ji Salute You And Grt Singer Nigam Bhaiya Salute you Go Corona Go,0.0,Neutral
Will IRDA MAKE RULES FOR BIMAA AGENT THOSE WHO ARE WORK LESS DUE TO CORONA VIRUSES BECAUSE NO ANY INSURANCE COMPANY HELP THEIR AGENT I BELONG TO SBI LIFE COMPANY,-0.14583333333333331,Negative
The corona virus first spread to the city of Wuhan in China Later China claimed it came to humans from the market of wild animals It then turns out that the virus is found in bats so it may have moved from bats to humans Then serious questions began to arise in a Chinese lab,0.0033333333333333327,Positive
No one should sleep hungry let s make sure of it Call our number 9304517028 if you re hungry or you know someone is hungry We ll make sure they get the food indiafightscorona indiaagainstcorona helpincorona helpinlockdown foodforpoor covid 19 helpeachother corona,0.5,Positive
Ramgarh sir please do something no one is serious about the Noble Corona virus at Ramgarh cantt,0.13333333333333333,Positive
Be a kid Be a learner Here is A to Z of how to avoid the spread of Corona There is only way out to avoid CORONA Learn to Avoid RanchiFightsCorona,0.0,Neutral
Corona Negative Palamau Positive If Everyone follow lockdown seriously,-0.13535353535353534,Negative
Anti Hindu pro Chinese so talking bout hunger not about corona a bunch of crook journalists hope most of reporters r from Community ban BBC in South Asia China has been bought Tablighi so have you,0.25,Positive
What will you do for Chaina Who is the responsible of Covid19 Chaina spreading virus in world Why are china not helping for world when they won corona war in vuhan They are gambler world s Biggest criminal China China,-0.1,Negative
2016 Single 2017 Single 2018 Single 2019 Single 2020 Single Corona Virus,-0.07142857142857142,Negative
Why only Muslims Two Hindu doctors died Muslim did not donate any money Don t target Hindu or else corona will kill you,0.0,Neutral
Have to be patient in this Corona break as it s a worldwide pandemic This break had to be utilized in as perfect manner as we could Govt is doing as much as it can which needs our support 21daysLockdownIndia 2019nCoV COVID2019india pandemic,0.6,Positive
BestCMOfTheWorld BestCMOfTheWorld Best Handling the State Batter in Corona epide mics Yogi Adityanath,1.0,Positive
What is corona virus,0.0,Neutral
has earned a lot of money from me and also gave me a lot but today donate it in corona fund ShameOnDream11,0.0,Neutral
Lockdown India fight corona,0.0,Neutral
Bokaro civil surgeon Mr ASHOK KUMAR PATHAK provide detail information about corona patients,0.0,Neutral
Okay good initiative by HP govt against corona,0.6,Positive
Dear Sir Your demand is genuine but don t depend on the Central Govt You are doing well to fight against Corona People of Jharkhand are with you Try to fulfil all requiremets by using state resources,0.2,Positive
CORONA VIRUS GO BACK at Ramgarh cantt,0.0,Neutral
STABILITY OF NOVEL CORONA VIRUS,0.0,Neutral
Don t spread fake message had told stoping breathe can not decide wheather you are corona ve or not it can create panic among commoners Hazaribag,-0.5,Negative
Corona will engulf illminded people,0.0,Neutral
Corona will not kill Hindu as u think head CAA is behind it and finally you will get its real results,-0.06666666666666667,Negative
Threatening at such times is not good for Trump s health President Trump should work to find out how millions of people in America suffer from Corona,-0.175,Negative
Really a matter of salute to the Corona fighter,0.2,Positive
Zee News is more dangerous than the corona virus killing many innocent people It is not a news channel it is a fire fighting factory in the country,0.225,Positive
There is a big conspiracy in Corona How can Chinese be safe and European be unsafe,0.125,Positive
Problem is this lot of idiots are running our government and yeah we are praising and teaching ignorance apathy Just scroll above Abhishek is saying it s okay to share news without basic understanding We ve just celebrated corona yesterday We need help Bigtime,0.009999999999999986,Positive
Celebrating Mahavir Jayanti at my house with lighting the diya Pooja Archana May God bless his shower amongst the pupils to overcome from the Corona With his advise to follow LET amp LET LIVE,0.13636363636363635,Positive
1 This year diwali celebrated 2 times 2 Today s Corona s Baraat Visiting Bhakts Home,0.35,Positive
on this day I will very happy to see that all the Indians would light a lamp together and show their solidarity Today all of them showed that we will definitely win the battle with corona We are proud of a good Prime Minister like Modi ji and also we are proud to be an Indian,0.75,Positive
Great initiative fight with corona,0.8,Positive
Vande Mataram jai hind We all countrymen are with u sir fight corona,0.0,Neutral
Stand fight corona Stay at home,0.0,Neutral
Is by lighting lamps Diya etc Will corona virus dead Is this lighting diya torch mobile flash is vaccine of Corona virus,-0.2,Negative
A great leader make a great nation America Spain and Itali are considered advance country but death of corona has unsealed their advancement,0.8,Positive
Congratulations India developed the vaccine of Corona virus And that is close the light whole light of your home at 9pm and then light the Diya torch mobile flash light for the 9 minutes by standing at balcony of your house or on main gate,0.2952380952380952,Positive
Corona virus will dead soon inshallah,-0.2,Negative
ji What will happen after doing this lighting lamps diya torch mobile flash Is corona will dead Is lighting lamps etc is the vaccine,-0.2,Negative
What will happen after doing this lighting lamps diya torch mobile flash Is corona will dead,-0.2,Negative
All muslim brothers are requested to offer the namaz of juhar instead of Jumma Namaz at your own home We all have to fight with this novel corona virus And surely we will win HemantSoren StayHomeIndia 21daylockdown,0.6333333333333334,Positive
This is not time to purchase Phone as we are struggling Corona Virus epidemic,0.0,Neutral
Should China pay compensation for unleashing COVID19 on the world 21daylockdown ChineseVirus19 ChinaLiedPeopleDied ChineseBioterrorism ChineseVirusCorona ChineseWuhanVirus CoronavirusOutbreakindia COVID19Pandemic Coronafighters Corona CoronaJihaad,0.0,Neutral
Just beware of cheap media MediaVirus is more dangerous than corona Because corona damages lungs but media changes the idiology of our society,0.10000000000000002,Positive
I want to complain you about our police Sir Police is not stopping corona they are showing their powers Please sir,0.0,Neutral
A Muslim lady has rightly said corona has come from N,0.2857142857142857,Positive
What type of corona is this mediavirus MediaLies,0.0,Neutral
India proudly crosses 1600 Corona patients Courtsey ignorant and rigid citizens corona,0.8,Positive
Today being 1st April whoever cracks a joke on or related to corona will be blocked or deleted from my contact friendlist Sincere apologies in advance,0.25,Positive
Donate amount to PM cares fund please Overall you are ex CM amp SP candidate for 2022 Leave politcs help the citizens to fight against Corona epidemic,0.0,Neutral
there are many citizens who are trying to fail India while 90 are with you in fight against Corona we think that military and army should be deployed as now critical phase has started,-0.025,Negative
there are many citizens who are trying to fail India while 90 are with you in fight against Corona we think that military and army should be deployed as now critical phase has started,-0.025,Negative
First week as SDMRamgarh Setting vegetable markets in order meeting with Stakeholders Visits to check posts Quarantine centres Covid Hospital Ramgarh at Ramgarh,0.25,Positive
Terrorist Zakir Naik have a terror connection with zafarul Islam Khan who comes under Delhi government Lastly this terrorist peddler has wrote a letter to Arvind kejriwal to threaten for not to take tabligi jamati name the criminals behind COVID 19 spread ArrestZafrul,-0.2,Negative
Vaccines against COVID 2019 have not yet been discovered and still under efforts Resulting that Positive detected Peoples are under the zone of danger It is my opinion that Ayurveda Vaccines containing liquid of NEEM and BITTER GOURD can be formulated to save the LIFE,0.06363636363636363,Positive
The Possibility of Proper Utilization of Technology such as Robotics Artificial intelligence and Telemedicine sector Covid 19 Pandamic can be Defeated soon,-0.19999999999999998,Negative
