Tweets,Polarity,Sentiments
Hike more Worry Less sachin 0 0 nived jayaraj akhil raj 97 corona quarantine tb friends travel photooftheday instagood love fashionblogger happytime,0.2777777777777778,Positive
Its called social responsibility and shows how indians integrate to fight against corona pandemic,0.03333333333333333,Positive
Dander stay at home stay alive corona spreading like wild fire Live count CoronaVirus Covid19 Covid 19 StayAtHomeSaveLives COVIDIOTS CoronavirusLockdown StayHome StayHomeStaySafe PhysicalDistancing SocialDistancing Lockdown,0.11212121212121212,Positive
happy movement Happy ugadi celebration in home plz stay in home Control the corona,0.8,Positive
It s not the anyay of Corona it s the anyay of Bharathiya Jantha Party,0.0,Neutral
Forget about others Take care of your near and dear ones Latest count Covid Corona Covid 19 CoronaVirus GoCorona SelfDistancing SocialIsolation StaySane SelfQuarantine SocialDistancing2020 Quarantined CoronaVirusQuarantine,0.3,Positive
I AM STARTS WITH YOGA AND EXERCISES AS A DAILY ROUTINE AND U HEALTH IS EVERYTHING STAY TUNED TO ELIMINATE CORONA PANDEMIC,0.0,Neutral
Now that we must follow social distancing to avoid the spreading of Corona we must still not miss the sunrise and sunsets from our windows This too shall pass hold strong follow WHO governments and doctors And,0.2333333333333333,Positive
Work from Home due to corona effect CoronaVirusUpdate coronavirus COVID WorkFromHome unifyder marketresearch Online REALITY,-0.125,Negative
Wash your hands Avoid crowded places whenever possible Stay at home if you feel unwell Don t believe every WhatsApp forward Check for updates Don t panic Wash your hands CoronaOutbreak Corona,0.0,Neutral
They have anti corona power sir,0.0,Neutral
COVID19india coronavirusinindia Dear Friends corona virus has already knocked the doors of India If there is a pandemic broken out because of the poor sanitary practices and population density our country will suffer heavily 1 h,-0.3333333333333333,Negative
calls a stupid president Bold and true statement Covid 19india COVID19outbreak DonaldTrumpIsKillingAmericans TrumpRecession Coronaindia,-0.03888888888888888,Negative
God save our earth from this scourge CoronaVirus Covid19 Covid 19 StayAtHomeSaveLives COVIDIOTS CoronavirusLockdown StayHome StayHomeStaySafe PhysicalDistancing SocialDistancing Lockdown,0.0,Neutral
Stay at home stay alive Today s live count CoronaVirus Covid19 Covid 19 StayAtHomeSaveLives COVIDIOTS CoronavirusLockdown StayHome StayHomeStaySafe PhysicalDistancing SocialDistancing Lockdown,0.11818181818181818,Positive
USA surpasses China in No of cases CoronaVirus Covid19 Covid 19 StayAtHomeSaveLives COVIDIOTS CoronavirusLockdown StayHome StayHomeStaySafe PhysicalDistancing SocialDistancing Lockdown,0.0,Neutral
Stay alive be aware be cautious be safe Live count CoronaVirus Covid19 Covid 19 StayAtHomeSaveLives COVIDIOTS CoronavirusLockdown StayHome StayHomeStaySafe PhysicalDistancing SocialDistancing Lockdown,0.24659090909090908,Positive
Today morning count Be aware be cautious be safe Danger Danger Danger CoronaVirus Covid19 Covid 19 StayAtHomeSaveLives COVIDIOTS CoronavirusLockdown StayHome StayHomeStaySafe PhysicalDistancing SocialDistancing Lockdown,0.375,Positive
Today s count CoronaVirus Covid19 Covid 19 StayAtHomeSaveLives COVIDIOTS CoronavirusLockdown HantaVirus StayHome StayHomeStaySafe PhysicalDistancing SocialDistancing Lockdown Curfew,0.0,Neutral
People of India feel COVID 19 is as simple as Modi,0.0,Neutral
UNITE AND FIGHT AGAINST COVID 19,0.0,Neutral
EVERY INDIAN WANTS TO FIGHT AGAINST COVID 19 WE ARE WITH U MODIJI,0.2,Positive
Covid19 C China O Originated V Virus I In D December 19 2019 ChineseVirus,0.0,Neutral
StayHomeIndia IMStayingHome I M Staying At Home COVID19India COVID19,0.0,Neutral
We re all in this together Coming 21days would be the most important days for the country to cure this deadly virus Everyone stay home stay safe lockdownindia COVID19 StayHomeIndia StayAtHomeSaveLives COVIDIDIOTS IndiaFightsCorona,0.3,Positive
Pranayama with Yoga best to keep away any respiratory related ailment By doing Yoga and Pranayama regularly your respiratory system gets strong coronavirus COVID19 CoronavirusOutbreak coronavirusindia,0.35833333333333334,Positive
