Tweets,Polarity,Sentiments
Corona cowswami Worst virus in present world Paid agent of nagpur masters ArnabGoswami,-0.5,Negative
A rare phinomina Hope Corona will get well soon,0.3,Positive
The world is a better place from here Corona kerala MalluGuy Corona KeralTourism at Kolukkumalai Sunrise View Point,0.5,Positive
They are the founders or Corona board members they should be excluded,0.0,Neutral
He will say that he knows Corona than any one else,0.0,Neutral
He will say no one knows Corona than I do,0.0,Neutral
journeyoflife to homesweethome Oh dear Corona Go go corona International Airport,0.0,Neutral
We have got as our webinar s spokesperson getting information on the education scenario after Corona crisis It was really like practising future experience helped all the participants to adapt to the new changes Thank you all wishill com education,0.11212121212121212,Positive
Congun A Keychain tool to keep your hand safe from CORONA VIRUS Video link,0.5,Positive
Repatriation flights Air India from London Heathrow and Qatar Airways from Doha on covid 19 duty Spotted at Cochin International Airport Rohit Ramachandran corona covid coronavirus airindia boeing,0.0,Neutral
A hundred years kerala corona medical,0.0,Neutral
You need to do a program like Election on my plate it can be like corona on my plate It will help you to understand the ground reality of the top South Indian states,0.5,Positive
Corona virus is not breaking any systems The broken systems are exposed by it,-0.4,Negative
Is it due to the over projection of our Corona management One Johny had the temerity to say that till the country is free of this Pinarayi should be the PM Another hack said that the whole country wants Pinarayi as PM,0.16875,Positive
Pre emptive strike by TN Chief minister EPS had asked for Rs one lakh crore to revive India in post corona phase But PM releases 20 lakh crore to the economy,0.0,Neutral
It was predicted that Corona in India will see a spike in May That is exactly what is happening Will not be surprised if a third wave hits Kerala starting today While we should not be depressed seeing positive cases it is important to focus on minimising deaths,0.16287878787878787,Positive
But Sir it is a wise move the govt may gain 1 5 lak cr from it This would come handy in corona exp and also infusing addl doze of support for economy without foolishly printing more currency like bolivia The street vendor wont reduce his price ever,0.6,Positive
My elder nephew sings the Go Corona Go song while washing his hands,0.0,Neutral
The Meaningless Arguments The sky turns black as I argue that the color of the sky is blue and you say grey and we smile at each other nature wizards nature quarantine corona,-0.09027777777777779,Negative
Lockdown and silence of the town COVID19 Days Corona Days,0.0,Neutral
Same to corona many leaders and media cheating also many big medical authoritarian members including public life cheating population less than thinking medicine cheating which punishment give the justice where Punishment give to socially in social justice,0.10833333333333334,Positive
Poor s migrant daily wages ones shoppers business peopls are many lose came to India Indian poor and labours life hungry making to India which ones is issue corona who lockdown order making to India modi or modi government or state governments so paid to this ones,-0.07500000000000001,Negative
Indian authorities in the North force a foreigner to have a Corona virus test without his consent The xenophobia is real IndiaFightsCoronavirus India Covid19India,0.2,Positive
Let us thank the lord for the improvement we make incontroling the corona spread at Margin free Super Market,0.3666666666666667,Positive
Navel base Kochi give salute to all Corona warriors City Kerala,-0.8,Negative
It is a strange coincidence that today the USAF carried out a fly past over DC to honour Corona warriors Tomorrow IAF is undertaking a fly past from north to south and east to west There may not be any connect but seems surprising though,0.2916666666666667,Positive
Tomorrow helicopters from IAF Indian Air Force Indian Navy will fly over hospitals treating Corona patients in the cities and shower petals as a tribute to efforts and sacrifice of Corona warriors These aircraft will cover major towns starting Srinagar to Tvm News,0.28750000000000003,Positive
It s a notable Tribute Corona warriors a great thought of Armed forces,0.65,Positive
Google Adds New Tools to Help Businesses Call for Support and Promote Online Options During COVID 19 socialmedia,0.13636363636363635,Positive
Another covid death in Kerala Joshy 68 a native of Thiruvalla died in Kottayam medical college today morning He was highly diabetic and was in ventilator from 27th May TNIE,0.08,Positive
A clever initiative this would empower others provide you with solutions Exactly what UAE needs now solutions to the many challenges it s facing Hope it all turns out well UAE needs to do everything to contain Covid on a war footing That should be ur number one priority,0.3055555555555555,Positive
We can manage mr president china is not a big threat to india Please find the way to lesser the covid deaths in America rather than attributing your energy in to solving india china dispute,0.0,Neutral
How is covid 19 in WH,0.0,Neutral
Covid 19 last I heard,0.0,Neutral
Morning Exercising folks Afternoon Swiggy Zomato guys Evening Friends of all ages All before COVID 19 Morning Empty Afternoon A few delivery guys Evening Empty Presently One of the most enjoyable parks in Kochi Kerala at Panampilly Nagar Park,0.09999999999999999,Positive
From Mattupetty To Top Station It was a epic ride munnar mattupettydam nature time morning travel fitness fit covid 19 Top Station located around 32 km away from Munnar is the highest point 1700m in Munnar on the Munnar Kodaikkanal road,0.375,Positive
From Mattupetty To Top Station It was a epic ride munnar mattupettydam nature time morning travel fitness fit covid 19 Top Station located around 32 km away from Munnar is the highest point 1700m in,0.375,Positive
Migrants Plight Govt Apathy Covid 19 has made migrant workers plight state apathy visible,0.0,Neutral
6th covid death in Kerala Aiysha 62 native of Kannur died a while ago at Kozhikode medical college Six people in her family have already tested positive and the source is still unknown,0.04242424242424242,Positive
Thrissur temples Kerala Pooram is a famous festival here This year no celebration due to COVID 19 lockdown Taxi,0.1875,Positive
