Tweets,Polarity,Sentiments
Corona visited India also but he returned after knowing that people like Tahir Hussain amp Kapil mishra are already here,0.0,Neutral
GodMorningFriday Stop eating meat or else you will have to stop forcing like China stopped meat with the corona virus,0.0,Neutral
People living in masks it is shame It was CCP mistake and negligence that Chinese people and rest of World is suffering from Corona COVID 19 CoronavirusOutbreak,0.0,Neutral
He will catch corona virus in Thailand,0.0,Neutral
Corona virus to shock hai expect it don t damage much market mein ham jaise log to malum tha bcas modi don t have money,0.2,Positive
Corona virus effect And GDP is shrinking people expected now it s reality market trades 6 months forward imagine what s going to happen 6 months later,-0.05,Negative
A person rich or poor healthy or weak intelligent or dull religious or irreligious is an innocent infant rolling in the lap of nature Corona virus has proved this on this planet J H Bhatt Vadodara Gujarat state India,0.13854166666666667,Positive
Try Arsenic album homeopathy 5ml with water to doctord as antidote to Corona virus,0.0,Neutral
GodMorningMonday Science could not stop Australia s fire China is now unable to stop the corona virus Disaster can be averted only by spiritual knowledge,-0.16666666666666666,Negative
It s spreading like Corona Virus Delhi police must act before infection spreads to rest of the country Jafrabad ShaheenBaghProtest DelhiPolice,0.0,Neutral
Madam maulekhi that s the best comment and reply I ve ever seen perhaps these stupid politician could understand otherwise let them to die like in case of corona virus If we fail then nature will certainly teach them a right lesson like in case China s present crisis,0.03333333333333334,Positive
View and Counter View Episode 1 donaldtrump cricket corona india china ayodhya wednesdaywisdom,0.0,Neutral
Virus of fake secularism which is far more dangerous than Corona which has infected you and MSM likes of Barkha Ravish Pranaov will rejoice the day when Sanatan Dharm gets wiped off,-0.125,Negative
GeziyiSavunuyoruz coronavirus Spread love do not spread viruses and diseases Give up eating meat leave it for the taste of tongue You can protect yourself from government but not from God No Meat No Corona Virus China Watch Video,0.5,Positive
Exactly China must Worship and ask for forgiveness to God Corona And learn some GauLogy from VishwaGuru They are cursed for eating meat as Kerala was for supporting Beef eating hindurashtra superpower2020,0.25,Positive
Anti Corona Virus vaccinated efforts must be finding out immediately for escaping humanity and Chinese Civilization along with world s peoples,0.0,Neutral
Five drinks to know me Black Label Ballantine Corona Hoegarden Carlsberg,-0.16666666666666666,Negative
Alegarean society in Ruler India is comparatively more laborious then urban area citizens Stop chinese products as Corona virus emerged out on account of Food habits like pig eating dirty salages chinese to pig dogs kitten reptiles mouse,-0.019999999999999997,Negative
Not Corona It s Kuch Karona Virus,0.0,Neutral
We can conquer the corona virus with compassion antivirus Acharya Vidyasagar vegiterians,0.0,Neutral
Cleanest city indore is struggling with such unwanted pollutions for which no one is taking action about it since last 10 days Responsibles are waiting for new disease like corona MahajanLS Indore at Caf Terazza,0.05909090909090909,Positive
Corona Virus Just A Little Far From Us,-0.04375,Negative
Those who are fearing of death and COVID2019 This saint can save you from Corona He can give salvation of 101 Generation of yours He is messiah of the world His name is Sant Rampal Ji WorldSavior SaintRampalJi Must watch SadhnaTV at 7 30PM,0.0,Neutral
Wheather it is natural disaster In China Corona Virus Death toll 1400 or a terrorism In India 14 Feb it feels like God don t like the Valentine week if you don t care about the Environment and Humanity,0.1,Positive
corona virus may be finished by GAU MUTRA of Gau Mata Urine of Indian original cow And HAWAN BY COW GHEE BUTTER WITH INDIAN HERBS Within 10 days,0.036111111111111115,Positive
corona virus may be finished by GAU MUTRA of Gau Mata Urine of Indian original cow And HAWAN BY COW GHEE BUTTER WITH INDIAN HERBS Within 10 days,0.036111111111111115,Positive
Second stage of Corona Virus,0.0,Neutral
like for corona virus don t blame BJP just said you are with BJP about all activity which govt Do for keep our people save from this virus because now votor need positive approach from there leader,0.22727272727272727,Positive
Many leader are in these country but you are the one who also have a focus on that virus Corona by which our nation gona suffers you mention in your Twitter why because you love these country our country that s why I believe in you Respect and Respect to you,0.13333333333333333,Positive
kissDay with Corona,0.0,Neutral
For us oldies Only BATA can beat CORONA,0.0,Neutral
New official name for Corona Virus CoronavirusOutbreak nCoV2019 INDIA,0.13636363636363635,Positive
Corona ke new symptoms,0.13636363636363635,Positive
If and when need arises for India For God sake if Corona emerges in country Do You think India will manage to make so many in quantity India should have appropriate stock of necessary equipments,0.3333333333333333,Positive
Pl try this anti dote Kada to kill Corona Virus A spoon with powdered Ajwain Ajowan Cloves Holy Basil Dry Ginger Jaggery Honey Black Pepper Turmeric Rock Salt Boiled it in few Qty of water till it reduced to half have one spoon of this for 2 3 days,-0.15,Negative
Pl try this anti dote Kada to kill Corona Virus A spoon with powdered Ajwain Ajowan Cloves Holy Basil Dry Ginger Jaggery Honey Black Pepper Turmeric Rock Salt Boiled it in few Qty of water till it reduced to half have one spoon of this for 2 3 days,-0.15,Negative
Pl try this anti dote Kada to kill Corona Virus A spoon with powdered Ajwain Ajowan Cloves Holy Basil Dry Ginger Jaggery Honey Black Pepper Turmeric Rock Salt Boiled it in few Qty of water till it reduced to half have one spoon of this for 2 3 days,-0.15,Negative
Pl try this anti dote Kada to kill Corona Virus A spoon with powdered Ajwain Ajowan Cloves Holy Basil Dry Ginger Jaggery Honey Black Pepper Turmeric Rock Salt Boiled it in few Qty of water till it reduced to half have one spoon of this for 2 3 days it might help us,-0.15,Negative
Pl try this anti dote Kada to kill Corona Virus A spoon with powdered Ajwain Ajowan Cloves Holy Basil Dry Ginger Jaggery Honey Black Pepper Turmeric Rock Salt Boiled it in few Qty of water till it reduced to half have one spoon of this for 2 3 days it might help,-0.15,Negative
Pl try this anti dote Kada to kill Corona Virus A spoon with powdered Ajwain Ajowan Cloves Holy Basil Dry Ginger Jaggery Honey Black Pepper Turmeric Rock Salt Boiled it in few Qty of water till it reduced to half have one spoon of this for 2 3 days it might help us,-0.15,Negative
Corona ki cure inke zeher me hai plz contact Ayesha 0,0.0,Neutral
Modi to Xi Jinping may I help you to remove Corona virus from China Xi Jinping replied to Modi OK Modi Please take out all my patient to your country,0.5,Positive
It s really disturbing but From many different sources a common news is being heard Chinese army massacring own people infected by corona viruse Seeing the Chinese government amp it s policies not impossible CoronavirusOutbreak CoronavirusOutbreak,0.07916666666666666,Positive
GodMorningSunday Corona virus China s meat market is the main cause of havoc Eating meat is against the law of God eating meat is a great sin NoMeat NoCoronaVirus Please must watch sadhna TV 7 30 pm,0.48333333333333334,Positive
I suspect Chinese govt hand in Li wenliang s untimely sad death It iz shocking to listen a doctor iz a rumour monger Corona virus iz dreadful and more dreadful iz the way Chinese govt iz tackling it,-0.42857142857142855,Negative
Sometimes some people behave in such manner that that it becomes difficult not to abuse them like the one wishing you to have Corona but still it s better to block them,0.0,Neutral
Eating meat is not a command of God and eating meat is a boon if we still do not follow the words of God then corona virus and other terrible viruses can also arise If we improve in time everything can be fine,-0.23611111111111108,Negative
Bad news one of my neighbour s son works in China and yeah he s infected with corona virus which also forced his family to postpone his wedding,-0.49999999999999994,Negative
GodMorningThursday Corona virus China s meat market is the main cause of havoc Eating meat is against the law of God eating meat is a great sin NoMeat NoCoronaVirus Please must watch Ishwar TV 8 30 pm,0.48333333333333334,Positive
GodMorningThursday Corona virus China s meat market is the main cause of havoc Eating meat is against the law of God eating meat is a great sin NoMeat NoCoronaVirus Please must watch sadhna TV 7 30 pm,0.48333333333333334,Positive
GodMorningThursday Eating meat is not a command of God and eating meat is a boon if we still do not follow the words of God then corona virus and other terrible viruses can also arise If we improve in time everything can be fine Must watch sadhna tv7 30pm,-0.23611111111111108,Negative
