Tweets,Polarity,Sentiments
Economic disaster modi Anti muslim sentiments Highest india losses goodwill as a secular country and seen as a racist fascist regime Corona care biggest scam where pm will not share income expenditure Corona disaster by indulging in petty politics Murderer if migrants india,0.2,Positive
Even corona salutes modi one year by registering 8000 plus cases and 269 deaths highest single day record for corona in india Three achievements of modi Economic disaster you ask him or his Fuck all FM they refuse any economic slowdown Engineered a anti muslim riots Murder,-0.017857142857142863,Negative
Trust me it s not that s simple it s not that easy I have lots of friends in Delhi who are from North East and they have been facing this racism since long but this fucking Corona has made it even more difficult for them,-0.0361111111111111,Negative
Why am I writing this Because we are dealing with Corona we have locusts to deal with and yes China at the borders and I we have started receiving Racist WhatsApp forwards in various what s app groups,0.0,Neutral
Jai Ho Corona warriors Keep it up Great news heard after lock down CoronaWarriors mumbaicoronavirus,0.32222222222222224,Positive
Hi sir we are from India we trouble for corona virus we facing financial problems sir please send money on google pay no 9959875698,-0.1,Negative
each time this modi govt try to talk about mandir statue or bullet train throw them the image of our poor indian and govt pathetic behaviour towards them during corona time,-0.7,Negative
We welcome them with open arms please make our Mumbai Corona free like Kerala s cities God bless you,0.4000000000000001,Positive
Ghatkopar Vidyavihar Corona Update as on 29 05 2020,0.0,Neutral
Those who haven t contributed anything to help our guys suffering from corona It s our time to support our hero Follow his profile atleast we can do this much RT if u support SonuSood SonuSood A Real Hero SonuSoodTheRealHero Sonu Sood SonuWithMigrants,0.2,Positive
sir we need a tight security in our area shrawagi plot near tower chowk akola where two corona positive patients are there and people are roming here and there its request to amodh sir supretendent of police akola,0.049567099567099565,Positive
In corona lockdown he sacrificed all his tours to foreign countries,-0.125,Negative
Is lying n very dirty smell is also coming as they all have used these roads to urinate so we want to sanitise this area properly asap as it will not give hike to COVID 19 cases as c ward has less corona cases compared to other wards pls look into,-0.2679166666666667,Negative
Corona fight in India look like this at present coronavirusinindia coronavirus,0.0,Neutral
Why don t housing societies hire corona nurses amp doctors amp give them their club houses That way individual housing societies can reduce the burden of beds in govt hospitals amp will be highly decentralised to take care of their society members who fall ill,-0.11333333333333333,Negative
Honurable Deputy CM one of my friend working as nurse in JJ hospital had told me that they have only one PPE kit shared by 4 of them He was infected by corona few weeks back I had shared the news article yesterday can you pls help frontline Corona fighters pls,-0.06666666666666667,Negative
Corona from South Korea 1YearOfMassDestruction,0.0,Neutral
The problem with Shazia is she can t tell u fr where she gets the news that Mumbai is in bad shape etc As long as she was in AAP she had problems with BJP Wl someone whisper in her ears that the Central team had praised the work done by MVA re Corona then she wl might w draw,-0.24999999999999997,Negative
Not that Corona Pandemic was enough Ambhan in Bengal locust attack recently now we face earthquake in Delhi We continue to face natural calamities one after other in 2020,-0.006249999999999999,Negative
Sir plz don t all to open any religious places in Mumbai Maharashtra and India It will be impossible to control corona,-0.2222222222222222,Negative
they just want to help rich people by allowing flights and corona to spread to poor people by train recent times who ever tested positive migrants from maharashtra travelled by train or bus doesn t understand the significance of blocking pvt vehicle,0.05056818181818181,Positive
they just want to help rich people by allowing flights and corona to spread to poor people by train recent times who ever tested positive migrants from maharashtra travelled by train or bus,0.05056818181818181,Positive
Death nos wrongly reported in delhi so does the corona infected nos Utter failure of delhi to have 7000 cases Mohalla clinics goes for a toss in air Safdarjung hospitals deaths heavily under reported,-0.25416666666666665,Negative
Recently I received 3 different video abt how Germany Taiwan Finland have taken swift action demonstrated compassion are seemly conquering corona All 3 have women at the helm pic credits,0.03333333333333333,Positive
Exams were postponed when there were only a few cases of corona and now give exam dates when the cases are out of control we are also human and can be infected also finalyearexam Exams2020 COVID19India Patel,-0.06666666666666667,Negative
Bhaiya please look into the matter From where would the parents bring that money while this lockdown In navsari there r a lot of business crisis Corona cases rising no proper screening of outsiders VidhyaKunjSchool Navsari Gujarat,0.0,Neutral
Absolutely right Mr Jain Please make sure TOI gp doesn t fall in trap of downsizing taking Corona as excuse like many media houses r doing Times Group has a legacy of ethics in business When India bounces back you will need people India is proud of TOI,0.33928571428571425,Positive
IndiaFightsCorona Expressing gratitude and appreciation in their fight against COVID 19 the armed forces salute the Corona Warriors on Land Air and High Seas across several locations in the country via NaMo App,0.08,Positive
IndiaFightsCorona Social distancing is the key to tackle COVID 19 Even as 319 districts in green zones are completely Corona free and 284 orange zone districts have a significantly lower risk of infection it s no time to lower the guard but maintain social distancing via,0.10595238095238095,Positive
IndiaFightsCorona Easing lives during Corona Indian Railways has started 15 passenger trains in a phased manner 468 Shramik Special trains are set to transport 5 5 lakh stranded migrants via NaMo App,0.35714285714285715,Positive
IndiaFightsCorona Northeast has emerged as a model of development in the last six years due to the high priority by Modi Govt This cumulative effort of prioritization has also made Northeast a model of Corona Management in the last six weeks via NaMo App,0.00875,Positive
We will defeat Corona virus,0.0,Neutral
A Corona patient fell in love with the doctor who treated him He took two months after that both of them got engaged in the hospital of Egypt,0.5,Positive
CoronavirusIndia number of deaths in the world in last 3 months of is 3 14 687 Corona virus 3 69 602 Common cold 3 40 584 Malaria 3 53 696 suicide 3 93 479 road accident 2 40 950 HIV 5 58 471 alcohol 8 16 498 smoking 11 67 714 Cancer Do you think covdi19 dangerous NO,-0.375,Negative
The way you respond towards fighting corona keep going,0.0,Neutral
Hey Delhi Govt just launched it s educational video on how to home Quarantine for patients with Mild Corona symptoms and also how to maintain precautions if you are living with a family member with mild symptoms,0.3055555555555555,Positive
Good news for Maharashtra and Daring Mumbaikar s Finger crossed we want to hear Such grt news every day to create positive environment and it gives hope that we can fight and survived Kudos for Corona Warriors and Brave recovered CORONA FIGHTERS,0.4318181818181818,Positive
Before and After Corona COVID2019 Fact,0.0,Neutral
Aggressively you are marching in a positive direction while fighting with corona pandemic a helping hand of has helped much God bless you guys,0.21363636363636362,Positive
News from replying Congress is virous Corona is just a name,0.0,Neutral
Has anything good ever come out of Failed Fake model of Gujarat For Corona it plans clinical trials of Drug made out of GoMutra Cow Dung Cow Milk Butter amp Ghee pic twitter com siCisvdswO,-0.11333333333333333,Negative
And even if there are over smart people out there planning weddings would anyone be smart enough to travel all the way to Jaipur for a show around of a hotel during these Covid Corona times I mean there could be a virtual tour that can be organised HotelMarketing 2 4,0.029017857142857137,Positive
Just saw a promotional video of a fivestar hotel in Jaipur announcing that they are Open for Showarounds for people to come and pre plan their weddings corporate events etc Firstly in these Covid Corona times would any1 really be planning a destinationwedding 1 4,0.1125,Positive
clouds 2019BC before Corona timeisflying High tech City,0.16,Positive
India s GDP Growth in 2019 2020 Q1 5 2 Q2 4 4 Q3 4 1 Q4 3 1 The latest Q4 data is for Jan March 2020 The lockdown only started on 25th March so this is pretty much before Corona caused Economic Crisis hit,0.22999999999999998,Positive
Sir we have to stop china now corona virus then H1N1 SARS all virus production country we have to destroy china economically and by war because china is a criminal country so whole world should United and punish china for their criminal action of virus attack,-0.06666666666666667,Negative
How is this possible How are we still positive like Corona,0.11363636363636363,Positive
Question is Did Corona save Modi narritive built Mudi ji kya karega jab Tabligis ne Corona Jihaad kiya India may suffer again due to brainless bhakts,-0.125,Negative
In India Corona metre crosses 1 5 lakhs and still some people s are not under standing its seriousness,0.0,Neutral
Mr Netanyaho I am Aladdin a Yemeni citizen We came to India for treatment but now we re stuck since 3 months due to Corona lockdown we appeal you to evacuate us from India and return us to Yemen Thank you in advance for your cooperation and response Best regards,0.4375,Positive
My aunt has diagnosed with Corona today She is 80 years old Received call from BMC today morning and admitted to Karuna Hospital by afternoon I want to place on record that response from BMC was quick and efficient,0.21666666666666667,Positive
Ohhoo on seein those jahils seems that nothin gonna happen corona won t leave soon some of ve banished all d hopes,0.0,Neutral
This is Pre Corona By the Way Shocking,-1.0,Negative
How can these people discussing about pandemic before first corona case,0.25,Positive
Ward wise corona patients CoronavirusLockdown covid 19,0.7,Positive
God knows Jai corona,0.0,Neutral
Ulhasnagar Corona Update 29 05 2020,0.0,Neutral
Palkhis to be airlifted to Pandharpur this year Wari in the time of Corona Covid 19 Lockdown5 Pandharpur Pune coronavirus wari Temple,0.0,Neutral
