Tweets,Polarity,Sentiments
Day 2 done COVID19 CovidWarriors go corona corona go,0.0,Neutral
Hardware shops shd be allowed to open so that construction works resume and labourers are able to earn much needed livelihood They are one of worst affected lot in this lockdown Hunger will kill them before Corona does,-0.07500000000000001,Negative
Very good Priyam God has compelled us not to observe our main festival Rangali Bihu this time by spreading Corona virus,0.5383333333333333,Positive
The Roads are scary and weather is also not supporting way to Halflong Still they are on their way its proud moment to be a small part of this fight against corona All my Driving stuffs come forward and take part on Nation Duty,-0.01874999999999999,Negative
IndiaFightsCorona India s endeavour to fight corona via NaMo App,0.0,Neutral
Ramadan Mubarak May Almighty Allah forgive all our sins and save us all humanity from the Pendamic Corona Virus Ameen,0.0,Neutral
Ramadan mubarak May Allah allow us to reach the month of Ramadan amp may our sins to be forgiven May Allah shows his mercy upon the whole world and save us from Corona virus amp may,0.2,Positive
Birthday greetings to young and dynamic chief minister of goa Shri Ji Your role in making goa a corona free state is appreciable and inspiring May God gives you a healthy and prosperous life,0.3,Positive
Jai Shree SitaRam Happy WorldBookDay Honourable Sir from HPC Paper Team Empowering citizens in lockdown through environment friendly quality bamboo paper Please revisit Liquidation to beat corona at Hindustan Paper Corporation,0.5875,Positive
Sir It is the time to think strategically To flatten the CoronaPandemic COVID19 curve to 0 zero A Big Zero To move up our sustainably First which is hitting my mind is to restart from scratch A Big Zero a point where corona ends New Sunshine begins,0.09659090909090909,Positive
Ji For working in making Sustainable by reviewing goi to strengthen our RuralMassPromotionNow for sustainableVillage sustainableCities resulting sustainableState corona,0.0,Neutral
Covid 19 daily data collection from Covid emergency OPD and from Covid ward SMCH Silchar We are working silently 24 7 still enjoying Corona harega desh bachega assam at Silchar Medical College,0.125,Positive
A To Z Avoid Crowd Beware of fake news Clean your Hands Don t go out Empty the Streets FeedTheNeedy Gathering is Bad Hand Sanitizing Inside the Home IndiaFightsCorona Join Fight Against Corona Kind To the Needy love your Family Meditate daily,0.023809523809523836,Positive
Sir What about the tickets booked before Corona was Declared a pandemic which travel date is in 2nd phase of Lockdown Will we get our full refund of ticket booked on Dec 2019,0.175,Positive
fighters I salute all congress leaders workers who fight with corona Virus pandemic your tireless job will help eliminate such dreaded desease,0.0,Neutral
IndiaUnitedAgainstCorona From the old to the young India s corona warriors are united Proactively everyone is following precautions and strengthening the fight against COVID 19 via NaMo App,0.06666666666666667,Positive
It was anger 35 corona cases in India becoz of jamaat on top of that stone pelting she donated more than 25 Lakhs amp her mom donated her pension dnt teach her how to be a nationalist amp good human being KanganaRanaut RangoliChandel GiveBackRangoliTwitterAccount,0.2,Positive
AarogyaSetu App is a virtual firewall around you against COVID 19 5 crore people have already built it around them Let s spread the word to ensure that maximum Indians download and use this App It is instrumental in winning the war against Corona IndiaFightsCorona,0.5,Positive
Liquidating Hindustan Paper Corporation Limited Sir Sir GoI by our Honourable Government before Lockdown2 3rd May 2020 will make corona free New Sir Sir Madam Sir,0.11623376623376624,Positive
These people are more concerned with Modi not for corona virus Why are they jealous for support received by Modiji from public,0.25,Positive
Sir please use your invaluable experience of Controlling delhiviolence in minimum time to tackle COVID19 so that Together we have to be corona free New by 3rd of May 2020,0.1787878787878788,Positive
Congress is more concerned about Modi not about corona virus,0.5,Positive
By the Call of Respected Chief Minister Sarbananda Sonowal ji I Light A Diya in the name of Corona Warriors LightADiya,0.4,Positive
PM s 7 pleas 1 Take care of the elderly 2 Strictly follow guidelines of lockdown 3 Increase immunity follow Ayush ministry guidelines 4 Download Arogya Setu App 5 Help poor families 6 Don t take away jobs of your employees 7 Respect Corona warriors IndiaFightsCorona,-0.4,Negative
Small Bit Help For The People Of Vill Mohanpur Dist Cachar Assam On The Behalf Of Bihara Kondo Tnx Dada For Giving Me This Unforgettable Opportunity Really Grateful Towards U amp COVID 19 Corona,0.25,Positive
What can you expect in a post Corona world Spend some time and read this by,0.0,Neutral
