Tweets,Polarity,Sentiments
Ofc But thanks to Mr Corona nobody can work,0.2,Positive
Ji just the least I can do at the moment to fight against Corona Please accept this small token from me Saptaparna from Shillong and yes thank you again for allowing us feeders to continue feeding for street animals,-0.275,Negative
While we should be battling Covid19 as a nation North Easterners in different metros of India are labelled Corona and subjected to racial abuse Union Home Ministry has done nothing to address this racial prejudice at this crucial hour,0.0,Neutral
Just paraphrasing what a friend said If India ever comes up with a cure for CORONA it will be called ROKONA COVID2019 CoronavirusOutbreak CoronaLockdown coronavirus LockdownWithoutPlan,0.0,Neutral
Army should deploy to implement total lockdown in our country so that we can beat corona,0.0,Neutral
Help jobless poor amid corona lockdown Congress leader Shri Kapil Sibal has reiterated his party s demand for financial help for the poor rendered jobless due to coronavirus scare in the country demanding at least 10 000 each to them IndiaMaangeNYAY,-0.24500000000000002,Negative
Is India filled with uneducated old swines Addressing North easterners as Chinky Momo and now Corona Virus Wtf is wrong with these barbarians God knows,-0.125,Negative
Its Not to kill covid 19 corona viruses But its a way to support and pay respect to the personal engaged in medical services tirelessly Try to respect others sentiments,0.0,Neutral
And only in India u shall find the Corona festival,0.0,Neutral
Parked but up running Your car needs to get some excercise too to remain healthy Follow these regular workout for your car so you can be up amp running when the need arises stayhome staysafe stayhealthy covid 19,0.25,Positive
Total COVID 19 Tests done till today US 522 000 Germany 410 000 Korea 320 000 Italy 361 000 UK 104 866 India 27 688 India s test rate remains very very low World is following Trace Test Isolate Treat method WE NEED TO TEST MORE Pass it on,0.125,Positive
The people are not taking this COVID 19 seriously please maintain SocialDistanacing if you dont want you or your loved one to suffer this dangerously spreading virus please StayHomeStaySafe,-0.07777777777777778,Negative
CHINA must be dragged into International Court and stripped of its VETO power in the UN Crime against humanity COVID 19 is a Chinese Virus Copy and paste,0.0,Neutral
My best wishes are with you You ve made the right decision This is the only way to subsidise the spread of Covid 19 in and around the country More power to you Mr Modi,0.4464285714285714,Positive
Kerala now has the highest number of Active COVID 19 cases Talk about rushing in to pat your own back,0.15555555555555556,Positive
Not just claps give personal protective gear for the Doctors and all the frontline personnel fighting COVID 19,0.0,Neutral
Is Covid 19 a virus or a Vaccine killing viruses that plagues the earth Mother Earth breathes fresh air 1 No Industrial emission 2 No vehicular airway emission 3 No lesser carbon footprint The Paris Accord is smiling COVID19outbreak,0.15,Positive
The nation is united in solidarity with all the frontline personnel combating the COVID 19 outbreak Now it s time for the government to act and ensure adequate supplies of medical kits and testing facilities for the frontline medical personnel immediately LockdownNow,0.1111111111111111,Positive
Covid 19india 5baje5minute JanataCurfew COVID19outbreak PrayersForCoronaFreeWorld COVIDIOT coronaupdatesindia Meghalaya India Defying curfew in Shillong be like,0.0,Neutral
Covid 19india JantaCurfew this is the way it s done,0.0,Neutral
At this point there is no such thing as relying on entities from above and beyond to rescue personages from this pandemic Apprehend to the reality of the situation and contribute to eliminating the virus by complying to the basic guidelines period Covid 19 CoronaCrisis,0.0,Neutral
My remarks in the State Assembly on the measures which need to be taken by the Health Department while dealing with COVID 19,0.0,Neutral
AI should refund full fare without any cancellation fee for all international passengers who are not allowed to board flights to India due to Covid 19 related regulations of GOI,0.056249999999999994,Positive
Well done Ricardo Scientific logical and appropriate for Italy A Scientist Persuaded Italy to Exempt Vape Shops From COVID 19 Lockdown via org,0.375,Positive
Meghalaya COVID19 Coordination failure in government s responsiveness Sad reality Read,-0.4083333333333333,Negative
The Indian Youth Congress has opened nationwide helplines in all states for those in need of any form of assistance during the COVID19 pandemic Wherever you are if you need help reach out to us at the helplines provided below We are here for you SOSIYC We shall overcome,0.0,Neutral
Parked but up running Your car needs to get some excercise too to remain healthy Follow these regular workout for your car so you can be up amp running when the need arises stayhome staysafe stayhealthy covid 19,0.25,Positive
Why don t you write on the state of affairs in the USA in relation to COVID19 instead We all know that your extracurricular activities have stopped since and you get paid for defaming India Try something new,0.13636363636363635,Positive
We have you covered Free Service Paid Service Basic Vehicle Warranty has been extended for 2 months Hence not to worry stayhome staysafe wecare cov d19 indiafightscorona shillong shillonghyundai hyundaiindia,0.2,Positive
Indeed that s why Kerala has the highest second highest number of Covid19 cases in the country,0.0,Neutral
The war against Covid19 isn t over in fact it has just started Please don t rush in to pat your own backs so early This is an extremely serious situation and please please treat it as such Desist from your usual game at least till the crisis is over,-0.08333333333333334,Negative
The war against COVID19 is not over In fact this is just the beginning Don t rush in to pat your own back so early,0.2333333333333333,Positive
From COP25 Climate Change Conference Centre in December 2019 to COVID19 Isolation Center in March 2020 We were in Madrid 3 months ago to take action on addressing the climate emergency and now this same venue has more than 5000 beds to deal with patients infected in Spain,0.125,Positive
Hi when will clamp down on these price gougers I bought a pack of 10 with an MRP of 190 Cloudtail as the seller The same product is being sold for 3500 now by this other seller Just look at the reviews too probably scamming people COVID19,-0.09351851851851851,Negative
CoronaUpdatesInIndia 22 Mar 2020 With an increase of 59 new cases we are at 327 387 Currently 23 36 States ans UTs affected 75 COVID19 effected districts is under lockdown Many states in have taken drastic measures to contain the virus InterStateTravelBan imposed,0.21212121212121213,Positive
A lovely message with or without what we are currently going through in the world today beGreatful stayAware things will never be the same again COVID19 is changing us For all of us who makes it through this build a better world riyasokol,0.25,Positive
Curfew of the people by the people for the people to fight COVID19 As a responsible citizen come forward amp respond to PM s call for Janta Curfew by taking the I Support Janta Curfew pledge IndiaFightsCorona,0.2,Positive
The AUSvsNZ game at SCG looks more like a domestic game than an ODI cricket Sydney COVID19 coronavirus,-0.07500000000000001,Negative
