Tweets,Polarity,Sentiments
Wave of corona virus,0.0,Neutral
due to corona pandemic many people face problems like lack of grocery and medeicine HelpTheNeedy surrounding you ji,0.1875,Positive
KeepingHumanityAlive During Dera Sacha Sauda volunteers are doing multifarious welfare work such as donation sanitisation work DSS conduct monthly donation camp to help the thalassemia patients and help the corona patients with the inspiration of ji insan,0.0,Neutral
How Corona Virus effects the body parts,0.0,Neutral
Don t defame my country Beating and stone pelting on doctors and nurses is persecution Spreading corona through jamaat is persecution Spitting and getting naked in front of nurses is persecution,0.0,Neutral
A kid was crying Corona ne meri aadhi property chheen li Someone How What happened Kid My mom is pregnant Corona Lockdown Lockdown4 CoronaVirus Covid19 Quarantine,0.06666666666666665,Positive
After all who will save from corona virus click on this link must see sadhna tv 7 30pm,0.0,Neutral
Greeb hi mitt rehe hai Aur media sirf corona deaths report kr reha,0.0,Neutral
Exercise regularly to stay fit strong and cat a healthy diet this will also improve your immunity urges everyone to follow the government guidelines stay at home amp stay safe from Corona HelpfulTipsToBeatCorona,0.36666666666666664,Positive
Faulty labs and faulty system Making corona test falsely positive and falsely negative Galat test di reports kad rahe ne sedha corruption horeha hai mainu koi symptoms nahi han but mera test positive hai main ek mbbs doctor han from Sangrur,0.08030303030303029,Positive
The New BC Before Corona not Before Christ Tales When work views were vibrant and spelled work life balance Now it s just sitting in bed trying to work and staring at the empty chair I got to WorkFromHome home gedhiroute beforeCorona at The Upper House,0.050757575757575744,Positive
Why only jamati do shamful act of spreding corona,0.0,Neutral
Meeting the demand for blood is always a challenge for hospitals and these times of corona have become all the more difficult to arrange for Blood Volunteers of Dera Sacha Sauda on the other hand r donating more than ever to make up for this short supply BloodAidForThalassemia,0.075,Positive
Punjab Govt fails to fight with corona amarinder PunjabGovtFailsAgainstCorona,-0.5,Negative
We are committed to provide all needed support amidst this Nation wide lockdown Sarbat Da Bhala Charitable Trust is wholly dedicated in the service of humanity We are in this together and we will fight together and will surely win over Corona Bhala coronavirus,0.43333333333333335,Positive
Missing cricket badly Corona go away We want to see our hero s playing again Cricket Swag of Sirjadega,-0.44999999999999996,Negative
Modi sir this corona virus is not ending please do something brownish solution is being done,0.0,Neutral
My son Aware about Corona virus With dance,0.25,Positive
You are right Mam they have done blunder mistake People standing in long queues for buying Alcohol This will increase DomesticViolence spread of corona LiquorFreeIndia LiquorShops DomesticViolence,0.11785714285714285,Positive
sharma Zillow Hulu Entertainment Why increase in the number of corona patients in P,0.0,Neutral
Sir advise pm to add drives in corona fighter list without giving them proper facilities no part of India can be treated as drives have to move and contact more people while taking delivery On the way On tools borders at every barricade,0.25,Positive
respected sir we must think about new strategy to fight with corona not only lock down will enough We should make mask PPE at large level for every one so that we can work freely to recover business at war level,0.09918229918229919,Positive
PRTC Driver Sr Manjit Singh lost his life serving his duty during this Pandemic His family should be compensated with Rs 50 lakh as promised by for all front line Corona warriors amarinder,0.0,Neutral
Name Avreet Singh Dhillon Class 1 School Kaintal Prep School Patiala District Patiala Home Town Dist Mansa Topic Safety measures from Corona Virus AmbassadorsOfHope PunjabDiHOPE,0.0,Neutral
Wtf is happening corona cases are increasing very rapidly in Punjab Till Yesterday Ferozpur had only single cases today 16 new cases came there too COVID19india Punjabcoronaupdate,-0.04701298701298702,Negative
Protest For Justice to Family of Manjit Singh Hi and for Insurance of front line Health Sanitation Electricity and other Corona Warriors MaiViManjeetSingh,-0.125,Negative
Manjit Singh lost his life for us Let s raise voice for those who are Fighting with Corona for Us MaiViManjeetSingh,0.0,Neutral
Quite strange how can somebody hiding at his house get infected by Covid 19 Hope has nothing to do with Police My prayers for speedy recovery of Farzi Doctor Please get well soon and keep entertaining us with all your lies and theatrics,0.225,Positive
Join as he pays tribute to our covid warrors Covidwarrors,0.0,Neutral
what the hell Is it to be believed that all passengers and staff who travelled in are at potential risk of COVID 19 Will INDIA sleep over it And what happened to all that talk claims and arrangements on airports tracking app,0.0,Neutral
Fark bada tere mere ch tenu meri mom to flying kiss mildi tenu meri bebe to flying chappal laddakh coronavirus wednesdaymorning COVID 19,-0.5,Negative
But why do you have to promote your tweet ji You don t trust yourself or hiding incompetence of INDIA or are you trying to cover up the mess created out of LockdowWithoutPlan while Covid 19 cases are still rising rapidly,-0.175,Negative
Forestfire breaks out at uttarakhand Covid pandemic cyclone Gas leakage earthquake various place in india now forest fire at uttarakhand How much more we humans gonna suffer uttrakhandForestFire PrayForUttarakhand,0.25,Positive
Gujarat govt s disastrous COVID 19 mismanagement has death tolls rising by the minute COVID patients released without treatment Critical patients forced to wait days Hospital condition worse than dungeons Fake ventilators scam etc BJP govt fails Gujarat,-0.39999999999999997,Negative
Government sets up isolation centers to combat COVID 19 via,0.0,Neutral
what is happening Then why the hell did you guys locks us during Lockdown2 and Lockdown3 If at all we were to live with Covid then why the hell did Duggal ji messed things up,0.13636363636363635,Positive
Please do urgent basis Because it have senitization machine Pacific medical college have covid ward also comes patient So its very emergency,0.1,Positive
