Tweets,Polarity,Sentiments
THESE ARE THE CONSEQUENCES OF MISGUIDING PUBLIC A BIG APPLAUD TO OUR FED GOV AND PM Select for terming CORONA as common FLU Our frontline soldiers are at the stake now Only if you can get time from hosting jalsas and airing ertugal on PTV kindly pay attention 2 CO VID19,0.06,Positive
What role of aviation ministry for not refund of international flight ticket fare by air agency autometic cancellation of flight due to corona air agency cheet passengers due to not refund of autometic cancel ticket what purpose of aviation ministry in india,-0.08333333333333333,Negative
Bhai march mei koi vyapar hua hi Nahi tha due to Corona steep low tha less than 50 business especially after Holi,-0.07291666666666666,Negative
First anniversary of Modi 2 0 In letter to citizens PM hails India s collective resilience to corona India News,0.25,Positive
Huge mob came out with dead body had knives and Rod to ER at Civil Hospital Karachi to attack on Doctors and Vandalized Hospital Each one was shouting Ye Corona Kuch Nahi hey Sirf Govt or Doctors ka Drama hey People r misguided by PTI Leaders Covid 19,0.10000000000000003,Positive
create your own android apps for free Click here androidapp developer coding programming Trending learn blog corona COVID earthquake lockdownextension justiceforjibran BlackLivesMatter love Delhi Trump Narendermodi ASTRO see,0.5,Positive
Just kidding buddy Writing a poem on corona crisis,0.0,Neutral
FIR should be registered against PTI s Selected MPA Haleem Adil Shaikh on violation of Sindh Govt SOP about Covid 19 Sindh High court should take notice of it suspend his membership of Assembly Corona,0.16,Positive
Mumbai mumbra a pregnant woman kept circling from hospital to another hospital for 2 hours before the birth of the child making exuses for not having a corona test report Or not having a vacancy in the hospital Then the woman died in an autoricshaw on the road humanitylavel,0.3333333333333333,Positive
Sindh Government is trying its utmost efforts to fight against the deadly coronavirus every Pakistani has to take the Corona virus seriously CMMuradZindabad,-0.26666666666666666,Negative
As we know u havn t started hotel business my friend came to JPR for work in govt office from Jodhpur but due to unavailability of govt officer he had to stay that day but in JPR coz of Corona fear I couldn t resist him stay at my home suggest me the solution,-0.125,Negative
The seriousness of the federal government in resolving the Corona issue can be gauged from the meeting convened by Federal Minister,0.0,Neutral
My Grandmother Used To Fool Me Whn I Was Small Government is Also Trying to do it Corona ho jaiga lockdownextension coronavirus,-0.25,Negative
Sir kisi ko intrest nhi h abhi inke report card me aap bhi corona pe dhyan dijiye abhi Pls ask all the questions about corona only from them,0.0,Neutral
We Can Say That Corona Virus successful Spoiled Modi s 1yearofmodi,0.75,Positive
Here every zone is free to welcome corona now,0.6000000000000001,Positive
when sir forgot to write about corona corona be like,0.0,Neutral
Waste to corona kr rha h,-0.2,Negative
The storm beats Corona Covid 19,0.0,Neutral
Plzz Its corona time give them corona not photo,0.0,Neutral
If corona is not killing it s heatwave and if you escape this locust attack was impossible to stop Now earthquake is sure a warning from Mother Earth Love me or leave me,0.11111111111111112,Positive
Corona be like,0.0,Neutral
How feel china usa is suppirior to corona,0.0,Neutral
Ever since Corona Virus outbreak broke Andhra Pradesh has been in news for wrong reasons for its political infighting and blame game DB 1YearOfMassDestruction,-0.3,Negative
as we know that u havn t started hotel business my friend came to JPR for work in govt office from Jodhpur but due to unavailability of govt officer he had to stay that day but in JPR coz of Corona fear I couldn t resist him stay at my home suggest me the solution,-0.125,Negative
