Tweets,Polarity,Sentiments
Are you ok sir share your experience regarding Corona disaster in spain,0.5,Positive
WORLD T B celebrated at hee yangthang Health and wellness centre along with awarness on corona virus followed by handwashing demonstration by ASHA worker sikkimgovernment healthandwellnesscentre primarylevelprevention CHO,0.35,Positive
We are fight for Corona,0.0,Neutral
She represents walking corona viruses of the world,0.0,Neutral
Surprised to see live and political corona virusessay no also,0.07878787878787878,Positive
Longing to hear news of corona free India,0.4,Positive
COVID2019india COVID COVID19outbreak Please help the doctors in Mon District of Nagaland,0.0,Neutral
Look at the data of worldwide Covid 19 cases Today 38k new cases and over 2000 dead 21daylockdown,-0.03181818181818183,Negative
Virus in there minds are potentially far more dangerous than Covid 19,0.0,Neutral
Awareness programme on COVID 19 followed by health screening of senior citizen along with ward panchayats sikkimfightingagainstcoronavirus protectingourlovedones MondayMotivation,0.0,Neutral
A special gram sabha was held by 24th Turuk Ramabong GPU on 14 3 20 regarding awareness on COVID 19 to general public of all wards Nodal teachers from all schools and students Members of NGO members of Turuk development society ex panchayats and also retired members of the GPU,0.1357142857142857,Positive
I Can see lot of positive feedback throughout the World for you Though I am not convinced with your stand on other aspects want to appreciate your efforts so far Doctors and support staffs are really excellent they are the real god at the moment,0.2804545454545454,Positive
