Tweets,Polarity,Sentiments
HIV CONGO NIPAH MALAYSIA EBOLA SOUTHSUDAN BIRDFLU HONGKONG CORONA CHINA Crores attended kumbhamela pushkaraalu medaram otherjataraas One river amp crores take bath Not a single virus was born or spread dat is INDIA,0.03571428571428571,Positive
corona attack,0.0,Neutral
Symptoms of Corona Virus CoronaAwareByVIJAYFans,0.0,Neutral
Here s The Awarness Tag For Corona Virus Tag CoronaAwareByVIJAYFans Spread Maxx Master Mahendran,0.0,Neutral
Requesting Everyone to Participate in this Awareness Tag Becoz this Tag will Help to Reach the Seriousness of Corona Virus Among People in India CoronaAwareByVIJAYFans Master,0.0,Neutral
Here is the Corona Awareness Tag by Thalapathy Vijay Fans Tag CoronaAwareByVIJAYFans Master,0.0,Neutral
CoronaAwareByVIJAYFans Spread Usefull Information about that Virus with this Tag And Be Aware of Corona Virus,0.25,Positive
CORONA VIRUS Transmission Coughs Or Sneezes From Infected Persons Or Touching Contaminated Objects CoronaAwareByVIJAYFans,0.5,Positive
Let s Make Some Awareness Regarding the Deadly Corona Virus Lele make it CoronaAwareByVIJAYFans,-0.2,Negative
Spread Usefull Information about that Virus with this Tag And Be Aware of Corona Virus CoronaAwareByVIJAYFans,0.25,Positive
Here s The Awarness Tag For Corona Virus Tag CoronaAwareByVIJAYFans Spread Maxx Master,0.0,Neutral
