Tweets,Polarity,Sentiments
Stay safe stay at home wash u hands as much as clean as u can and make sure that if any severe cough any temperature pls consult a doctor and have a suitable test go corona go corona,0.4791666666666667,Positive
Hi Guys I hope all are enjoying Quarantine with family It s almost 14 days in Quarantine Tq to each individual who supported to stop the rapid spreading of corona virus Covid 19 Now it s rate is decreasing So we have to continue till the virus demolishes StayHomeStaySafe,0.25,Positive
FLDI will thank the Honorable Prime Minister Shri Narendra Modi for considering our request to assist in the event of any disaster to take of our LPG staff who are working daringly against the corona threat We are truly grateful for announcing 5 lakh exgratia,0.0,Neutral
Corona virus funds in warangal plzzz help warangal district,0.0,Neutral
Some people r collecting donations naming corona victims pls confirm whether it is fake or real If it is fake pls aware people about it many r trapping to this links,-0.125,Negative
Power Engineers contribution in eradicating Corona virus,0.0,Neutral
Requesting to all the officer of police plz don t be go roudly and Also listen there probem if it is Emergency ok if reason will be not properly put them in jail no worries but don t punishment bcaz hospital are totally filed with Corona patatient requesting you,0.1,Positive
Corona effect demand decresed,0.0,Neutral
When it comes to helping Telugu film starts are always the best Thank you nithiin for being role models to all the stars in the country TeluguRealHeroes COVID19 corona TeluguFilmIndustry Chiranjeevi,1.0,Positive
As part of NAMOJYOTHI program M thanked Our Beloved PrimeMinister Sri ji who has released Rs 1 70 lakhs Crores fund to Needy People of the Nation in this CORONA lockdown period NamoJyothi bjp,0.7,Positive
Don t get out of house So we can send corona out We have to fight together against this virus COVID19india StayAtHome CoronaAlert JantaCurfew Telangana at Warangal,0.0,Neutral
We are doing our part from VIBA VAAGDEVI COLLEGES to fight against corona what are you doing Share your ideas with us and experiences of quarantine,0.0,Neutral
Tq U Sir for Giveing To India A donated as corona,0.0,Neutral
Looks like more people are going to die out of boredom than due to Corona,0.1875,Positive
Corona is can t kill me has it lockdown untill April 14may kill my family as we are daily wager our total savings were completed for building home Now emis are coming people am not asking for ur help but am asking for some loan to maintain my family plzz respond,0.0,Neutral
Tasted Corona ve Ayina parlee Jai bunny at MGM hospital,0.0,Neutral
COVID19outbreak dear friends fellow colleagues and family members Please follow the government direction towards this corona KillCorona Stayathome,0.0,Neutral
rt Please be kind towards the needy in light of Corona,0.5,Positive
We won Corona 2020 world cup CoronaChainScare CoronaCitizenResponsibility,0.0,Neutral
Corona doesn t discriminate between Hindus and Muslims My Govt does Gives citizenship based on Religion,0.0,Neutral
We salute to all the Doctors Nurses health workers sanitary workers media and police for fighting against corona bjp,0.0,Neutral
