Tweets,Polarity,Sentiments
nothing is permanent in this world even ye rishta kya kehlata hai shooting also stopped due to corona virus,-0.125,Negative
Corona Update sadahaqnews corona saaddahaqnews sadahaq covid 19 saaddahaq indianmedia india lockdown orangezone greenzone redzone coronaupdates usa un who unitedstates aatmanirbharbharat,0.0,Neutral
Corona Update sadahaqnews corona saaddahaqnews sadahaq covid 19 saaddahaq indianmedia india lockdown orangezone greenzone redzone coronaupdates usa un who unitedstates aatmanirbharbharat,0.0,Neutral
Haryana and Haryanvis One has to be like a Camel in Corona Days Covid changing business approach Customer satisfaction is the key Business management Survival skills CovidLessons,0.0,Neutral
US cut ties with officially Hongkong special bills is to be tabled shortly to empower its autonomy status China would be held accountable for Corona virus amp Chines companies Spy Students every suspicious person is under redar The WAR is began,0.17857142857142858,Positive
Choose People Wisely StayHome StaySafe StayConnected For Digital Marketing Tips Tricks Quotes quotes writers trend covid19 corona lucknow delhi mumbai india startups positive mindset avinashroy,0.3090909090909091,Positive
115 positive corona cases in Gurugram today,0.22727272727272727,Positive
Corona virus dint get killed in heat as I hoped Surely it will get flooded and washed off and hassled with Mumbai Rains No ok then,0.016666666666666663,Positive
Maybe he was suffering from heart problem or asthma problem but doctors ne sirf corona test karke hi ghar bhej diya kya pata vo heart aur asthma ka bhi test karte to vo Bach jata,0.0,Neutral
Delhi s model of fighting Corona Full page ads on all leading newspapers And on all news channels There are reports that about 25 cr spent in a single day plz don t waste public money and try to arrange more beds and ventilator,0.07976190476190476,Positive
If sang song in 2020 It would be called gt Wake me up when corona ends Sarcasm meme,0.0,Neutral
Trump just called Chinese Corona Virus as Wuhan Virus and rightly so,0.14285714285714285,Positive
Why is India facing so many challenges even after getting the land of a mosque to build a Ram Mandir Corona CycloneAmphan LocustAttack Earthquakes StandWithZaira,0.5,Positive
Love in the times of Corona,0.5,Positive
Covid 19 Watch Now How Does Corona Virus Infection Spread Like nd Comment Share corona CoronaUpdates COVID19 IndiaFightsCOVID19 StayAtHome staysave staylives,0.0,Neutral
WHICH DIRECTION OF CAUTION ARE WE MOVING IN THIS CHAOS MUST HAVE CREATED REASON FOR CORONA AND HINDRANCES IN ECONOMIC CYCLE AT PRE BUILDING STAGE Chaos amp Traffic Near Gurugram as Haryana Seals Borders With Delhi,0.15000000000000002,Positive
Reaching out to all authorities Requesting all of U ur offices to spread D word to implement wearing handgloves compulsory like facemasks 2 reduce D Risk of Corona cases spread Hands R D first point of TouchContraction,0.25,Positive
We Indians should also learn from New Zealand People too and unite to fight corona,0.13636363636363635,Positive
Reaching out to D authorities Requesting all of U ur offices to spread D word to implement wearing handgloves compulsory like facemasks 2 reduce D Risk of Corona cases spread Hands R D first point of TouchContraction,0.25,Positive
In fact my daughter tried to scared to Corona,0.0,Neutral
Reaching out to all D authorities Requesting all of U ur offices to spread D word to implement wearing handgloves compulsory like facemasks 2 reduce D Risk of Corona cases spread Hands R D first point of TouchContraction,0.25,Positive
He had predicted Corona will be over by May end But he has gone corona remains stronger on May 29,0.0,Neutral
Tibet belongs to China Arunachal belongs to China Sikkim belongs to China Hong Kong belongs to China Taiwan belongs to China South China Sea Territory belongs to China China feels everything belongs to China except Corona which actually belongs to China BoycottMadeInChina,0.0,Neutral
At this time when our country is fighting the fight against corona this guy is busy in spreading rumors chaos and unrest in the minds of people and why should P M answer you you are just a simple M P if you have any doubts ask in parliament and stop this pathetic notanki,-0.3,Negative
Get well soon truly corona warrior you are salute you,0.0,Neutral
he had predicted Corona will be over by May end But he has gone corona remains stronger on May 29,0.0,Neutral
And you are more concerned about pro Indians than your life No matter earthquake or corona you are only jumping and killing yourself with hatred Haha,0.2333333333333333,Positive
There can not be bigger foolish idea than sealing borders Wasting time and money in the license Raj How does it matter having a plus or minus score on corona Just to oppose AAP they r becoming the same Khachhers,0.0875,Positive
Kujliwal is trying to be won the Corona Game s Maharashtra s Vs Delhi,-0.4,Negative
Kapil Ji but Manish sisodia says there were only 13 deaths due to corona in 24 hours,-0.0625,Negative
