Tweets,Polarity,Sentiments
Benefits Of Satsang The satsangas of the true Satguru tell us that there is a God who eliminates even the worst of diseases Then even if it is an epidemic like Corona Must watch Sadhna TV 07 30 PM,-0.325,Negative
1965 We are ready to fight the corona with the soldiers of our country nationalcadetcorps at Chamoli,0.2,Positive
SantRampalJi CanEndCorona Corona s solution with the power of a great saint Presently the famous prophets whom Sant Rampal Ji Maharaj ji is a great saint according to Nostradamus Florence etc Which can end the epidemic like Corona virus,0.525,Positive
PM Shri will address the nation on the issues related to COVID 19 and the efforts to combat it at 8 pm tonight COVID19 CoronaVirusUpdate Corona,0.0,Neutral
India salutes those at the forefront of fighting COVID 19 MannKiBaat,0.0,Neutral
Break the Chain Let us all practice social distancing avoid crowded places and take precautions to protect our society from COVID 19 IndiaFightsCorona,0.03333333333333333,Positive
PM Shri will address the nation on the issues related to COVID 19 and the efforts to combat it at 8 pm tonight COVID19 CoronaVirusUpdate Corona,0.0,Neutral
For the past couple of weeks our team of paramedics and commu m h it resource person were on the field everyday with our mobile health van Sewa Arogyam to spread awareness about protection from covid19 to the,-0.225,Negative
Curfew of the people by the people for the people to fight COVID19 As a responsible citizen come forward amp respond to PM s call for Janta Curfew by taking the I Support Janta Curfew pledge IndiaFightsCorona,0.2,Positive
Curfew of the people by the people for the people to fight COVID19 As a responsible citizen come forward amp respond to PM Ji s call for Janta Curfew by taking the I Support Janta Curfew pledge IndiaFightsCorona,0.2,Positive
