Tweets,Polarity,Sentiments
I have pillowed Corona Going to sleep Good night madam,0.7,Positive
It will no longer be possible for us to handle Corona,0.0,Neutral
Our fire minister Shri Sujit Basu has been attacked in Corona I wish him a speedy recovery I hope he will be able to work in self glory again as before,0.5,Positive
After all this time the migrant workers who are being sent home are not bringing corona are they Was there any problem to bring before Hon ble If they had been brought they would not have been afraid of being corona Now who will guarantee that they will not corona,-0.6,Negative
If we weren t busy with Trump and thinking about Corona maybe this is a bad time We didn t have to see When our Prime Minister was busy building a wall to cover the slums Kerala was busy with hygiene So don t eradicate it in Kerala today Really Kerala model we should accept,-0.03999999999999998,Negative
Corona didn t break the SYSTEM Corona exposed a broken SYSTEM And we have to fight together against this broken SYSTEM There will be a SYSTEM where no one will be deprived of his her rights BrokenSystemExposed,-0.4,Negative
A Tribute to the frontline warriors of the corona battle Salute to all of them Thank you for protecting us day and night at Sainthia Junction,0.0,Neutral
Does covid 19 exist in India satti ki Adow ache corona bole kichu Covid 19india COVID 19,0.0,Neutral
Best way to beat lockdown blues Burn calories stay fit Expecting everybody to become a Tiger amp roar the Corona away Waiting for the asli TIGER to hit the screen soon amp break all box office records,0.7,Positive
honb le ma am please quarantine migrants to the government quarantine center to reduce spreading this Evil Covid 19,-0.55,Negative
The spread rate of Covid push me into the deep thoughts May god save us from Covid 19,0.0,Neutral
Didi you should be healthy be good Because if you are not healthy we will not be healthy You are the warrior whom neither nature nor man can stop from serving man Every time you have saved us from communal incitement or Covid 19 or Amphan repeatedly,0.3625,Positive
This is the reality If little of the humanity left then praise this RSS Covid fighter He is a Muslim,-0.09375,Negative
Now it s not Covid Few people around the dealing of the case will be sacrificed Old filmy strategy of case proceedings in India,-0.05,Negative
please stop wine sale Transportation of migrant labours and wine shop opening together will increase rate of Covid infection cases We have stopped ourselves in Lock downs in all activities please don t fail us,-0.5,Negative
Nobel Laureate resonating Rahul Gandhi 4 5 Cr migrants to be tested before moving and that too by Center not State HA HA I have a pertinent question Does Covid 19 attacks Central Nervous System too,-0.05,Negative
For the last one it would be SCIENCE instead of GOD Once COVID 19 is gone please do remember SCIENCE fought this alone not any RELIGION or GOD We can still survive only because of SCIENCE not because of GOD Without SCIENCE we cannot survive,0.0,Neutral
Who will explain him to understand that Covid 19 has not been sent by China for luxury Pathetic ones,-1.0,Negative
Thanx Sir Ji for ur Excellent way to manage this COVID 19 in India IndiaFightsCorona Lockdownextention StayHomeSaveLives,1.0,Positive
Chairman Murshidabad Municipality introduce sprinkler machine 2 sanitize the lalbagh city as well as Berhampore s area we transformed our watertank in2 sanitizer vehicle 2 give greater access 2 our conservancy workers Stay united to win again COVID19,0.65,Positive
Lives of a large section of aspirants are at stake due to COVID19 We don t know anything about further recruitment That s why my appeal to respective authorities is to kindly declare the results ibps result,0.13785714285714284,Positive
May I know the future of SBIJAexam20 Prelims was done amp after that we got an update that result will delay due to COVID19 Is there any new update in this regard Waiting for the SBIJAprelimsresult2020 SBIJARecruitment2020,0.0037878787878787845,Positive
Does covid 19 exist in India satti ki Adow ache corona bole kichu Covid 19india COVID 19,0.0,Neutral
