Tweets
"#GodMorningFriday Stop eating meat, or else you will have to stop forcing, like China stopped meat with the corona virus. "
He will catch corona virus in Thailand 
View and Counter View - Episode 1 #donaldtrump #cricket #corona #india #china #ayodhya #wednesdaywisdom
"Modi to Xi Jinping ,may I help you to remove Corona virus from China ... Xi Jinping replied to Modi . OK Modi Please take out all my patient to your country ....."
"#NoMeat_NoCoronaVirus China Science is not even worth a penny before God. Now see that there is no cure for corona virus, no one knows how many such diseases can come in human life, to avoid this one should follow the constitution of God. Stop Eating Meat @SaintRampalJiM"
"#NoMeat_NoCoronaVirus Stop eating meat, or else you will have to stop forcing, like China stopped meat with the corona virus. China #motivation @realstory99_ @airnewsalerts @narendramodi"
"#NoMeat_NoCoronaVirus This is the ill-effect that if China fears devotion to devotion, then the creatures do not commit violence and it does not even have to face a disaster like Corona. "
#NoMeat_NoCoronaVirus Corona virus is a warning to all of us that we should follow the constitution of God. The atrocities on the bejubo ends. 
#NoMeat_NoCoronaVirus It is a matter of concern that the corona virus should not expand in the whole world except China because we will change in time Koso will stay away from the month. 
"#NoMeat_NoCoronaVirus Man cannot be happy until humans follow the rules of God. Only eloquence can be avoided with the effect of a dangerous disease like ""corona"". Which you will find in Satlok Ashram Barwala District Hisar Haryana. "
"#NoMeat_NoCoronaVirus It is just the beginning, if we still do not change, then there will be no corona and many other diseases. Whose side effects can be fatal to humanity as a whole. So stop eating the mass. "
#NoMeat_NoCoronaVirus Dangerous diseases like cancer and ulcers are increasing in meat eaters. Just like the Corona virus has killed hundreds in China so far. 
"#NoMeat_NoCoronaVirus Science is not even worth a penny before God. Now see that there is no cure for corona virus, no one knows how many such diseases can come in human life, to avoid this one should follow the constitution of God. "
"#NoMeat_NoCoronaVirus When a country like China remembered God's legislation to protect its life, then all of us should also be afraid of the Corona virus and away from living violence. "
#NoMeat_NoCoronaVirus A shocking thing is that even a country like China started feeling afraid of the Corona virus and they forgot their own Began to follow the constitution of God Stop eating 
"#NoMeat_NoCoronaVirus Science is not even worth a penny before God. Now see that there is no cure for corona virus, no one knows how many such diseases can come in human life, to avoid this one should follow the constitution of God. Must watch sadhana TV 7:30 pm "
"People are liable for damaging the creature of God. #NoMeat_NoCoronaVirus The perfect God is the father of all. God is not pleased with the killing of his creatures. Therefore, man is struggling with serious diseases today like Corona Virus in China. "
"#NoMeat_NoCoronaVirus When the organism breaks the law of God and starts arbitrary, then it has to suffer its consequences, this is happening now, due to the corona virus in China, they are forced to close their meat. In the legislation of God, eating meat is a great sin. "
"#NoMeat_NoCoronaVirus Animal birds live in dirt. Eat dirty They also have many diseases. By eating their flesh, those dirt and diseases come inside the human being. This is how the corona virus is spread in humans. Eeshvar Tv channel sham 8:30 pm "
#NoMeat_NoCoronaVirus Science could not stop Australia's fire. China is now unable to stop the corona virus. Disaster can be averted only by spiritual knowledge.
"#NoMeat_NoCoronaVirus China Stop eating meat, or else you will have to stop forcing, like China stopped meat with the corona virus. "
"#NoMeat_NoCoronaVirus Eating meat causes fatal diseases such as the corona in China, causing the virus. For more information, watch the Satsang at 7:30 pm on Ishwar TV. "
"#NoMeat_NoCoronaVirus Eating meat is not a command of God and eating meat is a boon if we still do not follow the words of God, then corona virus and other terrible viruses can also arise. If we improve in time, everything can be fine. @abhinavbhatta59 @hytzghfj"
"#NoMeat_NoCoronaVirus Stop eating meat, otherwise you will have to stop forcing, like China stopped meat with the corona virus. Sadhana TV 07:30 pm "
"#NoMeat_NoCoronaVirus Science is not even worth a penny before God. Now see that there is no cure for corona virus, no one knows how many such diseases can come in human life, to avoid this one should follow the constitution of God. @foodiebibek @Foodalaya"
#NoMeat_NoCoronaVirus Science could not stop Australia's fire. China is now unable to stop the corona virus. Disaster can be averted only by spiritual knowledge. 
"#NoMeat_NoCorona . The way I have spread the China Corona virus in the same way, there is a possibility of spreading in all the countries, if we do devotion to the Supreme God by taking full name from the Guru then we will have nothing To know must watch sadhana tv 7:30pm "
"#NoMeat_NoCoronaVirus Stop eating meat, or else you will have to stop forcing, like China stopped meat with the corona virus. "
"#NoMeat_NoCoronaVirus Sat bhakti cures diseases like AIDS or cancer. Well, to avoid the corona virus, satbhakti is necessary. Saint rampal ji maharaj Must watch sadhana TV 7:30 pm "
#NoMeat_NoCoronaVirus Stop eating meat to stop Corona Virus. Because Corona Virus come from wild or domestic animals. If you meat of it then it(virus) will spread. Wach Sadhna TV 7.30pm 
"#NoMeat_NoCoronaVirus Animal birds live in dirt. Eat dirty They also have many diseases. By eating their flesh, those dirt and diseases come inside the human being. This is how the corona virus is spread in humans. @FoodCIips @FoodNetwork @foodandwine @WholeFoods"
"#NoMeat_NoCoronaVirus Stop eating meat, or else you will have to stop forcing, like China stopped meat with the corona virus. Sadhna TV 7:30 pm "
